year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
2014,10,26,0,100.0,4.0,11.0,1021.0,cv,0.89,0.0,0.0
2012,9,29,18,46.0,5.0,20.0,1016.0,SE,16.09,0.0,0.0
2013,4,19,4,418.03555,9.0,13.0,1008.0,cv,1.78,0.0,0.0
2010,12,26,3,326.55518,-10.0,-5.0,1015.1322,SE,4.02,0.0,0.0
2012,5,20,2,96.0,12.0,14.0,1011.0,SE,16.99,0.0,0.0
2014,11,21,7,75.0,-3.0,2.0,1021.0,cv,0.89,0.0,0.0
2011,4,2,13,19.0,-3.0,23.0,1015.0,NW,10.28,0.0,0.0
2010,3,21,12,12.0,-18.0,7.0,1026.0,NW,171.71497,0.0,0.0
2013,7,28,0,65.0,22.0,28.0,999.0,cv,1.78,0.0,0.0
2011,9,14,13,89.0,19.142551,24.0,1008.0,cv,2.68,0.0,0.0
2010,5,19,23,149.72408,15.0,19.0,1005.0,cv,0.89,0.0,3.0
2014,1,22,16,204.1423,-16.0,1.0,1019.0,NW,4.02,0.0,0.0
2012,12,19,23,79.21985,-9.0,-8.0,1031.0,SE,9.39,2.5356357,0.0
2010,11,19,22,339.91803,0.0,1.0,1014.0,cv,0.89,0.0,0.0
2014,1,3,23,19.0,-25.0,-6.0,1040.7656,NW,413.7799,0.0,0.0
2010,6,28,7,18.0,15.0,20.0,1004.0,NW,11.18,0.0,0.0
2012,2,25,13,77.0,-16.0,8.0,1025.0,SE,17.431456,0.0,0.0
2014,3,10,21,23.0,-22.208258,10.528548,1024.3209,NW,74.558395,0.0,0.0
2014,7,3,4,32.754757,19.0,21.0,1000.0,cv,2.67,0.0,0.0
2010,2,1,2,12.0,-18.0,-3.0,1025.0,NE,14.473322,0.0,0.0
2011,8,19,9,68.0,20.0,23.0,1012.0,SE,19.660988,0.0,0.0
2014,5,5,23,45.0,1.0,23.0,1010.0,SE,21.019985,0.0,0.0
2010,8,28,11,104.0,20.0,25.0,1011.0,cv,0.89,0.0,0.0
2010,12,28,9,59.129974,-13.0,0.0,1020.0,NW,15.2,0.0,0.0
2010,5,5,22,51.491184,8.0,15.0,1003.0,SE,74.61156,0.0,0.0
2014,12,25,20,17.0,-16.0,-8.0,1028.0,cv,0.89,0.0,0.0
2014,11,9,0,85.0,-4.0,0.0,1027.0,cv,0.89,0.0,0.0
2013,2,12,0,9.0,-23.0,-3.0,1033.0,NW,25.920113,0.0,0.0
2014,7,25,0,46.0,22.0,24.0,1004.0,SE,17.875103,0.0,0.0
2014,1,5,22,17.0,-26.0,-11.0,1036.0,NW,255.2927,0.0,0.0
2012,2,8,3,8.0,-20.0,-7.0,1026.0,NE,2.67,0.0,0.0
2014,11,18,4,60.0,11.0,13.0,1022.0,cv,1.78,0.0,0.0
2013,2,14,4,14.0,-16.0,-3.0,1025.0,cv,0.89,0.0,0.0
2014,3,21,13,274.91748,-4.0,17.0,1016.0,SE,9.39,0.0,0.0
2010,7,19,23,96.0,16.0,21.0,1003.0,cv,1.78,0.0,0.0
2011,8,30,21,48.0,19.0,29.0,1007.0,SE,12.97,0.0,0.0
2011,10,4,20,11.082084,6.0,20.0,1017.0,NW,1.79,0.0,0.0
2013,8,26,7,63.192146,16.0,21.0,1007.0,NE,0.89,0.0,0.0
2013,12,19,23,250.34592,-8.0,-3.0,1030.0,cv,0.89,0.0,0.0
2011,11,19,12,58.0,-5.0,11.0,1019.0,cv,1.78,0.0,0.0
2014,9,4,5,55.0,17.0,21.0,1009.0,NW,4.02,0.0,1.0
2010,2,20,10,11.0,-18.0,7.0,1021.0,NW,33.079456,0.0,0.0
2013,6,18,14,121.023735,20.0,25.0,1006.0,cv,0.89,0.0,0.0
2011,12,1,13,82.0,-14.0,-1.0,1029.0,SE,55.409657,0.0,0.0
2013,5,14,2,74.0,8.0,14.0,1013.0,cv,0.89,0.0,0.0
2012,5,14,3,66.0,6.0,16.0,1009.0,NW,7.15,0.0,0.0
2014,5,19,16,63.0,12.0,31.0,1004.37744,SE,20.123829,0.0,0.0
2011,11,9,2,10.0,-9.0,0.0,1026.0,NW,306.40463,0.0,0.0
2013,2,1,3,16.0,-22.0,-7.0,1028.0,NW,47.829502,0.0,0.0
2012,1,18,0,74.0,-17.0,-6.0,1026.0,NW,8.94,0.0,0.0
