LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
110000.0,2,2,2,35.0,0,0,0,0,0,0,113290.445,112949.51,116975.07,90423.62,69741.9,71099.51,4084.678,6000.0,12572.878,3000.0,3155.596,3000.0,0
30000.0,1,3,2,38.0,3,2,0,0,0,0,30136.516,29435.797,30425.223,18682.36,13856.399,15258.3545,0.0,1600.0,1605.7006,600.49896,900.15625,1800.0,0
50000.0,1,3,2,31.0,0,0,0,0,0,0,31484.502,31334.773,33723.48,35128.203,37104.19,39996.082,1516.6094,4478.7764,2001.5441,2000.0,2191.619,1261.8439,0
349507.47,1,1,1,45.0,0,0,0,0,0,-1,14231.682,6289.8223,4506.43,3477.0383,8000.212,2278.9822,1000.0,2305.2322,948.1268,7423.1875,2023.5762,1500.0,0
484746.84,2,2,2,31.0,-1,-1,0,0,-1,-1,6877.933,5044.9507,5371.3154,7286.6333,7454.6045,17845.715,5000.0,3059.7512,3000.0,7000.0,16916.621,1500.0,0
90000.0,1,1,2,26.0,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,483.13336,0.0,0.0,0.0,499.39938,532.6713,0.0,695.3334,0
360000.0,2,1,2,32.327103,0,0,0,0,0,0,192095.61,179687.48,205155.83,209152.14,205916.22,187435.69,10000.0,73991.34,61221.426,52917.246,41525.996,24739.883,0
100000.0,2,3,2,34.0,2,2,2,2,2,2,76044.555,77172.625,77766.51,79117.22,78373.836,79522.96,4351.178,3417.4487,3152.593,1709.6119,2300.0,3004.246,1
200000.0,2,2,2,39.0,-1,-1,-1,-1,-1,-1,2634.389,5746.8027,865.2598,3524.8167,3725.1704,0.0,5585.625,1000.0,3505.856,4000.0,0.0,1000.0,0
240000.0,2,1,2,26.0,1,2,-1,-1,0,0,2546.7139,2513.1191,19054.863,249631.12,189897.05,160290.98,0.0,15214.458,545538.2,6098.459,6000.0,5200.201,0
180000.0,1,1,2,28.0,2,2,-1,-1,-1,2,854.6148,568.34265,4534.8066,-4432.205,44547.36,21221.467,0.0,4014.994,0.0,72034.25,298.02902,5000.0,0
80000.0,2,2,2,30.739618,0,0,0,0,-1,2,79678.95,42311.727,26410.54,26323.79,10213.753,10748.57,2000.0,1261.7511,1700.0,2000.0,650.8727,0.0,1
110000.0,2,1,2,25.0,1,2,0,0,-1,-1,0.0,0.0,3297.69,467.52377,9678.206,1901.5096,0.0,4000.0,0.0,10000.75,2000.0,0.0,1
500000.0,1,1,1,56.880764,-2,-2,-2,-2,-2,-2,42865.254,19237.182,17286.422,28170.477,3648.9824,1390.146,16946.666,17170.783,26673.213,3852.3684,1500.0,8147.191,0
180000.0,1,1,2,33.0,-2,-2,-2,-1,-1,-1,7090.2295,32414.264,67940.2,0.0,9664.874,818.1518,31408.27,88581.195,2799.9949,10795.821,971.74084,0.0,1
220000.0,1,1,2,31.0,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
70000.0,1,3,1,53.0,0,0,0,0,0,0,61869.953,48503.332,82372.03,19045.447,19942.61,21728.467,1693.5339,51534.82,3000.0,2000.0,2000.0,739.31146,1
290000.0,1,2,1,61.0,0,0,0,0,0,0,187154.39,188324.55,190242.89,171434.33,175954.8,242423.22,9100.713,8569.235,6985.028,7000.0,8000.0,6011.764,0
140000.0,2,3,2,57.62797,3,2,0,-1,0,0,20923.502,15711.863,29748.723,13076.482,14168.233,15300.1045,0.0,26386.414,19190.463,9103.436,10000.0,10000.0,1
150000.0,2,2,2,33.0,0,0,-1,-1,0,0,175699.03,45987.355,19483.725,195680.7,192210.89,196318.6,23972.38,249854.83,193445.81,5684.094,10000.0,0.0,0
500000.0,2,1,2,35.0,-1,-1,-1,-1,-1,-1,2500.0,1542.5,5745.136,4407.2764,2922.2717,1943.12,1597.5363,5940.1226,4500.0,3174.8616,2000.0,986.74255,0
130000.0,2,2,2,30.0,0,0,0,2,0,0,113781.99,114200.12,124572.61,120396.42,122312.76,124895.33,5689.578,12095.553,0.0,4883.7354,5000.0,5000.0,0
50000.0,1,2,2,30.0,0,0,0,0,0,0,45433.027,44594.42,34611.965,32470.613,27764.078,20409.262,6292.88,2239.3306,2071.5474,2000.0,2500.0,0.0,0
270000.0,1,1,2,29.0,0,0,-1,0,0,-1,7218.8926,7310.4272,8089.175,10812.958,6989.0063,12803.52,1324.1084,6654.089,1000.0,3901.947,12856.375,15617.391,0
200000.0,2,3,1,46.0,-1,-1,-1,0,-2,-1,2779.3992,2486.8555,15116.32,3146.36,962.46375,7061.411,2554.2114,15000.0,2000.0,1000.0,6781.2676,2332.4592,0
60000.0,2,1,2,29.0,-1,0,0,0,-1,-1,9903.768,8391.673,7135.996,11016.371,7557.6685,9744.213,1305.2903,5482.768,6610.4487,7452.352,9587.647,0.0,0
50000.0,2,1,2,24.0,0,-1,0,0,0,0,4668.667,3926.5347,9131.015,17737.53,20203.785,33706.44,3903.7305,5864.2773,7000.0,10023.066,20000.0,3000.0,0
50000.0,2,2,2,52.0,0,0,0,0,0,0,44665.656,45736.5,48125.723,48311.65,11882.919,14923.63,1740.8949,3480.503,2514.4348,550.4106,2000.0,1000.0,1
20000.0,1,1,2,22.0,-1,-1,0,0,0,-1,424.35522,390.0,998.2099,977.3804,780.0,1516.5691,402.50842,1000.0,321.93488,0.0,1790.0074,0.0,0
290000.0,2,2,2,39.0,0,0,0,0,0,0,296770.47,302429.56,302073.34,273052.4,264762.3,214862.25,10138.793,11525.264,13336.699,7528.555,10446.04,7679.675,0
20000.0,1,1,1,40.0,-1,-1,-1,-1,-1,-1,1678.6674,7508.4053,8616.545,4431.483,19734.846,3733.1404,7277.4204,9000.0,4429.8276,67051.13,3371.5142,2868.377,0
210000.0,2,2,2,27.0,-1,4,3,0,0,-2,170312.98,24562.77,26144.95,29441.092,0.0,0.0,0.0,0.0,150.57913,0.0,0.0,0.0,1
20000.0,1,2,2,26.0,2,2,-2,-2,-2,-2,1403.1019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
50000.0,2,3,2,67.93793,0,0,0,0,0,0,8855.105,10853.079,14882.939,0.0,1129.9974,837.1263,1450.4369,2200.0,7121.2544,1800.4165,1798.6859,1000.0,0
170000.0,2,1,2,37.0,-2,-2,-2,-2,-2,-1,0.0,0.0,10597.277,4451.995,2902.7166,4227.337,0.0,10000.0,4259.8906,3486.749,1690.5007,1401.6711,1
390000.0,1,1,2,32.0,1,-1,-1,2,-1,0,0.0,1293.1543,5202.8345,4410.301,19638.098,18032.213,1400.0,5000.0,0.0,22719.72,7691.3877,135.98463,1
20000.0,2,3,1,25.0,0,0,0,0,0,0,19714.66,20144.258,20790.648,21195.746,21998.002,23393.2,1333.8773,1597.2617,1401.4286,1000.0,1000.0,997.80444,0
222661.86,2,5,2,35.0,0,0,0,0,0,-1,94300.695,91526.31,2288.2778,18400.254,9469.88,16510.486,1900.7007,2000.0,19324.703,5837.504,15125.38,171.07498,0
200000.0,2,3,2,32.0,0,0,0,-2,-2,0,9723.828,4685.521,0.0,0.0,0.0,0.0,1706.1353,0.0,0.0,0.0,0.0,0.0,0
