Length,Width,Size,Conc,Conc1,Asym,M3Long,M3Trans,Alpha,Dist,class
87.687294,31.134241,4.009614,0.11976235,0.061645776,42.88744,74.57149,-14.785836,2.287044,265.94894,g
68.27067,12.426734,3.0353327,0.29247025,0.18283579,38.182175,40.44242,10.378211,49.024906,167.75426,h
39.744408,11.293661,2.762608,0.37826645,0.24407318,2.3204527,31.643599,9.303694,40.327744,82.00941,h
81.06699,31.032438,3.1009123,0.20491734,0.11516591,50.245445,72.77256,29.84145,8.463436,279.46387,g
34.969612,18.56604,2.835105,0.34903127,0.1905155,1.1855139,26.956575,-17.160984,32.63181,194.43367,h
39.499493,20.15805,3.0994549,0.25805673,0.13089812,26.363997,22.789907,-13.960924,0.7177981,199.13622,g
49.72225,20.064285,2.9084446,0.24139394,0.13459843,15.970362,39.8155,-17.258923,2.3783891,242.91486,g
35.1301,18.017096,2.9298072,0.3422476,0.19471362,15.32132,20.773125,9.606059,16.432432,209.17647,g
99.48535,35.844955,3.9446092,0.13964498,0.07695079,-55.969353,63.017616,-25.221846,0.559452,342.34637,g
83.120125,28.503729,3.4056344,0.17642862,0.094155535,4.9357147,79.8681,20.665554,9.301318,213.66063,g
56.94907,30.194988,3.3024173,0.1615104,0.08312766,-10.367709,40.33395,26.845339,22.48361,224.71642,g
20.113989,14.591035,2.4705036,0.5086204,0.28346166,24.326942,16.903532,-7.6553907,11.237863,166.33453,h
55.745907,32.32963,3.8562183,0.15499815,0.0841636,22.038862,48.029915,17.031647,0.703088,174.64653,g
68.56744,62.16593,3.084705,0.38860148,0.20336023,13.616795,50.67997,-22.224619,34.24523,374.67197,h
149.19923,12.828326,2.7932239,0.27870688,0.14978452,56.795525,141.38391,8.430805,68.25295,150.95525,h
88.4428,32.908684,3.108082,0.16353504,0.08669922,-198.01672,91.44731,26.15546,50.065388,215.83649,h
65.73639,9.767418,2.5180228,0.44845775,0.24294478,-61.53059,46.08433,-4.1865897,10.274504,287.15454,g
171.85236,91.48199,3.5073502,0.16068016,0.08906199,-210.63,116.03011,-96.82834,29.068968,316.10516,h
42.63053,24.934816,3.2118127,0.21296383,0.11421715,-14.7652,-21.940784,-19.445133,3.3122628,242.54742,g
16.947739,9.851767,2.3563278,0.7637801,0.46749613,-15.410884,-10.3102455,10.570882,2.2105825,203.84143,g
71.63966,56.871967,3.2644455,0.12854826,0.092736,59.21765,71.24697,38.88124,59.976208,247.40543,h
89.42474,67.47029,3.425022,0.12539999,0.06507062,-26.790773,51.905296,25.321167,71.51721,324.80927,h
73.31633,52.71093,3.0694249,0.251501,0.13048713,50.281124,55.195232,-43.774517,4.197206,287.48804,h
38.068604,17.392065,2.7949302,0.36741704,0.21942113,34.724804,-22.089025,-12.7301,8.767573,204.54285,g
64.15204,37.904583,3.199682,0.16404794,0.084207654,32.705357,-36.22669,-32.82419,88.47409,112.78373,h
24.818256,13.678137,2.635118,0.4322848,0.230678,-5.9013786,-9.3252125,8.035912,6.9890327,194.62675,g
22.703857,12.575659,2.6412878,0.54526335,0.27938434,5.7877283,6.8507133,-5.171539,10.256774,222.40024,g
12.935702,10.1220255,2.2323718,0.8079917,0.56692255,9.821642,7.626385,6.9065204,89.70335,187.05739,h
61.592007,23.680853,3.3035953,0.15148884,0.07885556,-5.52207,-28.463554,-9.279542,6.852567,202.16624,g
29.07116,10.110011,2.3448462,0.540493,0.30350518,33.047844,18.782055,-5.895216,14.120616,185.39583,g
76.41897,21.120422,3.3526022,0.2408911,0.12480438,45.069813,71.78151,-15.4610195,2.8476245,281.0393,g
92.17234,21.525032,3.1871753,0.16460988,0.08268568,-27.476164,71.12146,-15.3477545,9.064915,269.75424,g
100.949905,21.788317,2.7867386,0.4565478,0.27037176,-98.04753,58.217075,15.772645,49.604774,283.3245,h
116.706245,72.87123,4.361463,0.05939987,0.03189573,-106.22545,85.37184,43.807392,15.701627,307.13165,h
97.69174,68.59895,3.7981431,0.17424393,0.091184475,-2.4458127,61.079273,-23.678942,21.10118,396.36618,h
69.47089,16.90439,2.7187302,0.29053938,0.15260461,-130.92479,65.76059,-10.298661,9.647405,221.66078,g
36.92905,7.276514,2.3040938,0.49021193,0.24570923,36.96163,-23.31899,-5.7642384,10.016809,225.90411,g
23.018715,10.5666485,2.4857798,0.4880427,0.2820406,5.2137775,0.9855187,-8.040464,86.57152,170.81233,h
74.2474,33.239384,2.9835062,0.3459643,0.2033776,18.318686,43.89982,-18.746197,2.0412111,346.21027,g
66.81649,18.535913,3.0235946,0.24823317,0.12777999,-81.728966,59.58517,11.445206,12.335419,255.39003,g
29.339426,17.29856,2.7097452,0.3513711,0.17880225,25.986252,-15.95993,-14.10078,25.682941,192.15346,g
42.04754,3.306455e-05,2.583608,0.58433646,0.36783403,-51.166546,-33.835827,-4.468488,44.488968,189.76637,h
35.36264,17.101461,2.9161088,0.32087067,0.16833581,22.935652,18.569384,6.529278,58.637928,36.160023,g
104.922226,35.104187,3.2344096,0.19513685,0.101197846,-17.839182,79.86466,-24.228542,6.8292146,343.71408,g
90.01089,30.383299,3.3261423,0.19714005,0.10633468,-39.82236,49.815205,-16.856598,0.92445534,352.42758,g
44.002136,10.728333,2.9741094,0.36738726,0.20644318,1.004569,27.914658,-5.7969613,15.571711,154.90974,h
59.964016,25.0415,2.918418,0.2454522,0.12414692,20.241003,54.493942,-14.044498,9.8970585,278.96445,g
88.29577,21.198988,3.1046326,0.19933166,0.10897173,59.281414,78.52788,-16.323242,4.62209,243.40489,g
110.12233,76.289085,3.5690098,0.13587631,0.084010765,-101.74725,71.37752,-40.78666,19.581339,374.9117,h
109.67436,28.560822,3.3373034,0.1622636,0.08507464,-121.85673,82.157936,20.032253,2.67853,303.03662,g
21.28618,10.803664,2.584718,0.5697546,0.32273078,24.50458,12.66073,0.23406225,58.641754,233.66444,h
