Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
3.0,155.92148,0.0,0.0,44.0,1208.0062,0.0,0.010237259,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,True,False
2.0,24.579556,0.0,0.0,133.05077,3200.4673,0.0008738952,0.009625012,0.0,0.0,Nov,4,1,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,27.0,858.3584,0.0,0.022781653,0.0,0.0,Oct,2,2,1,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,31.795229,1231.3787,0.0,0.0064846305,20.938877,0.0,Dec,1,1,4,2,Returning_Visitor,False,True
6.0,125.66179,0.0,0.0,94.43573,2360.9348,0.0022493836,0.013506452,0.0,0.0,Nov,4,1,8,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,15.0,1052.5522,0.000231404,0.015845846,0.0,0.0,Nov,3,8,1,11,Returning_Visitor,False,False
13.539508,275.11703,2.0,21.679365,108.61006,2697.873,0.014357044,0.025621887,5.6590543,0.0,Nov,3,2,1,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,15.0,254.0955,0.009336897,0.024759393,15.977804,0.0,Dec,2,5,3,11,Returning_Visitor,False,True
6.492102,191.93365,0.0,0.0,35.0,836.54944,0.0,0.0062511256,42.0551,0.0,Aug,1,2,8,2,Returning_Visitor,False,True
1.0,11.506596,0.0,0.0,22.0,1013.6775,0.0125,0.034925435,4.1048975,0.0,Dec,1,1,2,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,71.11777,1302.0746,0.015384615,0.025003124,0.0,0.4,May,1,1,6,11,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,5.0,49.27264,0.0,0.03797158,0.0,0.0,Mar,1,1,1,2,Returning_Visitor,False,False
7.0,148.07732,0.0,0.0,169.37206,3466.0833,0.0,0.004114253,53.22488,0.0,Nov,2,2,1,2,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,108.8453,4364.862,0.0038989608,0.028571429,0.0,0.0,Nov,2,2,4,2,Returning_Visitor,True,False
3.0,114.432945,1.3001788,117.54272,31.955894,1275.2528,0.015384615,0.043724727,0.0,0.0,Sep,2,2,1,2,Returning_Visitor,False,False
2.0,107.8246,0.0,0.0,35.0,1774.4095,0.0073326384,0.028740108,0.0,0.0,Dec,2,2,3,2,Returning_Visitor,False,True
3.0,84.65798,0.0,0.0,14.0,785.717,0.0,0.04206844,0.0,0.0,Nov,1,1,3,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,12.0,1240.7622,0.020833671,0.026524687,0.0,0.0,Nov,2,5,1,11,Returning_Visitor,False,False
3.0,94.1456,0.0,0.0,95.34842,2858.2603,0.009090909,0.022222223,3.8460658,0.0,Nov,1,1,1,2,Returning_Visitor,False,True
4.0,123.480446,1.0,0.0,19.0,665.09937,0.0,0.03032335,0.0,0.0,Dec,3,3,3,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,14.0,474.87643,0.024545383,0.0346248,0.0,0.0,Nov,3,2,4,2,Returning_Visitor,True,False
