LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
20000.0,2,2,2,28.0,2,2,3,2,2,2,16614.264,17744.121,18164.223,19957.629,20138.145,21175.9,0.0,0.0,1002.2247,0.0,0.0,2477.4734,0
20000.0,1,2,2,30.0,2,2,2,2,-1,-1,230.89746,-717.25104,326.0,615.46246,0.0,16726.436,1813.6276,0.0,482.5379,0.0,37333.27,5499.93,0
70000.0,2,2,2,42.0,0,0,0,0,0,0,80182.516,107549.52,24372.676,16940.541,18062.45,18490.123,2237.9912,2000.0,1131.887,956.9234,844.2057,0.0,0
50000.0,1,2,2,23.0,2,0,0,0,0,0,45663.984,46034.14,40362.87,52653.254,53184.97,52818.418,0.0,3206.0044,0.0,2000.0,2023.6395,0.0,1
20000.0,1,1,2,33.0,-2,-2,-2,-2,-1,-1,390.0,-80.49274,0.0,0.0,9432.823,9245.996,0.0,0.0,0.0,5481.698,2363.38,1026.2748,1
310000.0,1,2,2,37.0,2,2,2,2,2,2,351.9878,11375.612,5520.317,4190.559,883.1204,558.0612,13752.145,0.0,965.14,0.0,1004.7011,1500.0,1
100000.0,1,2,2,39.0,0,0,0,0,0,0,190036.62,0.0,94310.125,91436.48,107795.94,111193.03,2501.2368,239662.33,6227.107,3415.513,4000.0513,5027.1978,0
50000.0,2,2,1,25.0,2,2,-1,-1,-1,2,62237.74,74792.82,1151.8401,1498.5022,3341.2068,3280.9507,5751.6396,10000.0,0.0,1057.2972,0.0,3161.6526,1
50000.0,1,3,1,56.033375,2,0,0,0,0,0,62602.56,60662.684,128452.4,69511.17,71772.67,90227.95,3965.5273,20259.506,3001.0347,5167.285,5000.0,8000.0,1
30000.0,1,2,1,29.0,2,2,2,2,2,2,44027.1,685.336,49538.777,50635.645,50645.074,50755.645,0.0,4290.899,0.0,1123.2645,2214.1885,2000.0,1
40000.0,2,2,1,32.0,-2,-2,-2,-2,-1,-2,0.0,0.0,1026.5847,3774.7263,648.2636,543.9108,0.0,1044.9812,1600.0,600.0,500.0,2131.143,0
50000.0,2,2,1,38.0,2,2,2,2,2,2,16572.213,17012.244,20710.354,19042.1,19973.855,20052.12,0.0,11635.113,0.0,1500.0,0.0,1500.0,1
20000.0,1,2,2,78.159256,2,2,2,2,2,2,2278.8674,3262.6604,3998.8088,4666.7026,3506.543,4436.6733,2000.0,1000.0,2051.314,0.0,0.0,0.0,1
100000.0,1,1,2,29.0,2,2,2,-1,-1,0,487.08026,0.0,0.0,388.75388,0.0,2032.9386,0.0,0.0,924.90643,0.0,2042.3792,1979.13,0
80000.0,2,2,2,36.0,0,0,0,0,-1,-1,10575.635,9552.674,8104.9917,25906.105,163.26917,11199.271,5000.0,1300.0,10786.202,1100.0,5000.9995,8854.861,0
20000.0,1,1,2,26.0,2,0,0,0,0,0,31193.053,36403.61,34815.74,31570.568,30396.941,29996.355,3500.0,2296.9119,325.44666,1598.672,1200.5425,2011.4061,1
100000.0,2,2,2,31.0,2,2,0,2,2,2,30969.193,46131.406,49446.85,55264.848,67117.055,72399.94,3700.0,5009.409,1477.7294,1909.7721,10000.0,4000.0,0
30000.0,2,2,2,25.0,2,2,0,0,2,2,2773.7224,2209.6973,3543.4136,4159.1895,4428.6274,3516.197,0.0,1650.4398,2000.0,698.3074,0.0,15885.938,1
50000.0,2,3,2,45.0,2,2,2,2,2,2,58109.598,57226.984,53389.242,54147.164,56745.445,64139.086,0.0,0.0,2177.3982,3973.2876,0.0,3492.7288,0
20000.0,1,2,1,57.0,2,2,2,-1,-1,2,12880.257,12054.238,13170.431,7520.4053,15474.286,23240.596,1284.9293,780.0,2000.0,2100.0,8105.896,3000.0,1
80000.0,1,2,2,27.0,2,0,0,0,2,0,89782.15,93120.97,96867.27,96205.086,49247.508,49536.246,3000.0,5000.0,4036.5215,0.0,3000.0,2428.9219,0
50000.0,2,1,2,28.0,2,2,2,2,2,2,48477.53,46318.777,40311.555,91328.69,26407.574,50954.777,0.0,0.0,5131.9653,5424.8794,3462.4585,18063.322,0
10000.0,2,2,2,21.298128,2,0,0,0,2,2,3826.9856,4027.4084,7690.4946,9729.43,12403.646,12530.031,1530.2815,1820.7194,1748.609,1438.4453,0.0,3174.0425,0
