Length,Width,Size,Conc,Conc1,Asym,M3Long,M3Trans,Alpha,Dist,class
91.161736,67.30003,2.8133657,0.36260903,0.19086726,99.05512,-75.985344,-11.186456,17.394377,174.92427,h
258.8999,28.056383,2.838507,0.4661584,0.3350356,-247.35925,82.05843,-20.140116,11.957652,273.56705,h
301.7398,200.1139,4.789713,0.023674954,0.019592246,-17.487062,71.072174,107.01567,85.442535,228.2961,h
334.177,109.06219,3.5982673,0.19376853,0.1888714,575.0516,-331.78,89.13653,87.20583,44.91657,h
330.5325,204.5404,3.3223267,0.2043938,0.12386595,169.87408,-207.32043,-85.2356,34.638306,215.85889,h
334.1719,14.130435,2.7824786,0.34458327,0.20519018,22.099546,-110.40251,5.998584,80.66519,13.0067215,g
262.42264,28.902323,3.0201943,0.44642967,0.30030307,-12.084383,-241.32394,3.8410256,11.369862,275.74042,h
106.56944,35.14168,3.0616791,0.22561419,0.12800221,25.631483,76.96907,24.153807,6.2490816,214.59846,h
323.58273,82.50577,3.0895026,0.24303201,0.13628513,-209.57077,-231.20998,65.39531,8.950723,61.02916,h
21.977436,15.628369,2.4940066,0.42430997,0.24394152,-18.314129,7.62324,7.2319293,48.584106,121.47779,g
206.03838,10.718794,2.6494913,0.3227602,0.17155656,172.71022,-66.359604,3.786877,17.163643,204.25983,g
270.96567,12.658542,2.8971,0.39117405,0.24308747,103.32632,-92.71809,7.6484694,48.898636,80.06205,h
221.0171,23.11094,3.366496,0.14793369,0.07953561,125.999664,113.41417,11.873099,65.58208,167.51012,h
276.16663,20.352695,2.7295785,0.491472,0.2145949,33.20774,131.75912,7.3630714,47.733253,82.678955,h
332.74142,34.09497,3.0838203,0.3911484,0.22770865,-135.82266,-330.18478,-16.098768,31.318094,322.2497,h
334.177,18.661469,3.1526585,0.30518904,0.14458443,-442.2458,180.6737,-17.367945,9.780115,94.56885,h
297.88986,74.44234,3.508763,0.11750242,0.07235722,-199.66734,-181.19887,-56.233932,47.400257,39.81284,h
334.07248,89.493004,3.38664,0.19641848,0.1330565,574.74365,-331.127,43.26802,11.077658,188.39636,h
