Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.0,0.0,0.0,0.0,45.0,1395.4062,0.0,0.01932813,0.0,0.6,May,1,1,1,4,New_Visitor,False,False
0.0,0.0,0.0,0.0,152.11232,4154.8574,0.0023224105,0.0,27.064693,0.0,Mar,1,1,1,3,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,84.03307,456.35202,0.2,0.06874994,3.561947,0.0,Nov,4,1,1,6,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,22.0,833.02325,0.0,0.014285714,0.0,0.0,Nov,2,1,3,1,Returning_Visitor,False,True
9.0,312.1427,0.0,0.0,137.28749,2798.874,0.004820529,0.0044428078,254.91084,0.0,Oct,3,2,6,3,New_Visitor,True,True
13.0,387.47348,0.0,0.0,260.5757,3925.6692,0.0,0.0133732995,0.0,0.0,Nov,2,4,7,3,Returning_Visitor,False,False
16.453629,332.86096,0.0,0.0,694.03546,8645.417,0.0010370337,0.0,64.97307,1.0,May,1,1,3,1,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,74.39328,436.1602,0.0,0.018741703,31.032175,0.0,Aug,2,4,3,9,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,29.0,182.45184,0.17309472,0.08564254,10.621701,0.0,Oct,3,2,1,3,Returning_Visitor,False,True
14.217954,1253.9342,0.0,0.0,667.94727,51604.723,0.0,0.0047914768,22.805128,0.0,Nov,1,1,1,3,Returning_Visitor,False,True
8.0,158.00288,4.0,993.60254,197.42615,2675.0203,0.0,0.0030919667,361.6561,0.0,Mar,4,1,1,8,Returning_Visitor,False,True
14.638377,97.522,2.0,788.4597,50.0,1527.3307,0.06666667,0.06756331,45.773766,0.0,Oct,1,1,3,1,Returning_Visitor,False,False
8.0,105.00436,0.0,0.0,76.342545,1575.0189,0.0082172025,0.0007174275,0.0,0.0,Mar,1,1,1,10,Returning_Visitor,False,False
0.0,52.350807,0.0,0.0,74.040474,769.8704,0.0,0.0023727997,0.5887658,0.0,May,4,1,1,4,Returning_Visitor,False,True
9.0,90.3479,0.0,0.0,694.7278,11168.843,0.0,0.0037259387,3.5546174,0.0,Dec,1,1,1,1,Returning_Visitor,False,False
7.0,17.577015,0.0,0.0,61.613,1121.6132,0.0,0.011352864,0.0,0.0,June,1,1,1,1,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,100.73017,2154.4802,0.0,0.009503956,0.0,0.0,Mar,2,4,1,3,Returning_Visitor,True,True
15.513552,2150.775,8.132439,160.97867,704.7818,3599.8142,0.011489971,0.0,122.48338,0.0,Nov,1,1,6,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Mar,1,1,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,262.64398,28663.285,0.005462918,0.018181818,56.490185,0.0,Nov,3,1,8,3,Returning_Visitor,False,True
9.0,219.12564,2.0,587.1232,245.97731,5335.5293,0.027012622,0.015003582,21.811281,0.0,Nov,1,1,1,3,Returning_Visitor,False,True
10.529377,374.8152,2.0,0.0,150.7979,2425.9294,0.0,0.022222223,0.0,0.6,May,1,5,4,1,Returning_Visitor,False,True
2.0,0.0,0.0,0.0,41.0,2619.8274,0.015384615,0.03333333,0.0,0.0,Mar,2,4,1,1,New_Visitor,False,True
8.0,146.60767,0.0,0.0,135.51442,2113.1453,0.016962852,0.01693206,8.609003,0.0,Oct,1,4,1,1,Returning_Visitor,False,True
8.0,603.5557,0.0,0.0,273.90372,9571.008,0.0,0.0025653422,0.0,0.0,Nov,4,5,4,3,Returning_Visitor,False,True
4.0,84.25934,0.0,0.0,50.0,4169.8267,0.0,0.004690878,361.65588,0.0,Nov,1,1,4,3,New_Visitor,False,True
26.04473,164.87405,0.0,147.95811,133.96964,5980.21,0.0,0.0074551892,0.0,0.0,Aug,4,1,1,5,Returning_Visitor,False,True
6.0,142.28833,1.0,240.5933,464.18076,6237.046,0.0125,0.012398181,62.003437,0.0,Mar,1,1,1,10,Returning_Visitor,False,True
7.0,124.908264,0.0,0.0,18.0,0.0,0.2,0.2,0.0,0.0,Oct,4,1,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,28.0,1443.5725,0.003544231,0.012097468,0.0,1.0,May,2,4,1,13,Returning_Visitor,False,False
8.0,122.52343,0.0,0.0,152.57077,1023.1759,0.028571429,0.048102427,0.0,0.0,May,3,2,1,3,Returning_Visitor,False,True
2.0,0.0,0.0,0.0,33.0,0.0,0.0,0.008333333,5.751608,0.0,May,2,2,1,8,Returning_Visitor,True,True
3.0,61.86218,0.0,0.0,515.09625,8200.132,0.0,0.0,294.3786,0.0,Mar,1,1,7,10,Returning_Visitor,False,True
5.0,579.67017,0.0,0.0,162.10188,8198.647,0.0,0.0,361.76373,0.0,Nov,4,1,1,3,Returning_Visitor,False,True
0.0,0.0,0.0,11.682995,34.0,1402.1057,0.0,0.0044564153,26.841198,0.0,Nov,1,1,1,1,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,49.475845,560.28076,0.038544454,0.08185251,0.0,0.0,Oct,2,4,1,3,Returning_Visitor,False,False
13.0,236.42134,3.0,593.1429,81.558426,5045.363,0.0042516193,0.0059953523,54.042355,0.0,Nov,2,2,8,3,Returning_Visitor,True,False
7.0,1135.8792,0.0,0.0,50.0,742.62463,0.030088548,0.013000789,10.982756,0.0,Mar,1,4,1,3,Returning_Visitor,False,True
13.0,822.17004,6.4803576,0.0,25.0,2572.477,0.0,0.0046867034,0.0,0.0,Mar,1,4,1,8,Returning_Visitor,False,True
7.0,179.73294,0.0,0.0,153.037,3167.0105,0.0,0.004317617,24.458044,0.0,Nov,3,4,1,10,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,39.302853,2295.4705,0.0,0.013098402,21.012669,0.0,Feb,1,1,1,20,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,44.693874,1197.0587,0.0,0.022683207,0.0,0.0,May,2,4,1,3,Returning_Visitor,False,True
2.0,125.60427,0.0,0.0,545.88696,10757.054,0.0,0.0062521514,0.0,0.0,Jul,2,10,1,5,Returning_Visitor,False,True
7.0,0.0,0.0,0.0,15.0,1542.5493,0.028571429,0.045375377,0.0,0.0,May,2,4,9,3,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,76.423676,5594.998,0.0,0.0028948032,361.53873,0.0,Nov,4,6,1,3,Returning_Visitor,True,True
3.0,271.9115,0.0,0.0,30.0,358.0464,0.06174177,0.06447109,41.411114,0.0,Nov,2,5,1,1,Returning_Visitor,False,True
15.922957,556.74835,2.0,0.0,313.30545,7306.99,0.035049487,0.022969322,0.0,0.0,Oct,1,1,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,115.927795,2601.1274,0.02093902,0.025,37.57193,0.0,Nov,4,2,1,1,Returning_Visitor,False,True
22.454988,1292.9242,0.0,0.0,242.67476,43071.02,0.0,0.0,348.39648,0.0,Nov,4,4,7,8,New_Visitor,False,False
1.0,224.51149,0.0,0.0,662.8333,60090.793,0.0071109324,0.02875683,64.75768,0.0,Nov,2,4,1,3,Returning_Visitor,True,True
7.0,296.84534,0.0,0.0,585.1456,7977.1055,0.004367965,0.014419821,28.367535,0.0,Nov,1,1,1,8,Returning_Visitor,False,True
1.0,43.072247,0.0,0.0,171.77896,2837.1152,0.0,0.006124805,0.0,0.0,Oct,1,1,4,1,Returning_Visitor,False,False
2.0,0.0,0.0,76.04721,212.21156,7502.5396,0.0,0.02,0.0,0.0,Mar,2,5,1,8,Returning_Visitor,False,True
11.496086,71.576126,0.0,0.0,79.04988,250.60158,0.19278105,0.1,0.0,0.0,Mar,3,4,1,8,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,69.2905,2113.9763,0.0,0.0012338961,97.092804,0.0,Mar,1,1,1,3,Returning_Visitor,False,False
8.0,761.4614,0.0,20.642647,701.06775,12937.722,0.016620534,0.020483473,32.124973,0.0,Jul,4,1,4,3,Returning_Visitor,False,True
9.0,287.13336,0.0,0.0,135.21977,3015.2837,0.004395527,0.0,0.0,0.0,Sep,1,1,1,5,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,24.133417,38.35772,0.0,0.0026895937,0.0,0.0,Dec,1,1,4,10,New_Visitor,False,False
8.0,580.2669,0.0,0.0,424.3125,4591.663,0.007889957,0.014285714,0.0,0.0,Oct,1,4,7,1,Returning_Visitor,False,True
4.0,135.51352,0.0,0.0,58.13122,933.501,0.0,0.011780392,22.082731,0.0,Nov,2,5,1,3,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,96.65377,2433.8962,0.0,0.019058434,215.32785,0.0,Oct,1,8,1,1,Returning_Visitor,True,True
5.0,123.73914,0.0,0.0,18.720324,235.65353,0.0013166148,0.0016940389,0.0,1.0,May,4,10,1,3,Returning_Visitor,False,False
10.0,996.82166,2.351384,211.22575,591.621,6671.371,0.003936431,0.0066582304,0.0,0.0,Dec,2,4,1,3,Returning_Visitor,False,False
8.0,0.0,0.0,0.0,70.34825,2363.7395,0.04868878,0.02432795,101.74923,0.0,Oct,2,4,7,10,Returning_Visitor,False,True
11.0,262.4925,0.0,0.0,162.00879,2102.8794,0.004690356,0.0133390445,0.0,0.0,Dec,4,1,1,4,Returning_Visitor,False,True
1.0,71.6044,0.0,0.0,167.72362,2424.2966,0.0,0.0040997723,38.03714,0.0,Oct,2,4,7,10,Returning_Visitor,False,True
10.0,745.978,0.0,0.0,136.76363,6755.8447,0.0,0.01,73.53436,0.0,Oct,1,1,9,9,Returning_Visitor,False,True
5.0,23.015022,0.0,0.0,53.671597,539.55817,0.0,0.0,26.675283,0.0,Dec,1,2,1,10,Returning_Visitor,False,True
3.0,110.171265,0.0,0.0,117.379814,11908.108,0.0,0.02,0.0,0.0,Dec,1,1,3,10,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,22.892338,0.0,0.1,0.0,0.0,Nov,1,2,3,6,New_Visitor,False,False
0.0,0.0,0.0,0.0,19.0,68.69053,0.2,0.2,0.0,0.0,Dec,1,1,1,1,Returning_Visitor,False,False
18.049417,54.792522,1.0,27.507954,651.01117,49550.035,0.011527655,0.022222223,310.78052,0.4,May,1,1,6,1,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,13.0,58.54716,0.0,0.026303295,0.0,0.0,May,4,1,8,3,Returning_Visitor,False,False
0.0,0.0,2.0,520.0603,55.0,474.58087,0.02,0.034645222,57.212933,0.0,Nov,1,4,1,3,Returning_Visitor,False,False
4.0,516.72687,0.0,0.0,615.8262,49005.766,0.0047707306,0.012219417,76.388054,0.0,Oct,2,2,4,2,Returning_Visitor,False,False
4.0,75.44416,0.0,0.0,139.5728,3592.1184,0.0,0.013420075,4.057648,0.0,Oct,4,1,1,1,Returning_Visitor,False,True
11.574469,1653.2546,0.0,0.0,701.2891,27843.668,0.0,0.0,84.24062,0.0,Mar,1,5,4,8,Returning_Visitor,False,True
8.0,93.76849,0.0,0.0,11.58602,152.72026,0.02753874,0.011111111,0.0,0.0,Oct,4,1,1,3,Returning_Visitor,False,True
8.323973,838.92316,0.0,0.0,525.0261,7091.436,0.0,0.005336496,61.461063,0.0,Dec,1,1,1,3,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,22.0,521.39984,0.0,0.032128382,0.0,0.0,Aug,1,2,4,2,Returning_Visitor,False,True
7.0,328.82312,0.0,0.0,68.585724,1715.0471,0.022662323,0.019211879,106.1839,0.0,Oct,3,4,1,3,Returning_Visitor,False,True
3.0,69.554436,0.0,0.0,28.128712,1009.344,0.0,0.0,0.0,0.0,June,1,8,1,1,Returning_Visitor,False,False
13.0,75.087234,0.0,0.0,278.04,4024.9597,0.0,0.0,0.0,0.0,Oct,1,1,1,2,Returning_Visitor,False,True
7.0,210.09827,2.0,608.964,314.9215,7219.291,0.0,0.0,0.0,0.0,Nov,4,2,4,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,206.83653,1404.221,0.016666668,0.02,38.180534,0.0,May,2,4,1,3,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,5.0,61.49203,0.1,0.05598143,45.05013,0.0,Mar,3,5,1,1,Returning_Visitor,False,True
0.0,0.0,2.0,171.18532,260.66498,12337.256,0.025,0.029835938,0.0,0.0,Nov,1,1,1,1,Returning_Visitor,False,False
15.390015,74.97082,1.0,60.33799,115.08308,8633.629,0.012971995,0.022278367,16.251577,0.0,Feb,2,2,1,3,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,75.25757,1756.2367,0.011885159,0.0061810203,0.0,0.0,Oct,2,2,1,4,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,76.352875,1193.312,0.0,0.0124817705,87.96164,0.0,Oct,4,1,1,2,Returning_Visitor,False,True
3.0,0.0,0.0,0.0,66.06191,0.0,0.0,0.028571429,45.748997,0.0,Mar,2,2,1,5,Returning_Visitor,False,True
8.0,314.70038,0.0,0.0,41.0,300.41763,0.0,0.005812293,0.0,0.0,Aug,1,1,1,2,Returning_Visitor,False,False
8.0,0.0,0.0,0.0,81.31389,1780.134,0.0027600876,0.014067534,2.2175126,0.0,June,4,4,1,3,Returning_Visitor,False,True
