step,mloss,gloss,loss
1.0,2.2064,1.1732,3.3796
2.0,90.4423,66741.7812,66832.2235
3.0,1.6059,2.1293,3.7352000000000003
4.0,1.5983,1.56,3.1583
5.0,1.6238,1.1166,2.7404
6.0,1.4294,1.4653,2.8947000000000003
7.0,8.666,45.987,54.653000000000006
8.0,3.9436,138.7967,142.7403
9.0,1.8447,13.0254,14.870099999999999
10.0,3.5611,11.6682,15.2293
11.0,1.3355,1.6159,2.9513999999999996
12.0,1.3916,1.3917,2.7832999999999997
13.0,1.6147,1.2931,2.9078
14.0,1.4432,1.2311,2.6743
15.0,1.5057,1.3466,2.8523
16.0,1.3707,1.3294,2.7001
17.0,1.4019,1.1885,2.5904
18.0,1.3225,1.1013,2.4238
19.0,1.3512,1.0572,2.4084
20.0,1.3901,1.1133,2.5034
21.0,1.3873,1.3059,2.6932
22.0,1.5956,3.8497,5.4453
23.0,1.2404,1.5825,2.8228999999999997
24.0,1.2875,2.2872,3.5747
25.0,1.2729,1.2122,2.4851
26.0,1.3599,2.0412,3.4011
27.0,1.2632,1.0649,2.3281
28.0,1.3125,1.7234,3.0359
29.0,1.2138,1.1796,2.3933999999999997
30.0,1.2388,1.1729,2.4116999999999997
31.0,1.2256,1.1824,2.408
32.0,1.1948,1.0453,2.2401
33.0,1.2306,1.0679,2.2984999999999998
34.0,1.2707,1.0709,2.3415999999999997
35.0,1.2104,1.0094,2.2198
36.0,1.1798,1.0014,2.1812
37.0,1.2643,1.0267,2.291
38.0,1.2025,1.036,2.2385
39.0,1.2747,1.0105,2.2851999999999997
40.0,1.2386,1.0008,2.2394
41.0,1.2199,1.006,2.2259
42.0,1.1889,0.9984,2.1873
43.0,1.2182,0.9958,2.214
44.0,1.1979,1.015,2.2129
45.0,1.251,0.9986,2.2496
46.0,1.2155,0.9912,2.2067
47.0,1.1576,1.0051,2.1627
48.0,1.1899,1.0134,2.2033
49.0,1.168,0.9896,2.1576
50.0,1.2012,1.0068,2.208
51.0,1.2298,0.9937,2.2235
52.0,1.1834,0.9994,2.1828
53.0,1.233,1.0075,2.2405
54.0,1.2234,1.0072,2.2306
55.0,1.2209,0.9964,2.2173
56.0,1.2268,1.0148,2.2416
57.0,1.189,0.9945,2.1835
58.0,1.1603,1.0034,2.1637000000000004
59.0,1.1438,0.9917,2.1355
60.0,1.192,1.0108,2.2028
61.0,1.2498,0.9986,2.2484
62.0,1.1566,0.9955,2.1521
63.0,1.1748,0.9888,2.1636
64.0,1.2155,0.9927,2.2082
65.0,1.151,0.9885,2.1395
66.0,1.2277,0.9991,2.2268
67.0,1.1549,0.9885,2.1434
68.0,1.1971,0.9912,2.1883
69.0,1.2212,1.0079,2.2291
70.0,1.182,0.9995,2.1814999999999998
71.0,1.174,1.0092,2.1832000000000003
72.0,1.184,0.9991,2.1831
73.0,1.241,0.9858,2.2268
74.0,1.1515,0.9873,2.1388
75.0,1.1684,0.9957,2.1641000000000004
76.0,1.2041,1.0019,2.206
77.0,1.1947,0.9949,2.1896
78.0,1.2215,0.99,2.2115
79.0,1.1456,0.9935,2.1391
80.0,1.1509,0.9943,2.1452
81.0,1.2156,1.0025,2.2180999999999997
82.0,1.1454,1.0059,2.1513
83.0,1.1809,0.993,2.1739
84.0,1.1804,1.0254,2.2058
85.0,1.2433,1.0142,2.2575000000000003
86.0,1.1942,1.0033,2.1975
87.0,1.161,0.9865,2.1475
88.0,1.2283,1.005,2.2333
89.0,1.1726,0.9862,2.1588000000000003
90.0,1.1642,1.0101,2.1742999999999997
91.0,1.1923,1.0103,2.2026
92.0,1.2047,0.9952,2.1999
93.0,1.1772,1.0044,2.1816
94.0,1.2017,1.0229,2.2245999999999997
95.0,1.2225,0.9946,2.2171
96.0,1.1567,0.9958,2.1525
97.0,1.2154,1.0019,2.2173
98.0,1.1666,1.0169,2.1835
