step,mloss,gloss,loss
1.0,2.5009,1.3029,3.8038
2.0,32.5383,60155.3828,60187.9211
3.0,9.2391,339.4251,348.6642
4.0,2.4772,2.9401,5.4173
5.0,2.4685,1.107,3.5755
6.0,2.6442,2.617,5.2612000000000005
7.0,2.7415,1.7171,4.4586
8.0,2.4188,1.0286,3.4474
9.0,2.4716,1.0607,3.5323
10.0,2.3505,1.04,3.3905
11.0,2.3648,0.9864,3.3512
12.0,2.372,0.99,3.362
13.0,2.377,1.0168,3.3937999999999997
14.0,2.4226,1.0123,3.4349
15.0,2.4451,1.0156,3.4607
16.0,2.4074,1.0212,3.4286000000000003
17.0,2.3087,0.9959,3.3045999999999998
18.0,2.3571,0.9983,3.3554
19.0,2.431,0.9921,3.4231
20.0,2.4462,1.0022,3.4484000000000004
21.0,2.4957,0.9958,3.4915
22.0,2.3701,0.998,3.3681
23.0,2.4084,0.9993,3.4076999999999997
24.0,2.3906,1.0055,3.3961
25.0,2.3979,1.0052,3.4031000000000002
26.0,2.5686,0.9952,3.5638
27.0,2.4297,1.0001,3.4298
28.0,2.422,0.9881,3.4101
29.0,2.4532,1.0066,3.4597999999999995
30.0,2.6352,0.9997,3.6349
31.0,2.4129,1.0002,3.4131
32.0,2.5195,1.0033,3.5228
33.0,2.4948,1.0043,3.4991000000000003
34.0,2.3565,1.0021,3.3586
35.0,2.398,0.9935,3.3915
36.0,2.3844,1.0096,3.394
37.0,2.3874,1.0038,3.3912
38.0,2.3766,1.0055,3.3821
39.0,2.3566,1.0027,3.3592999999999997
40.0,2.3697,0.9736,3.3433
41.0,2.2912,0.9985,3.2897
42.0,2.4326,1.0031,3.4356999999999998
43.0,2.326,1.0079,3.3339
44.0,2.357,1.0175,3.3745000000000003
45.0,2.477,1.0048,3.4818
46.0,2.3729,0.9971,3.37
47.0,2.2704,1.0112,3.2816
48.0,2.4756,0.9991,3.4747
49.0,2.4747,0.9918,3.4665
50.0,2.5862,1.0019,3.5881
51.0,2.4078,1.0093,3.4171
52.0,2.4518,1.0102,3.4619999999999997
53.0,2.3596,0.9855,3.3451
54.0,2.3863,0.9983,3.3846
55.0,2.4864,1.0015,3.4879000000000002
56.0,2.3204,1.0083,3.3286999999999995
57.0,2.4262,1.0027,3.4289
58.0,2.3503,1.0112,3.3615
59.0,2.3678,1.0025,3.3703
60.0,2.4652,1.0108,3.476
61.0,2.3019,0.9876,3.2895
62.0,2.4066,0.9966,3.4032
63.0,2.4627,0.9924,3.4551
64.0,2.3995,0.9935,3.3930000000000002
65.0,2.4145,1.0023,3.4168
66.0,2.5769,1.0014,3.5783000000000005
67.0,2.4212,0.9945,3.4156999999999997
68.0,2.3494,1.0018,3.3512000000000004
69.0,2.4553,0.9956,3.4509
70.0,2.5407,1.0,3.5407
71.0,2.4015,0.9934,3.3949
72.0,2.4681,1.0181,3.4862
73.0,2.4137,1.003,3.4166999999999996
74.0,2.3923,0.9877,3.38
75.0,2.3516,1.0016,3.3532
76.0,2.4983,1.0018,3.5000999999999998
77.0,2.4408,1.004,3.4448
78.0,2.4094,0.997,3.4064
79.0,2.441,0.989,3.4299999999999997
80.0,2.2877,0.9632,3.2509
81.0,2.3475,0.9886,3.3361
82.0,2.5496,0.9942,3.5438
83.0,2.4239,1.005,3.4289
84.0,2.4692,1.0077,3.4768999999999997
85.0,2.3955,0.9875,3.383
86.0,2.3747,1.0127,3.3873999999999995
87.0,2.4379,1.0121,3.45
88.0,2.3325,1.0115,3.3440000000000003
89.0,2.3815,1.0103,3.3918
90.0,2.3606,1.0164,3.377
91.0,2.3651,1.0045,3.3696
92.0,2.4077,1.008,3.4157
93.0,2.2962,1.004,3.3002
94.0,2.3368,1.0005,3.3373
95.0,2.3986,1.0064,3.4050000000000002
96.0,2.4226,1.023,3.4455999999999998
97.0,2.3545,1.0162,3.3707
98.0,2.4248,0.9982,3.423
99.0,2.4732,1.0015,3.4747
100.0,2.4164,0.9985,3.4149
101.0,2.4007,1.0109,3.4116
102.0,2.3863,0.9991,3.3853999999999997
103.0,2.3115,1.0102,3.3217
104.0,2.3553,1.0076,3.3629000000000002
105.0,2.3959,0.9952,3.3911000000000002
106.0,2.3401,0.9938,3.3339
107.0,2.3651,0.9934,3.3585
108.0,2.436,0.9952,3.4312
109.0,2.3294,1.0115,3.3409000000000004
110.0,3.0251,1.0025,4.0276
111.0,2.3566,1.0072,3.3638
112.0,2.4019,1.0156,3.4175
113.0,2.437,1.0004,3.4374
114.0,2.3817,0.9937,3.3754
115.0,2.4574,1.0107,3.4680999999999997
116.0,2.4569,0.9921,3.449
117.0,2.399,0.9877,3.3867000000000003
118.0,2.4119,1.0011,3.4130000000000003
119.0,2.3936,1.0132,3.4068000000000005
120.0,2.103,0.9974,3.1004
121.0,2.3728,0.9949,3.3676999999999997
122.0,2.4765,0.9958,3.4723
123.0,2.3544,1.0003,3.3547000000000002
124.0,2.4584,0.9993,3.4577
125.0,2.4394,0.9911,3.4305
126.0,3.0038,0.9842,3.988
127.0,2.315,1.0199,3.3349
128.0,2.4389,1.0085,3.4474
129.0,2.4201,1.0003,3.4204
130.0,2.3748,0.9963,3.3711
131.0,2.3277,1.0006,3.3283
132.0,2.3351,0.9988,3.3339000000000003
133.0,2.3696,1.007,3.3766
134.0,2.3614,0.9878,3.3492
135.0,2.3364,0.9859,3.3223
136.0,2.3497,1.0042,3.3539
137.0,2.3674,0.9901,3.3575
138.0,2.4363,0.9995,3.4358000000000004
139.0,2.4035,1.014,3.4175000000000004
140.0,2.4133,1.0019,3.4152
141.0,2.4563,0.9818,3.4381000000000004
142.0,2.4069,0.9943,3.4012
143.0,2.4565,1.0062,3.4627
144.0,2.5681,1.0073,3.5754
145.0,2.3659,1.0045,3.3704
146.0,2.4011,0.9933,3.3944
147.0,2.3507,0.9927,3.3434
148.0,2.7103,0.9921,3.7024
149.0,2.3359,0.9919,3.3278
150.0,2.5057,1.0272,3.5328999999999997
151.0,2.3754,0.991,3.3664
152.0,2.5836,0.9954,3.579
153.0,2.3464,0.9955,3.3419
154.0,2.442,0.9977,3.4397
155.0,2.3348,1.0017,3.3365
156.0,2.3978,0.9836,3.3814
157.0,2.2994,0.9968,3.2962
158.0,2.3437,0.9892,3.3329
159.0,2.4049,0.9938,3.3987
160.0,2.5483,0.9919,3.5401999999999996
161.0,2.4215,1.0311,3.4526
162.0,2.5164,0.9931,3.5095
163.0,2.4107,0.9815,3.3922
164.0,2.3328,1.0178,3.3506
165.0,2.3865,0.987,3.3735
166.0,2.3165,0.9936,3.3101000000000003
167.0,2.3783,0.9923,3.3705999999999996
168.0,2.4086,0.9906,3.3992
169.0,2.4522,0.9929,3.4451
170.0,2.5361,0.987,3.5231
171.0,2.3534,1.0076,3.361
172.0,2.2764,0.985,3.2614
173.0,2.395,1.0116,3.4066
174.0,2.5299,0.9979,3.5278
175.0,2.5479,1.0142,3.5621
176.0,2.4446,0.9919,3.4364999999999997
177.0,2.2995,0.9824,3.2819000000000003
178.0,2.3788,0.9903,3.3691
179.0,2.4623,1.0223,3.4846
180.0,2.1521,0.99,3.1421
181.0,2.4458,1.0193,3.4651000000000005
182.0,2.3713,0.9979,3.3692
183.0,2.3435,0.9999,3.3434
184.0,2.3743,1.0031,3.3773999999999997
185.0,2.2897,0.9929,3.2826
186.0,2.2705,1.0056,3.2761000000000005
187.0,2.4435,1.0347,3.4781999999999997
188.0,2.3513,0.9996,3.3509
189.0,2.4737,0.9906,3.4643
190.0,2.6079,1.0184,3.6262999999999996
191.0,2.4615,1.0067,3.4682
192.0,2.4464,0.9923,3.4387
193.0,2.2949,0.9951,3.29
194.0,2.4587,1.0131,3.4718
195.0,2.3048,0.9972,3.302
196.0,2.3448,1.0146,3.3594
197.0,2.4383,0.9916,3.4299
198.0,2.3997,0.9865,3.3862
199.0,2.4259,0.9933,3.4192
200.0,2.2158,0.971,3.1868000000000003
201.0,2.4542,0.989,3.4432
202.0,2.3976,0.9979,3.3955
203.0,2.2721,0.9903,3.2624
204.0,2.3915,0.9902,3.3817000000000004
205.0,2.4473,1.0066,3.4539
206.0,2.6119,1.0818,3.6936999999999998
207.0,2.6163,1.0627,3.679
208.0,2.4015,1.019,3.4204999999999997
209.0,2.37,1.0034,3.3734
