step,mloss,gloss,loss
1.0,2.08,1.0777,3.1577
2.0,27.2484,12571.8633,12599.111700000001
3.0,13.598,24.7667,38.3647
4.0,1.1825,3.028,4.2105
5.0,1.29,1.0982,2.3882000000000003
6.0,1.8589,1.5233,3.3822
7.0,9.7683,6.2201,15.9884
8.0,1.5793,9.1223,10.7016
9.0,1.3151,4.8086,6.1237
10.0,1.211,1.1924,2.4034
11.0,1.3569,1.0507,2.4076
12.0,1.1349,1.0861,2.221
13.0,1.1835,1.0786,2.2621
14.0,1.1081,1.0637,2.1718
15.0,1.0908,1.0161,2.1069
16.0,1.1162,1.0346,2.1508000000000003
17.0,1.1164,1.0115,2.1279000000000003
18.0,1.082,1.0041,2.0861
19.0,1.0212,1.0159,2.0371
20.0,1.0222,1.0003,2.0225
21.0,1.0188,1.027,2.0458
22.0,0.9963,1.0079,2.0042
23.0,1.1394,1.0105,2.1498999999999997
24.0,1.0166,1.0165,2.0331
25.0,1.0059,1.0314,2.0373
26.0,0.9896,1.031,2.0206
27.0,0.9505,1.0145,1.9649999999999999
28.0,0.9283,1.0023,1.9306
29.0,0.9947,0.9945,1.9892
30.0,0.9089,1.0126,1.9215
31.0,0.9428,0.9996,1.9424000000000001
32.0,0.979,1.0147,1.9937
33.0,0.9161,1.0079,1.924
34.0,0.8524,0.997,1.8494000000000002
35.0,0.8528,1.0161,1.8689
36.0,0.9122,1.0019,1.9141
37.0,0.8765,1.0029,1.8794
38.0,0.8875,1.0118,1.8993
39.0,0.8557,1.0032,1.8589000000000002
40.0,0.8647,0.9993,1.8639999999999999
41.0,0.8794,1.0008,1.8801999999999999
42.0,0.8249,1.014,1.8389
43.0,0.9305,1.0191,1.9495999999999998
44.0,0.8783,1.0013,1.8796
45.0,0.945,1.0008,1.9457999999999998
46.0,0.8606,1.0123,1.8729
47.0,0.8784,1.0029,1.8813
48.0,0.9247,1.0129,1.9375999999999998
49.0,0.8043,1.0087,1.813
50.0,0.8677,0.9915,1.8592
51.0,0.8468,0.9933,1.8401
52.0,0.8446,1.0083,1.8529
53.0,0.8161,0.9917,1.8078
54.0,0.8095,0.9919,1.8014000000000001
55.0,0.8412,0.9953,1.8365
56.0,0.8265,0.9909,1.8174000000000001
57.0,0.8364,1.0051,1.8415000000000001
58.0,0.8252,0.9989,1.8241
59.0,0.7652,1.0122,1.7774
60.0,0.8286,0.9978,1.8264
61.0,0.827,1.003,1.8299999999999998
62.0,0.8564,1.0129,1.8693
63.0,0.7864,1.0098,1.7962
64.0,0.7847,1.0027,1.7873999999999999
65.0,0.8131,0.9988,1.8119
66.0,0.8588,1.0065,1.8653
67.0,0.765,0.9938,1.7588
68.0,0.7829,1.007,1.7898999999999998
69.0,0.7778,1.0147,1.7925
70.0,0.8034,1.0185,1.8218999999999999
71.0,0.7277,0.9964,1.7241
72.0,0.7689,1.0089,1.7778
73.0,0.7575,1.008,1.7654999999999998
74.0,0.7985,1.0049,1.8034
75.0,0.7684,1.0041,1.7725
76.0,0.772,1.0153,1.7873
77.0,0.751,0.9959,1.7469000000000001
78.0,0.7486,1.0115,1.7601
79.0,0.79,1.0032,1.7932000000000001
80.0,0.7654,1.0062,1.7715999999999998
81.0,0.7529,0.9964,1.7492999999999999
82.0,0.7803,0.9997,1.78
83.0,0.7477,1.0043,1.752
84.0,0.739,0.9995,1.7385000000000002
85.0,0.7741,1.0025,1.7766
86.0,0.7777,0.9984,1.7761
87.0,0.7263,0.996,1.7223
88.0,0.749,1.0063,1.7553
89.0,0.7739,1.0004,1.7743
90.0,0.762,1.0024,1.7644
91.0,0.7435,1.003,1.7465
92.0,0.7548,1.0051,1.7599
93.0,0.7577,0.9981,1.7558
94.0,0.704,1.0024,1.7064
95.0,0.782,1.0004,1.7824
96.0,0.735,1.0053,1.7403
97.0,0.7392,0.9909,1.7301
98.0,0.772,1.008,1.78
99.0,0.7691,1.0073,1.7764000000000002
100.0,0.7633,1.0021,1.7654
101.0,0.7786,0.9989,1.7774999999999999
102.0,0.7992,1.0141,1.8133
103.0,0.7803,0.9865,1.7668
104.0,0.7891,1.0061,1.7952
105.0,0.7228,1.0055,1.7283
106.0,0.7541,1.0028,1.7569
107.0,0.7275,1.0042,1.7317
108.0,0.7594,1.0129,1.7723
109.0,0.7528,1.0069,1.7597
110.0,0.7664,0.9971,1.7635
111.0,0.7431,1.0051,1.7482000000000002
112.0,0.7588,1.0007,1.7595
113.0,0.7638,1.0015,1.7653
114.0,0.7932,1.0088,1.802
115.0,0.7333,1.0064,1.7397
116.0,0.7272,1.0031,1.7303000000000002
117.0,0.7398,1.0147,1.7545
118.0,0.7315,0.9883,1.7198
119.0,0.7776,1.0021,1.7797
120.0,0.7329,1.0104,1.7433
121.0,0.7455,1.001,1.7465
122.0,0.7208,1.0023,1.7231
123.0,0.733,1.0069,1.7399
124.0,0.7477,1.0033,1.7510000000000001
125.0,0.7726,1.0097,1.7823
126.0,0.7364,0.9947,1.7311
127.0,0.7595,1.005,1.7645
128.0,0.7379,1.0092,1.7471
129.0,0.7585,1.0101,1.7686
130.0,0.7033,1.0014,1.7047
131.0,0.7547,0.9991,1.7538
132.0,0.7377,0.9947,1.7324000000000002
133.0,0.7161,0.9945,1.7106
134.0,0.7382,1.0014,1.7396
135.0,0.725,1.0071,1.7321
136.0,0.711,1.0021,1.7130999999999998
137.0,0.7628,1.002,1.7648000000000001
138.0,0.7576,1.0013,1.7589000000000001
139.0,0.7128,0.9985,1.7113
140.0,0.7232,0.9988,1.722
141.0,0.7472,1.0002,1.7473999999999998
142.0,0.6855,0.9918,1.6773
143.0,0.73,0.9968,1.7268
144.0,0.7137,0.9998,1.7135
145.0,0.7481,0.9959,1.744
146.0,0.6932,0.9867,1.6799
147.0,0.7225,0.9862,1.7086999999999999
148.0,0.7156,0.9958,1.7114
149.0,0.7549,1.0066,1.7614999999999998
150.0,0.7318,1.0101,1.7419
151.0,0.7259,1.0037,1.7296
152.0,0.6653,0.9997,1.665
153.0,0.727,0.9843,1.7113
154.0,0.7062,0.9929,1.6991
155.0,0.7161,0.9896,1.7057
156.0,0.7285,1.0,1.7285
157.0,0.7338,0.9868,1.7206000000000001
158.0,0.719,1.0,1.7189999999999999
159.0,0.7188,1.0022,1.721
160.0,0.7163,0.9893,1.7056
161.0,0.7183,0.9901,1.7084000000000001
162.0,0.7007,0.9901,1.6907999999999999
163.0,0.7068,0.9847,1.6915
164.0,0.7193,0.9867,1.706
165.0,0.7045,0.9848,1.6893
166.0,0.7231,0.9891,1.7122
