step,mloss,gloss,loss
1.0,2.0434,1.3203,3.3637
2.0,32.7612,22141.7891,22174.550300000003
3.0,2.9268,53.9212,56.848
4.0,1.5285,1.4556,2.9840999999999998
5.0,1.4715,1.066,2.5375
6.0,2.2352,8.4566,10.6918
7.0,4.8096,245.3508,250.16039999999998
8.0,3.2302,11.7081,14.9383
9.0,2.8618,4.2409,7.1027000000000005
10.0,1.902,1.8161,3.7180999999999997
11.0,1.2863,1.3128,2.5991
12.0,1.1801,1.1365,2.3166
13.0,1.2173,1.0113,2.2286
14.0,1.1464,1.0841,2.2305
15.0,1.189,1.0351,2.2241
16.0,1.0991,1.0246,2.1237
17.0,1.1183,1.0114,2.1297
18.0,1.0436,1.006,2.0496
19.0,1.0819,1.0069,2.0888
20.0,1.0094,1.0012,2.0106
21.0,1.0798,1.0103,2.0901
22.0,1.0282,1.0196,2.0478
23.0,1.0706,1.0144,2.085
24.0,1.0001,1.0178,2.0179
25.0,1.023,1.0212,2.0442
26.0,1.0021,1.0052,2.0073
27.0,1.0188,1.0149,2.0336999999999996
28.0,1.0212,1.0098,2.031
29.0,1.0426,1.029,2.0716
30.0,0.972,0.9921,1.9641
31.0,0.9374,1.0019,1.9393
32.0,0.9454,1.0088,1.9542
33.0,0.923,1.0174,1.9404000000000001
34.0,0.9144,1.0062,1.9205999999999999
35.0,0.8732,0.9968,1.87
36.0,0.8799,1.0119,1.8918
37.0,0.8748,1.0153,1.8901000000000001
38.0,0.862,1.0159,1.8779
39.0,0.9469,1.0103,1.9571999999999998
40.0,0.8178,1.0104,1.8281999999999998
41.0,0.8533,1.0024,1.8557
42.0,0.8377,1.0064,1.8441
43.0,0.8415,0.9952,1.8367
44.0,0.8722,1.0067,1.8788999999999998
45.0,0.8358,1.0044,1.8401999999999998
46.0,0.8407,0.9986,1.8393000000000002
47.0,0.8499,1.0083,1.8582
48.0,0.82,1.009,1.8289999999999997
49.0,0.7844,0.9976,1.782
50.0,0.8422,1.0089,1.8510999999999997
51.0,0.8045,1.0024,1.8069
52.0,0.7973,1.0077,1.8050000000000002
53.0,0.8165,1.0033,1.8198
54.0,0.8137,1.0078,1.8215
55.0,0.8401,1.0137,1.8538000000000001
56.0,0.8011,1.0205,1.8216
57.0,0.8135,1.0112,1.8247
58.0,0.7593,1.0005,1.7597999999999998
59.0,0.7796,1.013,1.7925999999999997
60.0,0.8075,1.0119,1.8194
61.0,0.7822,1.003,1.7852
62.0,0.7576,1.0108,1.7684
63.0,0.804,0.9961,1.8001
64.0,0.7725,0.9996,1.7721
65.0,0.8342,1.0152,1.8494000000000002
66.0,0.8327,1.0045,1.8372
67.0,0.8022,1.0013,1.8035
68.0,0.7865,0.9999,1.7864
69.0,0.7681,0.9999,1.768
70.0,0.7996,1.0107,1.8102999999999998
71.0,0.7748,0.9958,1.7706
72.0,0.7597,1.0002,1.7599
73.0,0.7299,1.008,1.7379
74.0,0.7662,1.0016,1.7678
75.0,0.7449,0.9944,1.7393
76.0,0.8167,1.005,1.8216999999999999
77.0,0.7564,0.9873,1.7437
78.0,0.763,1.0047,1.7677
79.0,0.7526,1.0029,1.7555
80.0,0.7613,1.0054,1.7667000000000002
81.0,0.7521,1.0122,1.7643
82.0,0.7435,1.0011,1.7446000000000002
83.0,0.748,0.9903,1.7383
84.0,0.7373,0.9931,1.7304
85.0,0.7517,1.0069,1.7586
86.0,0.7818,1.0011,1.7829000000000002
87.0,0.7855,0.9988,1.7843
88.0,0.767,1.004,1.771
