step,mloss,gloss,loss
1.0,2.077,1.1925,3.2695
2.0,79.0172,41124.6328,41203.65
3.0,4.1927,158.218,162.4107
4.0,1.5222,3.2282,4.7504
5.0,1.4835,1.0702,2.5537
6.0,1.8747,1.4448,3.3195
7.0,1.3492,1.5263,2.8754999999999997
8.0,4.2539,3.5305,7.7844
9.0,1.2525,1.657,2.9095
10.0,1.3842,1.082,2.4662
11.0,1.235,1.0562,2.2912
12.0,1.2633,1.0532,2.3165
13.0,1.2391,1.0098,2.2489
14.0,1.3132,1.0076,2.3208
15.0,1.2273,1.0135,2.2408
16.0,1.1744,1.0022,2.1766
17.0,1.2232,1.0222,2.2454
18.0,1.2235,0.9844,2.2079
19.0,1.2262,1.0064,2.2325999999999997
20.0,1.2331,1.0068,2.2399
21.0,1.1944,1.0267,2.2211
22.0,1.2036,1.0063,2.2099
23.0,1.1945,0.9914,2.1858999999999997
24.0,1.1948,1.0145,2.2093
25.0,1.2149,1.0138,2.2287
26.0,1.2508,0.9993,2.2500999999999998
27.0,1.222,0.9978,2.2198
28.0,1.2267,1.0122,2.2389
29.0,1.2015,0.9957,2.1972
30.0,1.2163,0.9864,2.2027
31.0,1.2173,0.9861,2.2034000000000002
32.0,1.2364,0.9959,2.2323
33.0,1.2442,0.9976,2.2418
34.0,1.1958,0.9922,2.1879999999999997
35.0,1.2382,0.9978,2.2359999999999998
36.0,1.1912,0.9939,2.1851000000000003
37.0,1.1691,0.997,2.1661
38.0,1.1904,1.0061,2.1965
39.0,1.2022,0.9943,2.1965
40.0,1.2348,1.0075,2.2423
41.0,1.1666,1.0041,2.1707
42.0,1.1925,0.9937,2.1862
43.0,1.1702,1.0059,2.1761
44.0,1.239,0.9993,2.2383
45.0,1.1119,1.0024,2.1143
46.0,1.1654,0.9978,2.1632
47.0,1.1491,0.9871,2.1362
48.0,1.1854,0.9876,2.173
49.0,1.1842,0.992,2.1761999999999997
50.0,1.1744,0.9981,2.1725000000000003
51.0,1.2525,1.0064,2.2588999999999997
52.0,1.2311,0.9962,2.2273
53.0,1.1663,1.0019,2.1681999999999997
54.0,1.1332,1.0032,2.1364
55.0,1.2209,1.0052,2.2261
56.0,1.2134,0.999,2.2124
57.0,1.2365,0.9912,2.2277
58.0,1.1588,1.01,2.1688
59.0,1.2108,1.0033,2.2141
60.0,1.1334,1.0245,2.1578999999999997
61.0,1.2381,1.0053,2.2434000000000003
62.0,1.1756,1.0041,2.1797
63.0,1.2034,1.003,2.2064
64.0,1.1878,1.0012,2.189
65.0,1.1207,1.0055,2.1262
66.0,1.1031,0.9852,2.0883
67.0,1.1815,0.9869,2.1684
68.0,1.1928,1.0071,2.1999000000000004
69.0,1.2522,1.0105,2.2626999999999997
70.0,1.1288,0.9972,2.126
71.0,1.183,1.0082,2.1912000000000003
72.0,1.1713,1.0137,2.185
73.0,1.1346,1.0114,2.146
74.0,1.1752,0.9958,2.1710000000000003
75.0,1.1703,1.0071,2.1774
76.0,1.1567,1.0123,2.169
77.0,1.1661,1.0071,2.1732
78.0,1.1657,0.9965,2.1622
79.0,1.1656,1.0047,2.1703
80.0,1.1529,1.0089,2.1618
81.0,1.1378,1.0181,2.1559
82.0,1.128,1.0001,2.1281
83.0,1.1684,0.9964,2.1648
84.0,1.1187,1.0051,2.1238
85.0,1.1763,1.0085,2.1848
86.0,1.115,1.0137,2.1287000000000003
87.0,1.1443,1.0184,2.1627
88.0,1.1436,1.004,2.1475999999999997
89.0,1.1724,1.0038,2.1762
90.0,1.1805,1.0125,2.193
91.0,1.1399,0.9998,2.1397
92.0,1.115,1.0157,2.1307
93.0,1.106,1.0101,2.1161000000000003
94.0,1.1142,1.0031,2.1173
95.0,1.1541,0.9953,2.1494
96.0,1.1138,1.0048,2.1186
97.0,1.0776,0.9982,2.0758
98.0,1.1741,0.997,2.1711
99.0,1.1091,1.0155,2.1246
100.0,1.1255,1.0007,2.1262
101.0,1.0914,1.0038,2.0952
102.0,1.1082,1.0212,2.1294000000000004
103.0,1.1498,1.016,2.1658
104.0,1.0854,1.0017,2.0871
