step,mloss,gloss,loss
1.0,1.9151,1.1872,3.1023
2.0,56.3512,43685.7852,43742.136399999996
3.0,1.514,2.898,4.412
4.0,1.5945,1.4873,3.0818000000000003
5.0,1.4853,1.0536,2.5389
6.0,1.3247,1.1724,2.4971
7.0,1.339,1.2973,2.6363
8.0,1.2897,1.0182,2.3079
9.0,1.2152,1.0333,2.2485
10.0,1.1761,1.0102,2.1863
11.0,1.3649,1.2578,2.6227
12.0,1.2979,1.107,2.4049
13.0,1.2715,1.0798,2.3513
14.0,1.2321,1.0455,2.2776
15.0,1.1773,1.0173,2.1946000000000003
16.0,1.2795,1.0654,2.3449
17.0,1.311,1.0491,2.3601
18.0,1.2718,1.1236,2.3954
19.0,1.2523,1.0879,2.3402000000000003
20.0,1.2629,1.0766,2.3395
21.0,1.2639,1.1252,2.3891
22.0,1.2337,1.0921,2.3258
23.0,1.2558,1.0442,2.3
24.0,1.2435,1.0362,2.2797
25.0,1.2246,1.0935,2.3181
26.0,1.1546,1.07,2.2246
27.0,1.2337,1.0265,2.2602
28.0,1.2274,1.0116,2.239
29.0,1.2272,1.0109,2.2381
30.0,1.2116,1.032,2.2436
31.0,1.1944,1.0682,2.2626
32.0,1.1906,1.0379,2.2285000000000004
33.0,1.1318,1.0164,2.1482
34.0,1.1616,1.0325,2.1940999999999997
35.0,1.2273,1.0251,2.2523999999999997
36.0,1.1718,0.9901,2.1619
37.0,1.2295,1.0049,2.2344
38.0,1.1761,1.0164,2.1925
39.0,1.1132,0.9947,2.1079
40.0,1.2338,1.005,2.2388
41.0,1.2223,1.0001,2.2224
42.0,1.2286,1.0145,2.2431
43.0,1.2109,1.0053,2.2162
44.0,1.1941,0.9991,2.1932
45.0,1.1764,0.9966,2.173
46.0,1.2051,1.0082,2.2133000000000003
47.0,1.238,0.9987,2.2367
48.0,1.1491,0.9938,2.1429
49.0,1.1777,1.0016,2.1793
50.0,1.224,1.0033,2.2273
51.0,1.1855,0.9992,2.1847
52.0,1.1559,1.0084,2.1643
