step,mloss,gloss,loss
1.0,0.0,1.0019,1.0019
2.0,0.0,2.3382,2.3382
3.0,0.0,0.9991,0.9991
4.0,0.0,1.0025,1.0025
5.0,0.0,0.998,0.998
6.0,0.0,0.9999,0.9999
7.0,0.0,1.0045,1.0045
8.0,0.0,1.004,1.004
9.0,0.0,1.0024,1.0024
10.0,0.0,1.0006,1.0006
11.0,0.0,0.9971,0.9971
12.0,0.0,1.0005,1.0005
13.0,0.0,1.0,1.0
14.0,0.0,0.9992,0.9992
15.0,0.0,1.0007,1.0007
16.0,0.0,1.0026,1.0026
17.0,0.0,0.9967,0.9967
18.0,0.0,1.0006,1.0006
19.0,0.0,1.0007,1.0007
20.0,0.0,1.0002,1.0002
21.0,0.0,1.0028,1.0028
22.0,0.0,1.003,1.003
23.0,0.0,1.0023,1.0023
24.0,0.0,1.0016,1.0016
25.0,0.0,1.0028,1.0028
26.0,0.0,1.0019,1.0019
27.0,0.0,1.0003,1.0003
28.0,0.0,1.0031,1.0031
29.0,0.0,1.0022,1.0022
30.0,0.0,1.0015,1.0015
31.0,0.0,1.0009,1.0009
32.0,0.0,1.0061,1.0061
33.0,0.0,1.0018,1.0018
34.0,0.0,0.9978,0.9978
35.0,0.0,0.9968,0.9968
36.0,0.0,1.0016,1.0016
37.0,0.0,0.999,0.999
38.0,0.0,1.0002,1.0002
39.0,0.0,1.0021,1.0021
40.0,0.0,1.0002,1.0002
41.0,0.0,1.0011,1.0011
42.0,0.0,1.0016,1.0016
43.0,0.0,1.0001,1.0001
44.0,0.0,1.0008,1.0008
45.0,0.0,1.0004,1.0004
46.0,0.0,0.9983,0.9983
47.0,0.0,1.0026,1.0026
48.0,0.0,1.0033,1.0033
49.0,0.0,0.9994,0.9994
50.0,0.0,0.9975,0.9975
51.0,0.0,0.9968,0.9968
52.0,0.0,1.0007,1.0007
53.0,0.0,0.9993,0.9993
54.0,0.0,1.0039,1.0039
55.0,0.0,1.0033,1.0033
56.0,0.0,1.0,1.0
57.0,0.0,0.9967,0.9967
58.0,0.0,0.9989,0.9989
59.0,0.0,1.0029,1.0029
60.0,0.0,0.9987,0.9987
61.0,0.0,1.0017,1.0017
62.0,0.0,1.0025,1.0025
63.0,0.0,0.9981,0.9981
64.0,0.0,0.9985,0.9985
65.0,0.0,0.9981,0.9981
66.0,0.0,1.0021,1.0021
67.0,0.0,0.9991,0.9991
68.0,0.0,0.9988,0.9988
69.0,0.0,0.9996,0.9996
70.0,0.0,0.999,0.999
71.0,0.0,0.9982,0.9982
72.0,0.0,0.9997,0.9997
73.0,0.0,1.0011,1.0011
74.0,0.0,1.0013,1.0013
75.0,0.0,0.9996,0.9996
76.0,0.0,0.9983,0.9983
77.0,0.0,0.9955,0.9955
78.0,0.0,1.0033,1.0033
79.0,0.0,1.0016,1.0016
80.0,0.0,0.9989,0.9989
81.0,0.0,0.9996,0.9996
82.0,0.0,0.995,0.995
83.0,0.0,0.9981,0.9981
84.0,0.0,1.0028,1.0028
85.0,0.0,0.9968,0.9968
86.0,0.0,0.9955,0.9955
87.0,0.0,0.9985,0.9985
88.0,0.0,0.9966,0.9966
89.0,0.0,0.9988,0.9988
90.0,0.0,0.9951,0.9951
91.0,0.0,0.9916,0.9916
92.0,0.0,1.0042,1.0042
93.0,0.0,1.0062,1.0062
94.0,0.0,0.9983,0.9983
95.0,0.0,1.0017,1.0017
96.0,0.0,1.0006,1.0006
97.0,0.0,0.9985,0.9985
98.0,0.0,0.9987,0.9987
99.0,0.0,0.9984,0.9984
100.0,0.0,0.9973,0.9973
101.0,0.0,0.9987,0.9987
102.0,0.0,0.9994,0.9994
103.0,0.0,0.9964,0.9964
104.0,0.0,1.002,1.002
105.0,0.0,0.9973,0.9973
106.0,0.0,0.9995,0.9995
107.0,0.0,0.9947,0.9947
108.0,0.0,0.9981,0.9981
109.0,0.0,0.9996,0.9996
110.0,0.0,1.0035,1.0035
111.0,0.0,0.9992,0.9992
112.0,0.0,0.9993,0.9993
113.0,0.0,1.0036,1.0036
114.0,0.0,0.9969,0.9969
115.0,0.0,1.0029,1.0029
116.0,0.0,0.9969,0.9969
117.0,0.0,0.9996,0.9996
118.0,0.0,1.0011,1.0011
119.0,0.0,0.998,0.998
120.0,0.0,0.9964,0.9964
121.0,0.0,0.9991,0.9991
122.0,0.0,0.9974,0.9974
123.0,0.0,0.995,0.995
124.0,0.0,0.995,0.995
125.0,0.0,0.9965,0.9965
126.0,0.0,0.9984,0.9984
127.0,0.0,0.9987,0.9987
128.0,0.0,0.9997,0.9997
129.0,0.0,0.9988,0.9988
130.0,0.0,1.0028,1.0028
131.0,0.0,0.9932,0.9932
132.0,0.0,0.9979,0.9979
133.0,0.0,0.9938,0.9938
134.0,0.0,0.9976,0.9976
135.0,0.0,0.9923,0.9923
136.0,0.0,0.9924,0.9924
137.0,0.0,0.9966,0.9966
138.0,0.0,0.9956,0.9956
139.0,0.0,0.9903,0.9903
140.0,0.0,0.9972,0.9972
141.0,0.0,0.9954,0.9954
142.0,0.0,0.9933,0.9933
143.0,0.0,0.9972,0.9972
144.0,0.0,0.9958,0.9958
145.0,0.0,0.9952,0.9952
146.0,0.0,0.9947,0.9947
147.0,0.0,0.994,0.994
148.0,0.0,0.9957,0.9957
149.0,0.0,0.9989,0.9989
150.0,0.0,0.9932,0.9932
151.0,0.0,0.9972,0.9972
152.0,0.0,0.995,0.995
153.0,0.0,0.9942,0.9942
154.0,0.0,0.995,0.995
155.0,0.0,0.9943,0.9943
156.0,0.0,0.9946,0.9946
157.0,0.0,0.9955,0.9955
158.0,0.0,0.9905,0.9905
159.0,0.0,0.9928,0.9928
160.0,0.0,0.9938,0.9938
161.0,0.0,0.9932,0.9932
162.0,0.0,0.9903,0.9903
163.0,0.0,0.9958,0.9958
164.0,0.0,0.9903,0.9903
165.0,0.0,0.9893,0.9893
166.0,0.0,0.9907,0.9907
167.0,0.0,0.9859,0.9859
168.0,0.0,0.9861,0.9861
169.0,0.0,0.9889,0.9889
170.0,0.0,0.9895,0.9895
171.0,0.0,0.9885,0.9885
172.0,0.0,0.9898,0.9898
173.0,0.0,0.9882,0.9882
174.0,0.0,0.9838,0.9838
175.0,0.0,0.9903,0.9903
176.0,0.0,0.9873,0.9873
177.0,0.0,0.9882,0.9882
178.0,0.0,0.9829,0.9829
179.0,0.0,0.985,0.985
180.0,0.0,0.9851,0.9851
181.0,0.0,0.9855,0.9855
182.0,0.0,0.9876,0.9876
183.0,0.0,0.9908,0.9908
184.0,0.0,0.9857,0.9857
185.0,0.0,0.9862,0.9862
186.0,0.0,0.9857,0.9857
187.0,0.0,0.9855,0.9855
188.0,0.0,0.9832,0.9832
189.0,0.0,0.9886,0.9886
190.0,0.0,0.9917,0.9917
191.0,0.0,0.9873,0.9873
192.0,0.0,0.9883,0.9883
193.0,0.0,0.9877,0.9877
194.0,0.0,0.9869,0.9869
195.0,0.0,0.9862,0.9862
196.0,0.0,0.9849,0.9849
197.0,0.0,0.9837,0.9837
198.0,0.0,0.9991,0.9991
199.0,0.0,0.9897,0.9897
200.0,0.0,0.9935,0.9935
201.0,0.0,0.9901,0.9901
202.0,0.0,0.9924,0.9924
203.0,0.0,0.9926,0.9926
204.0,0.0,1.0286,1.0286
205.0,0.0,0.9944,0.9944
206.0,0.0,0.992,0.992
207.0,0.0,0.9929,0.9929
208.0,0.0,0.9882,0.9882
209.0,0.0,0.9935,0.9935
210.0,0.0,0.991,0.991
211.0,0.0,0.9895,0.9895
212.0,0.0,0.991,0.991
213.0,0.0,0.9958,0.9958
214.0,0.0,0.9883,0.9883
215.0,0.0,0.993,0.993
216.0,0.0,0.9931,0.9931
217.0,0.0,0.9875,0.9875
218.0,0.0,0.9913,0.9913
219.0,0.0,0.987,0.987
220.0,0.0,0.9907,0.9907
221.0,0.0,0.9877,0.9877
222.0,0.0,0.9825,0.9825
223.0,0.0,0.9902,0.9902
224.0,0.0,0.9877,0.9877
225.0,0.0,0.9875,0.9875
226.0,0.0,0.984,0.984
227.0,0.0,0.9816,0.9816
228.0,0.0,0.9819,0.9819
229.0,0.0,0.9832,0.9832
230.0,0.0,0.9793,0.9793
231.0,0.0,0.9825,0.9825
232.0,0.0,0.9887,0.9887
233.0,0.0,0.9841,0.9841
234.0,0.0,0.9869,0.9869
235.0,0.0,0.9871,0.9871
236.0,0.0,0.983,0.983
237.0,0.0,0.9826,0.9826
238.0,0.0,0.9794,0.9794
239.0,0.0,0.9764,0.9764
240.0,0.0,0.9784,0.9784
241.0,0.0,0.9771,0.9771
242.0,0.0,0.9855,0.9855
243.0,0.0,0.9842,0.9842
244.0,0.0,0.9809,0.9809
245.0,0.0,0.979,0.979
246.0,0.0,0.9765,0.9765
247.0,0.0,0.9805,0.9805
248.0,0.0,0.9772,0.9772
249.0,0.0,0.9772,0.9772
250.0,0.0,0.9779,0.9779
251.0,0.0,0.974,0.974
252.0,0.0,0.9754,0.9754
253.0,0.0,0.9781,0.9781
254.0,0.0,0.9783,0.9783
255.0,0.0,0.9752,0.9752
256.0,0.0,0.9726,0.9726
257.0,0.0,0.9743,0.9743
258.0,0.0,0.9736,0.9736
259.0,0.0,0.9791,0.9791
260.0,0.0,0.9851,0.9851
261.0,0.0,0.9811,0.9811
262.0,0.0,0.98,0.98
263.0,0.0,0.983,0.983
264.0,0.0,0.9806,0.9806
265.0,0.0,0.9765,0.9765
266.0,0.0,0.9778,0.9778
267.0,0.0,0.9729,0.9729
268.0,0.0,0.974,0.974
269.0,0.0,0.972,0.972
270.0,0.0,0.9764,0.9764
271.0,0.0,0.9727,0.9727
272.0,0.0,0.9717,0.9717
273.0,0.0,0.9709,0.9709
274.0,0.0,0.9729,0.9729
275.0,0.0,0.9716,0.9716
276.0,0.0,0.972,0.972
277.0,0.0,0.9702,0.9702
278.0,0.0,0.9725,0.9725
279.0,0.0,0.9728,0.9728
280.0,0.0,0.9703,0.9703
281.0,0.0,0.9695,0.9695
282.0,0.0,0.9727,0.9727
283.0,0.0,0.9684,0.9684
284.0,0.0,0.973,0.973
285.0,0.0,0.9671,0.9671
286.0,0.0,0.9674,0.9674
287.0,0.0,0.9674,0.9674
288.0,0.0,0.9667,0.9667
289.0,0.0,0.9681,0.9681
290.0,0.0,0.9704,0.9704
291.0,0.0,0.9698,0.9698
292.0,0.0,0.9754,0.9754
293.0,0.0,0.9707,0.9707
294.0,0.0,0.9684,0.9684
295.0,0.0,0.9692,0.9692
296.0,0.0,0.965,0.965
297.0,0.0,0.9659,0.9659
298.0,0.0,0.9685,0.9685
299.0,0.0,0.9895,0.9895
300.0,0.0,0.9792,0.9792
301.0,0.0,0.9759,0.9759
302.0,0.0,0.9823,0.9823
303.0,0.0,0.9832,0.9832
304.0,0.0,0.9807,0.9807
305.0,0.0,0.9761,0.9761
306.0,0.0,0.9744,0.9744
307.0,0.0,0.9857,0.9857
308.0,0.0,1.0124,1.0124
309.0,0.0,0.9834,0.9834
310.0,0.0,0.9871,0.9871
311.0,0.0,0.9887,0.9887
312.0,0.0,0.9889,0.9889
313.0,0.0,0.9924,0.9924
314.0,0.0,0.9934,0.9934
315.0,0.0,0.9842,0.9842
316.0,0.0,0.9831,0.9831
317.0,0.0,0.985,0.985
318.0,0.0,0.9822,0.9822
319.0,0.0,0.9901,0.9901
320.0,0.0,0.9989,0.9989
321.0,0.0,0.9869,0.9869
322.0,0.0,0.9894,0.9894
323.0,0.0,0.9898,0.9898
324.0,0.0,0.9911,0.9911
325.0,0.0,0.9895,0.9895
326.0,0.0,0.9876,0.9876
327.0,0.0,0.9886,0.9886
328.0,0.0,0.9946,0.9946
329.0,0.0,0.9865,0.9865
330.0,0.0,0.9905,0.9905
331.0,0.0,0.993,0.993
332.0,0.0,0.9907,0.9907
333.0,0.0,0.99,0.99
334.0,0.0,0.9909,0.9909
335.0,0.0,0.9848,0.9848
336.0,0.0,0.982,0.982
337.0,0.0,0.9861,0.9861
338.0,0.0,0.9864,0.9864
339.0,0.0,0.981,0.981
340.0,0.0,0.9795,0.9795
341.0,0.0,0.9805,0.9805
342.0,0.0,0.9869,0.9869
343.0,0.0,0.9842,0.9842
344.0,0.0,0.9791,0.9791
345.0,0.0,0.9832,0.9832
346.0,0.0,0.9803,0.9803
347.0,0.0,0.9793,0.9793
348.0,0.0,0.9789,0.9789
349.0,0.0,0.9799,0.9799
350.0,0.0,0.9806,0.9806
351.0,0.0,0.9763,0.9763
352.0,0.0,0.9789,0.9789
353.0,0.0,0.98,0.98
354.0,0.0,0.9764,0.9764
355.0,0.0,0.9757,0.9757
356.0,0.0,0.9741,0.9741
357.0,0.0,0.9719,0.9719
358.0,0.0,0.9749,0.9749
359.0,0.0,0.9764,0.9764
360.0,0.0,0.9756,0.9756
361.0,0.0,0.9774,0.9774
362.0,0.0,0.9727,0.9727
363.0,0.0,0.973,0.973
364.0,0.0,0.9729,0.9729
365.0,0.0,0.9717,0.9717
366.0,0.0,0.972,0.972
367.0,0.0,0.9736,0.9736
368.0,0.0,0.9693,0.9693
369.0,0.0,0.9665,0.9665
370.0,0.0,0.9696,0.9696
371.0,0.0,0.9705,0.9705
372.0,0.0,0.9779,0.9779
373.0,0.0,0.9816,0.9816
374.0,0.0,0.9763,0.9763
375.0,0.0,0.9725,0.9725
376.0,0.0,0.9756,0.9756
377.0,0.0,0.9809,0.9809
378.0,0.0,0.9769,0.9769
379.0,0.0,0.9765,0.9765
380.0,0.0,0.9782,0.9782
381.0,0.0,0.9726,0.9726
382.0,0.0,0.9717,0.9717
383.0,0.0,0.9693,0.9693
384.0,0.0,0.9721,0.9721
385.0,0.0,0.9697,0.9697
386.0,0.0,0.9716,0.9716
387.0,0.0,0.9767,0.9767
388.0,0.0,0.9793,0.9793
389.0,0.0,0.9751,0.9751
390.0,0.0,0.9759,0.9759
391.0,0.0,0.9764,0.9764
392.0,0.0,0.9764,0.9764
393.0,0.0,0.969,0.969
394.0,0.0,0.9688,0.9688
395.0,0.0,0.9708,0.9708
396.0,0.0,0.9664,0.9664
397.0,0.0,0.9634,0.9634
398.0,0.0,0.9657,0.9657
399.0,0.0,0.9626,0.9626
400.0,0.0,0.9603,0.9603
401.0,0.0,0.9595,0.9595
402.0,0.0,0.9705,0.9705
403.0,0.0,0.9778,0.9778
404.0,0.0,0.9844,0.9844
405.0,0.0,0.9751,0.9751
406.0,0.0,0.9759,0.9759
407.0,0.0,0.9743,0.9743
408.0,0.0,0.9742,0.9742
409.0,0.0,0.9748,0.9748
410.0,0.0,0.9724,0.9724
411.0,0.0,0.9711,0.9711
412.0,0.0,0.9704,0.9704
413.0,0.0,0.9712,0.9712
414.0,0.0,0.9652,0.9652
415.0,0.0,0.9684,0.9684
416.0,0.0,0.9627,0.9627
417.0,0.0,0.9636,0.9636
418.0,0.0,0.9633,0.9633
419.0,0.0,0.9619,0.9619
420.0,0.0,0.9642,0.9642
421.0,0.0,0.9679,0.9679
422.0,0.0,0.9621,0.9621
423.0,0.0,0.9652,0.9652
424.0,0.0,0.961,0.961
425.0,0.0,0.9648,0.9648
426.0,0.0,0.9644,0.9644
427.0,0.0,0.9621,0.9621
428.0,0.0,0.9615,0.9615
429.0,0.0,0.9611,0.9611
430.0,0.0,0.9595,0.9595
431.0,0.0,0.959,0.959
432.0,0.0,0.9625,0.9625
433.0,0.0,0.9602,0.9602
434.0,0.0,0.9585,0.9585
435.0,0.0,0.959,0.959
436.0,0.0,0.9619,0.9619
437.0,0.0,0.9581,0.9581
438.0,0.0,0.9581,0.9581
439.0,0.0,0.9541,0.9541
440.0,0.0,0.9576,0.9576
441.0,0.0,0.9552,0.9552
442.0,0.0,0.964,0.964
443.0,0.0,0.9646,0.9646
444.0,0.0,0.96,0.96
445.0,0.0,0.9617,0.9617
446.0,0.0,0.9611,0.9611
447.0,0.0,0.9606,0.9606
448.0,0.0,0.9606,0.9606
449.0,0.0,0.9566,0.9566
450.0,0.0,0.9598,0.9598
451.0,0.0,0.9584,0.9584
452.0,0.0,0.9567,0.9567
453.0,0.0,0.9633,0.9633
454.0,0.0,0.959,0.959
455.0,0.0,0.9613,0.9613
456.0,0.0,0.9643,0.9643
457.0,0.0,0.9608,0.9608
458.0,0.0,0.9607,0.9607
459.0,0.0,0.9606,0.9606
460.0,0.0,0.958,0.958
461.0,0.0,0.96,0.96
462.0,0.0,0.9567,0.9567
463.0,0.0,0.953,0.953
464.0,0.0,0.9565,0.9565
465.0,0.0,0.9587,0.9587
466.0,0.0,0.9576,0.9576
467.0,0.0,0.9548,0.9548
468.0,0.0,0.9607,0.9607
469.0,0.0,0.9538,0.9538
470.0,0.0,0.9575,0.9575
