step,mloss,gloss,loss
1.0,0.0,1.0023,1.0023
2.0,0.0,2.2672,2.2672
3.0,0.0,1.0055,1.0055
4.0,0.0,1.0018,1.0018
5.0,0.0,1.0022,1.0022
6.0,0.0,0.9998,0.9998
7.0,0.0,1.0016,1.0016
8.0,0.0,0.9998,0.9998
9.0,0.0,1.0029,1.0029
10.0,0.0,0.9991,0.9991
11.0,0.0,0.9995,0.9995
12.0,0.0,1.0029,1.0029
13.0,0.0,1.0017,1.0017
14.0,0.0,1.0002,1.0002
15.0,0.0,0.9973,0.9973
16.0,0.0,1.0037,1.0037
17.0,0.0,1.0001,1.0001
18.0,0.0,1.0024,1.0024
19.0,0.0,0.9977,0.9977
20.0,0.0,0.9977,0.9977
21.0,0.0,0.9937,0.9937
22.0,0.0,0.9979,0.9979
23.0,0.0,0.9986,0.9986
24.0,0.0,0.9951,0.9951
25.0,0.0,1.0017,1.0017
26.0,0.0,1.0022,1.0022
27.0,0.0,0.9975,0.9975
28.0,0.0,1.0039,1.0039
29.0,0.0,0.9973,0.9973
30.0,0.0,1.0081,1.0081
31.0,0.0,0.9976,0.9976
32.0,0.0,1.0006,1.0006
33.0,0.0,0.9968,0.9968
34.0,0.0,1.0021,1.0021
35.0,0.0,0.9987,0.9987
36.0,0.0,0.9986,0.9986
37.0,0.0,1.0025,1.0025
38.0,0.0,1.002,1.002
39.0,0.0,0.9958,0.9958
40.0,0.0,1.0015,1.0015
41.0,0.0,1.0019,1.0019
42.0,0.0,0.9992,0.9992
43.0,0.0,0.9974,0.9974
44.0,0.0,0.9982,0.9982
45.0,0.0,0.9983,0.9983
46.0,0.0,0.9984,0.9984
47.0,0.0,1.0011,1.0011
48.0,0.0,1.0025,1.0025
49.0,0.0,1.003,1.003
50.0,0.0,0.9994,0.9994
51.0,0.0,0.9981,0.9981
52.0,0.0,0.9977,0.9977
53.0,0.0,0.9999,0.9999
54.0,0.0,1.0015,1.0015
55.0,0.0,0.9989,0.9989
56.0,0.0,0.9954,0.9954
57.0,0.0,1.0041,1.0041
58.0,0.0,0.9964,0.9964
59.0,0.0,1.0011,1.0011
60.0,0.0,0.9989,0.9989
61.0,0.0,1.0006,1.0006
62.0,0.0,1.0011,1.0011
63.0,0.0,0.996,0.996
64.0,0.0,0.9987,0.9987
65.0,0.0,1.0027,1.0027
66.0,0.0,1.001,1.001
67.0,0.0,0.9979,0.9979
68.0,0.0,1.0046,1.0046
69.0,0.0,0.9985,0.9985
70.0,0.0,1.0007,1.0007
71.0,0.0,1.0021,1.0021
72.0,0.0,1.0001,1.0001
73.0,0.0,1.0,1.0
74.0,0.0,1.0011,1.0011
75.0,0.0,1.0028,1.0028
76.0,0.0,1.0001,1.0001
77.0,0.0,0.9981,0.9981
78.0,0.0,0.9997,0.9997
79.0,0.0,1.0004,1.0004
80.0,0.0,0.9985,0.9985
81.0,0.0,1.0008,1.0008
82.0,0.0,0.9991,0.9991
83.0,0.0,1.001,1.001
84.0,0.0,0.9957,0.9957
85.0,0.0,0.9998,0.9998
86.0,0.0,0.9994,0.9994
87.0,0.0,0.9998,0.9998
88.0,0.0,0.9993,0.9993
89.0,0.0,0.9987,0.9987
90.0,0.0,1.0001,1.0001
91.0,0.0,1.0034,1.0034
92.0,0.0,1.0022,1.0022
93.0,0.0,0.9978,0.9978
94.0,0.0,1.0006,1.0006
95.0,0.0,0.9949,0.9949
96.0,0.0,0.9957,0.9957
97.0,0.0,0.9995,0.9995
98.0,0.0,0.9983,0.9983
99.0,0.0,1.0077,1.0077
100.0,0.0,1.0018,1.0018
101.0,0.0,1.0046,1.0046
102.0,0.0,0.9993,0.9993
103.0,0.0,0.9968,0.9968
104.0,0.0,1.0003,1.0003
105.0,0.0,1.0008,1.0008
106.0,0.0,0.9991,0.9991
107.0,0.0,0.9981,0.9981
108.0,0.0,1.0018,1.0018
109.0,0.0,0.998,0.998
110.0,0.0,0.9998,0.9998
111.0,0.0,1.0003,1.0003
112.0,0.0,1.0025,1.0025
113.0,0.0,1.0032,1.0032
114.0,0.0,1.002,1.002
115.0,0.0,1.0008,1.0008
116.0,0.0,1.0028,1.0028
117.0,0.0,1.0001,1.0001
118.0,0.0,0.9987,0.9987
119.0,0.0,0.9989,0.9989
120.0,0.0,0.9988,0.9988
121.0,0.0,1.0004,1.0004
122.0,0.0,1.0007,1.0007
123.0,0.0,0.9964,0.9964
124.0,0.0,1.0015,1.0015
125.0,0.0,1.0004,1.0004
126.0,0.0,0.998,0.998
127.0,0.0,1.0001,1.0001
128.0,0.0,0.999,0.999
129.0,0.0,1.0037,1.0037
130.0,0.0,0.9996,0.9996
131.0,0.0,0.9996,0.9996
132.0,0.0,1.0015,1.0015
133.0,0.0,1.0001,1.0001
134.0,0.0,1.001,1.001
135.0,0.0,0.9994,0.9994
136.0,0.0,1.0019,1.0019
137.0,0.0,1.0001,1.0001
138.0,0.0,1.0,1.0
139.0,0.0,0.9993,0.9993
140.0,0.0,0.9989,0.9989
141.0,0.0,1.0007,1.0007
142.0,0.0,1.0007,1.0007
143.0,0.0,0.9968,0.9968
144.0,0.0,0.9987,0.9987
145.0,0.0,1.0003,1.0003
146.0,0.0,1.0005,1.0005
147.0,0.0,1.0008,1.0008
148.0,0.0,1.0008,1.0008
149.0,0.0,1.0001,1.0001
150.0,0.0,1.0005,1.0005
151.0,0.0,1.0001,1.0001
152.0,0.0,0.9995,0.9995
153.0,0.0,1.0018,1.0018
154.0,0.0,1.0015,1.0015
155.0,0.0,1.0018,1.0018
156.0,0.0,0.9998,0.9998
157.0,0.0,1.0047,1.0047
158.0,0.0,0.9991,0.9991
159.0,0.0,0.9989,0.9989
160.0,0.0,1.0012,1.0012
161.0,0.0,1.0002,1.0002
162.0,0.0,0.9971,0.9971
163.0,0.0,1.002,1.002
164.0,0.0,1.0034,1.0034
165.0,0.0,0.9962,0.9962
166.0,0.0,1.0018,1.0018
167.0,0.0,0.9955,0.9955
168.0,0.0,1.0025,1.0025
169.0,0.0,0.9966,0.9966
170.0,0.0,0.9985,0.9985
171.0,0.0,1.0005,1.0005
172.0,0.0,0.9976,0.9976
173.0,0.0,0.9988,0.9988
174.0,0.0,0.9991,0.9991
175.0,0.0,0.9997,0.9997
176.0,0.0,0.9974,0.9974
177.0,0.0,1.0037,1.0037
178.0,0.0,1.0006,1.0006
179.0,0.0,1.0002,1.0002
180.0,0.0,1.0033,1.0033
181.0,0.0,0.9987,0.9987
182.0,0.0,1.0003,1.0003
183.0,0.0,0.9995,0.9995
184.0,0.0,1.0006,1.0006
185.0,0.0,1.0038,1.0038
186.0,0.0,1.0032,1.0032
187.0,0.0,0.9977,0.9977
188.0,0.0,1.0012,1.0012
189.0,0.0,1.0027,1.0027
190.0,0.0,1.0005,1.0005
191.0,0.0,1.0012,1.0012
192.0,0.0,1.0025,1.0025
193.0,0.0,0.9984,0.9984
194.0,0.0,0.9965,0.9965
195.0,0.0,0.9951,0.9951
196.0,0.0,1.0033,1.0033
197.0,0.0,1.0028,1.0028
198.0,0.0,1.0035,1.0035
199.0,0.0,0.9999,0.9999
200.0,0.0,0.9971,0.9971
201.0,0.0,0.9975,0.9975
202.0,0.0,0.9997,0.9997
203.0,0.0,0.9986,0.9986
204.0,0.0,1.0,1.0
205.0,0.0,1.0007,1.0007
206.0,0.0,0.9967,0.9967
207.0,0.0,0.997,0.997
208.0,0.0,1.0016,1.0016
209.0,0.0,1.003,1.003
210.0,0.0,0.9966,0.9966
211.0,0.0,0.9992,0.9992
212.0,0.0,0.9982,0.9982
213.0,0.0,1.0611,1.0611
214.0,0.0,1.0027,1.0027
215.0,0.0,1.0036,1.0036
216.0,0.0,0.999,0.999
217.0,0.0,1.0002,1.0002
218.0,0.0,1.0028,1.0028
