step,mloss,gloss,loss
1.0,0.0,1.003,1.003
2.0,0.0,2.7353,2.7353
3.0,0.0,1.0,1.0
4.0,0.0,1.0,1.0
5.0,0.0,0.9982,0.9982
6.0,0.0,1.0019,1.0019
7.0,0.0,1.0033,1.0033
8.0,0.0,0.9989,0.9989
9.0,0.0,0.9976,0.9976
10.0,0.0,1.0004,1.0004
11.0,0.0,1.0013,1.0013
12.0,0.0,1.0009,1.0009
13.0,0.0,1.0024,1.0024
14.0,0.0,1.0003,1.0003
15.0,0.0,0.9997,0.9997
16.0,0.0,0.9975,0.9975
17.0,0.0,0.9989,0.9989
18.0,0.0,1.0021,1.0021
19.0,0.0,1.001,1.001
20.0,0.0,0.9998,0.9998
21.0,0.0,1.0008,1.0008
22.0,0.0,0.9985,0.9985
23.0,0.0,0.9976,0.9976
24.0,0.0,0.9985,0.9985
25.0,0.0,1.0032,1.0032
26.0,0.0,1.0069,1.0069
27.0,0.0,1.0008,1.0008
28.0,0.0,1.0001,1.0001
29.0,0.0,1.017,1.017
30.0,0.0,1.0061,1.0061
31.0,0.0,0.9998,0.9998
32.0,0.0,1.0021,1.0021
33.0,0.0,1.0038,1.0038
34.0,0.0,0.9996,0.9996
35.0,0.0,0.9973,0.9973
36.0,0.0,1.0027,1.0027
37.0,0.0,0.9961,0.9961
38.0,0.0,1.0004,1.0004
39.0,0.0,0.9993,0.9993
40.0,0.0,1.0016,1.0016
41.0,0.0,1.0043,1.0043
42.0,0.0,1.0015,1.0015
43.0,0.0,0.9992,0.9992
44.0,0.0,1.0005,1.0005
45.0,0.0,0.9981,0.9981
46.0,0.0,1.0007,1.0007
47.0,0.0,0.9971,0.9971
48.0,0.0,0.9983,0.9983
49.0,0.0,0.9986,0.9986
50.0,0.0,1.0002,1.0002
51.0,0.0,1.0,1.0
52.0,0.0,1.002,1.002
53.0,0.0,1.0009,1.0009
54.0,0.0,0.9976,0.9976
55.0,0.0,1.0025,1.0025
56.0,0.0,0.9976,0.9976
57.0,0.0,1.0011,1.0011
58.0,0.0,1.0021,1.0021
59.0,0.0,1.003,1.003
60.0,0.0,0.9994,0.9994
61.0,0.0,1.0002,1.0002
62.0,0.0,0.9985,0.9985
63.0,0.0,0.9974,0.9974
64.0,0.0,0.9995,0.9995
65.0,0.0,1.005,1.005
66.0,0.0,1.0038,1.0038
67.0,0.0,0.9967,0.9967
68.0,0.0,1.0002,1.0002
69.0,0.0,1.004,1.004
70.0,0.0,1.0028,1.0028
71.0,0.0,1.0023,1.0023
72.0,0.0,1.0055,1.0055
73.0,0.0,1.0045,1.0045
74.0,0.0,1.0023,1.0023
75.0,0.0,1.0029,1.0029
76.0,0.0,0.9957,0.9957
77.0,0.0,1.0031,1.0031
78.0,0.0,1.0011,1.0011
79.0,0.0,0.9978,0.9978
80.0,0.0,0.9962,0.9962
81.0,0.0,0.9989,0.9989
82.0,0.0,0.9982,0.9982
83.0,0.0,0.9964,0.9964
84.0,0.0,0.9996,0.9996
85.0,0.0,1.0034,1.0034
86.0,0.0,0.9958,0.9958
87.0,0.0,1.0003,1.0003
88.0,0.0,1.0038,1.0038
89.0,0.0,0.9991,0.9991
90.0,0.0,0.9975,0.9975
91.0,0.0,0.9975,0.9975
92.0,0.0,0.9991,0.9991
93.0,0.0,0.9982,0.9982
94.0,0.0,1.0007,1.0007
95.0,0.0,1.0,1.0
96.0,0.0,0.9977,0.9977
97.0,0.0,1.0007,1.0007
98.0,0.0,1.0062,1.0062
99.0,0.0,0.9987,0.9987
100.0,0.0,1.0025,1.0025
101.0,0.0,1.0021,1.0021
102.0,0.0,0.9996,0.9996
103.0,0.0,0.9996,0.9996
104.0,0.0,0.9987,0.9987
105.0,0.0,0.9979,0.9979
106.0,0.0,1.004,1.004
107.0,0.0,0.9997,0.9997
108.0,0.0,0.9963,0.9963
109.0,0.0,1.0002,1.0002
110.0,0.0,0.9995,0.9995
111.0,0.0,0.9992,0.9992
112.0,0.0,0.9997,0.9997
113.0,0.0,0.9991,0.9991
114.0,0.0,0.9996,0.9996
115.0,0.0,1.0001,1.0001
116.0,0.0,0.9972,0.9972
117.0,0.0,1.0012,1.0012
118.0,0.0,1.0012,1.0012
119.0,0.0,1.0008,1.0008
120.0,0.0,1.0012,1.0012
121.0,0.0,0.9976,0.9976
122.0,0.0,0.9986,0.9986
123.0,0.0,0.9915,0.9915
124.0,0.0,1.0009,1.0009
125.0,0.0,0.9971,0.9971
126.0,0.0,0.9952,0.9952
127.0,0.0,0.9966,0.9966
128.0,0.0,0.9948,0.9948
129.0,0.0,0.9905,0.9905
130.0,0.0,0.9923,0.9923
131.0,0.0,0.9914,0.9914
132.0,0.0,0.9897,0.9897
133.0,0.0,0.9858,0.9858
134.0,0.0,0.9906,0.9906
135.0,0.0,0.9919,0.9919
136.0,0.0,0.9906,0.9906
137.0,0.0,0.9926,0.9926
138.0,0.0,0.9878,0.9878
139.0,0.0,0.9853,0.9853
140.0,0.0,0.9876,0.9876
141.0,0.0,0.9921,0.9921
142.0,0.0,0.9883,0.9883
143.0,0.0,0.9892,0.9892
144.0,0.0,0.9854,0.9854
145.0,0.0,0.9833,0.9833
146.0,0.0,0.984,0.984
147.0,0.0,0.9842,0.9842
148.0,0.0,0.981,0.981
149.0,0.0,0.982,0.982
150.0,0.0,0.9801,0.9801
151.0,0.0,0.9784,0.9784
152.0,0.0,0.9787,0.9787
153.0,0.0,0.9759,0.9759
154.0,0.0,0.9734,0.9734
155.0,0.0,0.9745,0.9745
156.0,0.0,0.9719,0.9719
157.0,0.0,0.9726,0.9726
158.0,0.0,0.9717,0.9717
159.0,0.0,0.9713,0.9713
160.0,0.0,0.9719,0.9719
161.0,0.0,0.9716,0.9716
162.0,0.0,0.9657,0.9657
163.0,0.0,0.9625,0.9625
164.0,0.0,0.9655,0.9655
165.0,0.0,0.9624,0.9624
166.0,0.0,0.9632,0.9632
167.0,0.0,0.9612,0.9612
168.0,0.0,0.9608,0.9608
169.0,0.0,0.9673,0.9673
170.0,0.0,0.9642,0.9642
171.0,0.0,0.9674,0.9674
172.0,0.0,0.9604,0.9604
173.0,0.0,0.9577,0.9577
174.0,0.0,0.9587,0.9587
175.0,0.0,0.9598,0.9598
176.0,0.0,0.959,0.959
177.0,0.0,0.9624,0.9624
178.0,0.0,0.9603,0.9603
179.0,0.0,0.9547,0.9547
180.0,0.0,0.9588,0.9588
181.0,0.0,0.9558,0.9558
182.0,0.0,0.9545,0.9545
183.0,0.0,0.9488,0.9488
184.0,0.0,0.9531,0.9531
185.0,0.0,0.9494,0.9494
186.0,0.0,0.9522,0.9522
187.0,0.0,0.9489,0.9489
188.0,0.0,0.9466,0.9466
189.0,0.0,0.9434,0.9434
190.0,0.0,0.9422,0.9422
191.0,0.0,0.9444,0.9444
192.0,0.0,0.9419,0.9419
193.0,0.0,0.9482,0.9482
194.0,0.0,0.9455,0.9455
195.0,0.0,0.9404,0.9404
196.0,0.0,0.9454,0.9454
197.0,0.0,0.9391,0.9391
198.0,0.0,0.9409,0.9409
199.0,0.0,0.9386,0.9386
200.0,0.0,0.9359,0.9359
201.0,0.0,0.9368,0.9368
202.0,0.0,0.9335,0.9335
203.0,0.0,0.9357,0.9357
204.0,0.0,0.9328,0.9328
205.0,0.0,0.9326,0.9326
206.0,0.0,0.9324,0.9324
207.0,0.0,0.9321,0.9321
208.0,0.0,0.9347,0.9347
209.0,0.0,0.9318,0.9318
210.0,0.0,0.9282,0.9282
