step,mloss,gloss,loss
1.0,0.0,0.9979,0.9979
2.0,0.0,1.0176,1.0176
3.0,0.0,0.9958,0.9958
4.0,0.0,0.9917,0.9917
5.0,0.0,0.9861,0.9861
6.0,0.0,1.0103,1.0103
7.0,0.0,1.0027,1.0027
8.0,0.0,0.9973,0.9973
9.0,0.0,0.996,0.996
10.0,0.0,0.996,0.996
11.0,0.0,0.9959,0.9959
12.0,0.0,1.0249,1.0249
13.0,0.0,1.0003,1.0003
14.0,0.0,0.9943,0.9943
15.0,0.0,0.9966,0.9966
16.0,0.0,1.0048,1.0048
17.0,0.0,0.9936,0.9936
18.0,0.0,0.9899,0.9899
19.0,0.0,0.9835,0.9835
20.0,0.0,0.9814,0.9814
21.0,0.0,0.973,0.973
22.0,0.0,1.0023,1.0023
23.0,0.0,0.9958,0.9958
24.0,0.0,0.9866,0.9866
25.0,0.0,0.984,0.984
26.0,0.0,0.9809,0.9809
27.0,0.0,0.9784,0.9784
28.0,0.0,0.9652,0.9652
29.0,0.0,0.9549,0.9549
30.0,0.0,1.0079,1.0079
31.0,0.0,1.1303,1.1303
32.0,0.0,0.9678,0.9678
33.0,0.0,0.9699,0.9699
34.0,0.0,0.9647,0.9647
35.0,0.0,0.9621,0.9621
36.0,0.0,0.9563,0.9563
37.0,0.0,0.9509,0.9509
38.0,0.0,0.9492,0.9492
39.0,0.0,0.9397,0.9397
40.0,0.0,0.9394,0.9394
41.0,0.0,0.9383,0.9383
42.0,0.0,0.9398,0.9398
43.0,0.0,0.9323,0.9323
44.0,0.0,0.9269,0.9269
45.0,0.0,0.9186,0.9186
46.0,0.0,0.9153,0.9153
47.0,0.0,0.9077,0.9077
48.0,0.0,0.9056,0.9056
49.0,0.0,0.9292,0.9292
50.0,0.0,0.9127,0.9127
51.0,0.0,0.916,0.916
52.0,0.0,0.9086,0.9086
53.0,0.0,0.8975,0.8975
54.0,0.0,0.8883,0.8883
55.0,0.0,0.888,0.888
56.0,0.0,0.8913,0.8913
57.0,0.0,0.8846,0.8846
58.0,0.0,0.8898,0.8898
59.0,0.0,0.8778,0.8778
60.0,0.0,0.8727,0.8727
61.0,0.0,0.8659,0.8659
62.0,0.0,0.8627,0.8627
63.0,0.0,0.8537,0.8537
64.0,0.0,0.8525,0.8525
65.0,0.0,0.8423,0.8423
66.0,0.0,0.843,0.843
67.0,0.0,0.8324,0.8324
68.0,0.0,0.8284,0.8284
69.0,0.0,0.83,0.83
70.0,0.0,0.8535,0.8535
71.0,0.0,0.8522,0.8522
72.0,0.0,0.8451,0.8451
73.0,0.0,0.8409,0.8409
74.0,0.0,0.8281,0.8281
75.0,0.0,0.8201,0.8201
76.0,0.0,0.8154,0.8154
77.0,0.0,0.8089,0.8089
78.0,0.0,0.8073,0.8073
79.0,0.0,0.7968,0.7968
80.0,0.0,0.7877,0.7877
81.0,0.0,0.7898,0.7898
82.0,0.0,0.7842,0.7842
83.0,0.0,0.7839,0.7839
84.0,0.0,0.7752,0.7752
85.0,0.0,0.7795,0.7795
86.0,0.0,0.7995,0.7995
87.0,0.0,0.7809,0.7809
88.0,0.0,0.7827,0.7827
89.0,0.0,0.769,0.769
90.0,0.0,0.7636,0.7636
91.0,0.0,0.7607,0.7607
92.0,0.0,0.7489,0.7489
93.0,0.0,0.7587,0.7587
94.0,0.0,0.7481,0.7481
95.0,0.0,0.7333,0.7333
96.0,0.0,0.7401,0.7401
97.0,0.0,0.7308,0.7308
98.0,0.0,0.721,0.721
99.0,0.0,0.7295,0.7295
100.0,0.0,0.7576,0.7576
101.0,0.0,0.758,0.758
102.0,0.0,0.7409,0.7409
103.0,0.0,0.7368,0.7368
104.0,0.0,0.7267,0.7267
105.0,0.0,0.7161,0.7161
106.0,0.0,0.7065,0.7065
107.0,0.0,0.7264,0.7264
108.0,0.0,0.7395,0.7395
109.0,0.0,0.7513,0.7513
110.0,0.0,0.7252,0.7252
111.0,0.0,0.7339,0.7339
112.0,0.0,0.7328,0.7328
113.0,0.0,0.712,0.712
114.0,0.0,0.6913,0.6913
115.0,0.0,0.7437,0.7437
116.0,0.0,0.7495,0.7495
117.0,0.0,0.7145,0.7145
118.0,0.0,0.7291,0.7291
119.0,0.0,0.7172,0.7172
120.0,0.0,0.6932,0.6932
121.0,0.0,0.6837,0.6837
122.0,0.0,0.7038,0.7038
123.0,0.0,0.7131,0.7131
124.0,0.0,0.6843,0.6843
125.0,0.0,0.6968,0.6968
126.0,0.0,0.6951,0.6951
127.0,0.0,0.6816,0.6816
