step,mloss,gloss,loss
1.0,0.0,0.9994,0.9994
2.0,0.0,1.0108,1.0108
3.0,0.0,0.9958,0.9958
4.0,0.0,0.9935,0.9935
5.0,0.0,0.9829,0.9829
6.0,0.0,0.9751,0.9751
7.0,0.0,1.1558,1.1558
8.0,0.0,0.9865,0.9865
9.0,0.0,1.003,1.003
10.0,0.0,0.9969,0.9969
11.0,0.0,0.9932,0.9932
12.0,0.0,1.0203,1.0203
13.0,0.0,1.0131,1.0131
14.0,0.0,0.9999,0.9999
15.0,0.0,1.0014,1.0014
16.0,0.0,1.0005,1.0005
17.0,0.0,0.998,0.998
18.0,0.0,0.9984,0.9984
19.0,0.0,0.9985,0.9985
20.0,0.0,0.9977,0.9977
21.0,0.0,0.997,0.997
22.0,0.0,0.9946,0.9946
23.0,0.0,0.9985,0.9985
24.0,0.0,0.9966,0.9966
25.0,0.0,0.9979,0.9979
26.0,0.0,0.9968,0.9968
27.0,0.0,0.9933,0.9933
28.0,0.0,0.989,0.989
29.0,0.0,0.9874,0.9874
30.0,0.0,0.9975,0.9975
31.0,0.0,1.0206,1.0206
32.0,0.0,1.0948,1.0948
33.0,0.0,0.9944,0.9944
34.0,0.0,1.0093,1.0093
35.0,0.0,0.9986,0.9986
36.0,0.0,1.0018,1.0018
37.0,0.0,0.9991,0.9991
38.0,0.0,0.9978,0.9978
39.0,0.0,0.9962,0.9962
40.0,0.0,0.9933,0.9933
41.0,0.0,0.9913,0.9913
42.0,0.0,0.9909,0.9909
43.0,0.0,1.0039,1.0039
44.0,0.0,0.9898,0.9898
45.0,0.0,0.9959,0.9959
46.0,0.0,0.9882,0.9882
47.0,0.0,0.9837,0.9837
48.0,0.0,0.9829,0.9829
49.0,0.0,1.0226,1.0226
50.0,0.0,0.9862,0.9862
51.0,0.0,0.9908,0.9908
52.0,0.0,0.9916,0.9916
53.0,0.0,0.9883,0.9883
54.0,0.0,0.9839,0.9839
55.0,0.0,0.978,0.978
56.0,0.0,0.979,0.979
57.0,0.0,0.9743,0.9743
58.0,0.0,1.0191,1.0191
59.0,0.0,0.9756,0.9756
60.0,0.0,0.9842,0.9842
61.0,0.0,0.9821,0.9821
62.0,0.0,0.9808,0.9808
63.0,0.0,0.9755,0.9755
64.0,0.0,0.976,0.976
65.0,0.0,0.963,0.963
66.0,0.0,0.9656,0.9656
67.0,0.0,0.9652,0.9652
68.0,0.0,0.9545,0.9545
69.0,0.0,0.9527,0.9527
70.0,0.0,0.9517,0.9517
71.0,0.0,0.9482,0.9482
72.0,0.0,0.9382,0.9382
73.0,0.0,0.9348,0.9348
74.0,0.0,0.9318,0.9318
75.0,0.0,0.9303,0.9303
76.0,0.0,0.9226,0.9226
77.0,0.0,0.9208,0.9208
78.0,0.0,0.912,0.912
79.0,0.0,0.9096,0.9096
80.0,0.0,0.9021,0.9021
81.0,0.0,0.9062,0.9062
82.0,0.0,0.8986,0.8986
83.0,0.0,0.8935,0.8935
84.0,0.0,0.8905,0.8905
85.0,0.0,0.8836,0.8836
86.0,0.0,0.8859,0.8859
87.0,0.0,0.8943,0.8943
88.0,0.0,0.8832,0.8832
89.0,0.0,0.8793,0.8793
90.0,0.0,0.875,0.875
91.0,0.0,0.8702,0.8702
92.0,0.0,0.8691,0.8691
93.0,0.0,0.8647,0.8647
94.0,0.0,0.8616,0.8616
95.0,0.0,0.8612,0.8612
96.0,0.0,0.8511,0.8511
97.0,0.0,0.8536,0.8536
98.0,0.0,0.8429,0.8429
99.0,0.0,0.8371,0.8371
100.0,0.0,0.8392,0.8392
101.0,0.0,0.8357,0.8357
102.0,0.0,0.8431,0.8431
103.0,0.0,0.83,0.83
104.0,0.0,0.8339,0.8339
105.0,0.0,0.8178,0.8178
106.0,0.0,0.813,0.813
107.0,0.0,0.8145,0.8145
108.0,0.0,0.8065,0.8065
109.0,0.0,0.8057,0.8057
110.0,0.0,0.7943,0.7943
111.0,0.0,0.7937,0.7937
112.0,0.0,0.7832,0.7832
113.0,0.0,0.775,0.775
114.0,0.0,0.7843,0.7843
115.0,0.0,0.8173,0.8173
