step,mloss,gloss,loss
1.0,0.0,0.9999,0.9999
2.0,0.0,1.0123,1.0123
3.0,0.0,0.9953,0.9953
4.0,0.0,0.9966,0.9966
5.0,0.0,0.9814,0.9814
6.0,0.0,0.9923,0.9923
7.0,0.0,0.9928,0.9928
8.0,0.0,0.9811,0.9811
9.0,0.0,0.9897,0.9897
10.0,0.0,0.9731,0.9731
11.0,0.0,0.9631,0.9631
12.0,0.0,0.9465,0.9465
13.0,0.0,1.1954,1.1954
14.0,0.0,0.9499,0.9499
15.0,0.0,0.9706,0.9706
16.0,0.0,0.9718,0.9718
17.0,0.0,0.9632,0.9632
18.0,0.0,0.9486,0.9486
19.0,0.0,0.9343,0.9343
20.0,0.0,0.9974,0.9974
21.0,0.0,0.9577,0.9577
22.0,0.0,0.9619,0.9619
23.0,0.0,0.9687,0.9687
24.0,0.0,0.9533,0.9533
25.0,0.0,0.9356,0.9356
26.0,0.0,0.9258,0.9258
27.0,0.0,1.013,1.013
28.0,0.0,0.9394,0.9394
29.0,0.0,0.9429,0.9429
30.0,0.0,0.9348,0.9348
31.0,0.0,0.9234,0.9234
32.0,0.0,0.9066,0.9066
33.0,0.0,0.9146,0.9146
34.0,0.0,1.015,1.015
35.0,0.0,0.9183,0.9183
36.0,0.0,0.9403,0.9403
37.0,0.0,0.9406,0.9406
38.0,0.0,0.9269,0.9269
39.0,0.0,0.9238,0.9238
40.0,0.0,1.0264,1.0264
41.0,0.0,0.9125,0.9125
42.0,0.0,0.923,0.923
43.0,0.0,0.911,0.911
44.0,0.0,0.8962,0.8962
45.0,0.0,0.8884,0.8884
46.0,0.0,0.914,0.914
47.0,0.0,0.9254,0.9254
48.0,0.0,0.8969,0.8969
49.0,0.0,0.8903,0.8903
50.0,0.0,0.8882,0.8882
51.0,0.0,0.8856,0.8856
52.0,0.0,0.8756,0.8756
53.0,0.0,0.8644,0.8644
54.0,0.0,0.857,0.857
55.0,0.0,0.8616,0.8616
56.0,0.0,0.8449,0.8449
57.0,0.0,0.8372,0.8372
58.0,0.0,0.8351,0.8351
59.0,0.0,0.8289,0.8289
60.0,0.0,0.8241,0.8241
61.0,0.0,0.8157,0.8157
62.0,0.0,0.8134,0.8134
63.0,0.0,0.8037,0.8037
64.0,0.0,0.7987,0.7987
65.0,0.0,0.7911,0.7911
66.0,0.0,0.783,0.783
67.0,0.0,0.7839,0.7839
68.0,0.0,0.776,0.776
69.0,0.0,0.78,0.78
70.0,0.0,0.7916,0.7916
71.0,0.0,0.7722,0.7722
72.0,0.0,0.7705,0.7705
73.0,0.0,0.7625,0.7625
74.0,0.0,0.7511,0.7511
75.0,0.0,0.7532,0.7532
76.0,0.0,0.7452,0.7452
77.0,0.0,0.7397,0.7397
78.0,0.0,0.7331,0.7331
79.0,0.0,0.7299,0.7299
80.0,0.0,0.7197,0.7197
81.0,0.0,0.7159,0.7159
82.0,0.0,0.7379,0.7379
83.0,0.0,0.7979,0.7979
84.0,0.0,0.74,0.74
85.0,0.0,0.7718,0.7718
86.0,0.0,0.7581,0.7581
87.0,0.0,0.7442,0.7442
88.0,0.0,0.7207,0.7207
89.0,0.0,0.7106,0.7106
90.0,0.0,0.7225,0.7225
91.0,0.0,0.7034,0.7034
92.0,0.0,0.7103,0.7103
93.0,0.0,0.7003,0.7003
94.0,0.0,0.7045,0.7045
95.0,0.0,0.6909,0.6909
96.0,0.0,0.6863,0.6863
97.0,0.0,0.6759,0.6759
98.0,0.0,0.6903,0.6903
99.0,0.0,0.6907,0.6907
100.0,0.0,0.6778,0.6778
101.0,0.0,0.6744,0.6744
102.0,0.0,0.6733,0.6733
103.0,0.0,0.6654,0.6654
104.0,0.0,0.6563,0.6563
105.0,0.0,0.6474,0.6474
106.0,0.0,0.6525,0.6525
107.0,0.0,0.6523,0.6523
108.0,0.0,0.6552,0.6552
109.0,0.0,0.6423,0.6423
110.0,0.0,0.6429,0.6429
111.0,0.0,0.6323,0.6323
112.0,0.0,0.626,0.626
113.0,0.0,0.6183,0.6183
114.0,0.0,0.6315,0.6315
115.0,0.0,0.6363,0.6363
116.0,0.0,0.6286,0.6286
117.0,0.0,0.6154,0.6154
118.0,0.0,0.6247,0.6247
119.0,0.0,0.602,0.602
120.0,0.0,0.601,0.601
121.0,0.0,0.5899,0.5899
122.0,0.0,0.6072,0.6072
123.0,0.0,0.622,0.622
124.0,0.0,0.6211,0.6211
125.0,0.0,0.6066,0.6066
126.0,0.0,0.6066,0.6066
127.0,0.0,0.5961,0.5961
128.0,0.0,0.5713,0.5713
129.0,0.0,0.5948,0.5948
130.0,0.0,0.5837,0.5837
131.0,0.0,0.6124,0.6124
132.0,0.0,0.5997,0.5997
133.0,0.0,0.5903,0.5903
134.0,0.0,0.5944,0.5944
135.0,0.0,0.5786,0.5786
136.0,0.0,0.5584,0.5584
137.0,0.0,0.5577,0.5577
138.0,0.0,0.5744,0.5744
139.0,0.0,0.5985,0.5985
140.0,0.0,0.6247,0.6247
141.0,0.0,0.5799,0.5799
142.0,0.0,0.5978,0.5978
143.0,0.0,0.595,0.595
144.0,0.0,0.5684,0.5684
145.0,0.0,0.5432,0.5432
146.0,0.0,0.5612,0.5612
147.0,0.0,0.5521,0.5521
148.0,0.0,0.581,0.581
149.0,0.0,0.5694,0.5694
150.0,0.0,0.5615,0.5615
151.0,0.0,0.5709,0.5709
152.0,0.0,0.5574,0.5574
153.0,0.0,0.5387,0.5387
154.0,0.0,0.522,0.522
155.0,0.0,0.537,0.537
156.0,0.0,0.5483,0.5483
157.0,0.0,0.5886,0.5886
158.0,0.0,0.5681,0.5681
159.0,0.0,0.5753,0.5753
160.0,0.0,0.5705,0.5705
161.0,0.0,0.5635,0.5635
