Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.0885
Done: 20000 / 200000. Loss: 0.0769
Done: 30000 / 200000. Loss: 0.0635
Done: 40000 / 200000. Loss: 0.0584
Done: 50000 / 200000. Loss: 0.0541
Done: 60000 / 200000. Loss: 0.0492
Done: 70000 / 200000. Loss: 0.0504
Done: 80000 / 200000. Loss: 0.046
Done: 90000 / 200000. Loss: 0.046
Done: 100000 / 200000. Loss: 0.0457
Done: 110000 / 200000. Loss: 0.0426
Done: 120000 / 200000. Loss: 0.0416
Done: 130000 / 200000. Loss: 0.0392
Done: 140000 / 200000. Loss: 0.0393
Done: 150000 / 200000. Loss: 0.0375
Done: 160000 / 200000. Loss: 0.0361
Done: 170000 / 200000. Loss: 0.0357
Done: 180000 / 200000. Loss: 0.0354
Done: 190000 / 200000. Loss: 0.0347
Done: 200000 / 200000. Loss: 0.0345
