Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.0716
Done: 20000 / 200000. Loss: 0.0695
Done: 30000 / 200000. Loss: 0.0576
Done: 40000 / 200000. Loss: 0.0582
Done: 50000 / 200000. Loss: 0.0532
Done: 60000 / 200000. Loss: 0.0472
Done: 70000 / 200000. Loss: 0.0461
Done: 80000 / 200000. Loss: 0.0437
Done: 90000 / 200000. Loss: 0.0411
Done: 100000 / 200000. Loss: 0.0407
Done: 110000 / 200000. Loss: 0.0394
Done: 120000 / 200000. Loss: 0.0387
Done: 130000 / 200000. Loss: 0.0366
Done: 140000 / 200000. Loss: 0.0365
Done: 150000 / 200000. Loss: 0.035
Done: 160000 / 200000. Loss: 0.0338
Done: 170000 / 200000. Loss: 0.0336
Done: 180000 / 200000. Loss: 0.0341
Done: 190000 / 200000. Loss: 0.0317
Done: 200000 / 200000. Loss: 0.0323
