Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.2389
Done: 20000 / 200000. Loss: 0.2416
Done: 30000 / 200000. Loss: 0.2263
Done: 40000 / 200000. Loss: 0.2142
Done: 50000 / 200000. Loss: 0.2071
Done: 60000 / 200000. Loss: 0.1984
Done: 70000 / 200000. Loss: 0.1867
Done: 80000 / 200000. Loss: 0.1721
Done: 90000 / 200000. Loss: 0.1577
Done: 100000 / 200000. Loss: 0.1368
Done: 110000 / 200000. Loss: 0.1219
Done: 120000 / 200000. Loss: 0.1113
Done: 130000 / 200000. Loss: 0.093
Done: 140000 / 200000. Loss: 0.0782
Done: 150000 / 200000. Loss: 0.0659
Done: 160000 / 200000. Loss: 0.0525
Done: 170000 / 200000. Loss: 0.0463
Done: 180000 / 200000. Loss: 0.0408
Done: 190000 / 200000. Loss: 0.0375
Done: 200000 / 200000. Loss: 0.0363
