Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.0955
Done: 20000 / 200000. Loss: 0.0755
Done: 30000 / 200000. Loss: 0.0762
Done: 40000 / 200000. Loss: 0.067
Done: 50000 / 200000. Loss: 0.0656
Done: 60000 / 200000. Loss: 0.0611
Done: 70000 / 200000. Loss: 0.0612
Done: 80000 / 200000. Loss: 0.0612
Done: 90000 / 200000. Loss: 0.055
Done: 100000 / 200000. Loss: 0.0558
Done: 110000 / 200000. Loss: 0.056
Done: 120000 / 200000. Loss: 0.0535
Done: 130000 / 200000. Loss: 0.0502
Done: 140000 / 200000. Loss: 0.0512
Done: 150000 / 200000. Loss: 0.0533
Done: 160000 / 200000. Loss: 0.0513
Done: 170000 / 200000. Loss: 0.0474
Done: 180000 / 200000. Loss: 0.0503
Done: 190000 / 200000. Loss: 0.0459
Done: 200000 / 200000. Loss: 0.0483
