Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.0908
Done: 20000 / 200000. Loss: 0.0786
Done: 30000 / 200000. Loss: 0.068
Done: 40000 / 200000. Loss: 0.0622
Done: 50000 / 200000. Loss: 0.0572
Done: 60000 / 200000. Loss: 0.0567
Done: 70000 / 200000. Loss: 0.0572
Done: 80000 / 200000. Loss: 0.0577
Done: 90000 / 200000. Loss: 0.056
Done: 100000 / 200000. Loss: 0.052
Done: 110000 / 200000. Loss: 0.0519
Done: 120000 / 200000. Loss: 0.0535
Done: 130000 / 200000. Loss: 0.0483
Done: 140000 / 200000. Loss: 0.0494
Done: 150000 / 200000. Loss: 0.0546
Done: 160000 / 200000. Loss: 0.0519
Done: 170000 / 200000. Loss: 0.0485
Done: 180000 / 200000. Loss: 0.0476
Done: 190000 / 200000. Loss: 0.0485
Done: 200000 / 200000. Loss: 0.0487
