Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.2528
Done: 20000 / 200000. Loss: 0.2649
Done: 30000 / 200000. Loss: 0.2249
Done: 40000 / 200000. Loss: 0.2223
Done: 50000 / 200000. Loss: 0.2215
Done: 60000 / 200000. Loss: 0.2085
Done: 70000 / 200000. Loss: 0.1977
Done: 80000 / 200000. Loss: 0.1806
Done: 90000 / 200000. Loss: 0.1838
Done: 100000 / 200000. Loss: 0.1454
Done: 110000 / 200000. Loss: 0.1315
Done: 120000 / 200000. Loss: 0.1173
Done: 130000 / 200000. Loss: 0.1027
Done: 140000 / 200000. Loss: 0.0908
Done: 150000 / 200000. Loss: 0.0812
Done: 160000 / 200000. Loss: 0.0654
Done: 170000 / 200000. Loss: 0.0596
Done: 180000 / 200000. Loss: 0.0544
Done: 190000 / 200000. Loss: 0.0528
Done: 200000 / 200000. Loss: 0.0548
