step,mloss,gloss,loss
1.0,0.0,1.0011,1.0011
2.0,0.0,1.0135,1.0135
3.0,0.0,1.0018,1.0018
4.0,0.0,0.9957,0.9957
5.0,0.0,0.9911,0.9911
6.0,0.0,1.0005,1.0005
7.0,0.0,0.994,0.994
8.0,0.0,1.0059,1.0059
9.0,0.0,0.9999,0.9999
10.0,0.0,0.9954,0.9954
11.0,0.0,0.9852,0.9852
12.0,0.0,0.9939,0.9939
13.0,0.0,0.9891,0.9891
14.0,0.0,0.9857,0.9857
15.0,0.0,0.9882,0.9882
16.0,0.0,0.9694,0.9694
17.0,0.0,0.9641,0.9641
18.0,0.0,0.9853,0.9853
19.0,0.0,1.0121,1.0121
20.0,0.0,0.97,0.97
21.0,0.0,0.9747,0.9747
22.0,0.0,0.971,0.971
23.0,0.0,0.9661,0.9661
24.0,0.0,0.9568,0.9568
25.0,0.0,0.946,0.946
26.0,0.0,0.943,0.943
27.0,0.0,0.9767,0.9767
28.0,0.0,0.9413,0.9413
29.0,0.0,0.9439,0.9439
30.0,0.0,0.9395,0.9395
31.0,0.0,0.9374,0.9374
32.0,0.0,0.9185,0.9185
33.0,0.0,0.9133,0.9133
34.0,0.0,0.911,0.911
35.0,0.0,0.9039,0.9039
36.0,0.0,0.8897,0.8897
37.0,0.0,0.883,0.883
38.0,0.0,0.878,0.878
39.0,0.0,0.8807,0.8807
40.0,0.0,0.8748,0.8748
41.0,0.0,0.8673,0.8673
42.0,0.0,0.8584,0.8584
43.0,0.0,0.8449,0.8449
44.0,0.0,0.8465,0.8465
45.0,0.0,0.8525,0.8525
46.0,0.0,0.8348,0.8348
47.0,0.0,0.8309,0.8309
48.0,0.0,0.8165,0.8165
49.0,0.0,0.7986,0.7986
50.0,0.0,0.8037,0.8037
51.0,0.0,0.8003,0.8003
52.0,0.0,0.8027,0.8027
53.0,0.0,0.7906,0.7906
54.0,0.0,0.7817,0.7817
55.0,0.0,0.7642,0.7642
56.0,0.0,0.7685,0.7685
57.0,0.0,0.7632,0.7632
58.0,0.0,0.7674,0.7674
59.0,0.0,0.7484,0.7484
60.0,0.0,0.7419,0.7419
61.0,0.0,0.7258,0.7258
62.0,0.0,0.7246,0.7246
63.0,0.0,0.7393,0.7393
64.0,0.0,0.7479,0.7479
65.0,0.0,0.7425,0.7425
66.0,0.0,0.7384,0.7384
67.0,0.0,0.7065,0.7065
68.0,0.0,0.7123,0.7123
69.0,0.0,0.7252,0.7252
70.0,0.0,0.7302,0.7302
71.0,0.0,0.7166,0.7166
72.0,0.0,0.7291,0.7291
73.0,0.0,0.7059,0.7059
74.0,0.0,0.6848,0.6848
75.0,0.0,0.676,0.676
76.0,0.0,0.7082,0.7082
77.0,0.0,0.7441,0.7441
78.0,0.0,0.7105,0.7105
79.0,0.0,0.7363,0.7363
80.0,0.0,0.7265,0.7265
81.0,0.0,0.7008,0.7008
82.0,0.0,0.6725,0.6725
83.0,0.0,0.6755,0.6755
84.0,0.0,0.6808,0.6808
85.0,0.0,0.6855,0.6855
86.0,0.0,0.6632,0.6632
87.0,0.0,0.6757,0.6757
88.0,0.0,0.6571,0.6571
89.0,0.0,0.6431,0.6431
90.0,0.0,0.6292,0.6292
91.0,0.0,0.6279,0.6279
92.0,0.0,0.637,0.637
93.0,0.0,0.6294,0.6294
94.0,0.0,0.6204,0.6204
95.0,0.0,0.6105,0.6105
96.0,0.0,0.6019,0.6019
97.0,0.0,0.5991,0.5991
98.0,0.0,0.6017,0.6017
99.0,0.0,0.598,0.598
100.0,0.0,0.5863,0.5863
101.0,0.0,0.5854,0.5854
102.0,0.0,0.577,0.577
