step,mloss,gloss,loss
1.0,0.0,1.0011,1.0011
2.0,0.0,1.039,1.039
3.0,0.0,0.9999,0.9999
4.0,0.0,0.9946,0.9946
5.0,0.0,0.9975,0.9975
6.0,0.0,0.9879,0.9879
7.0,0.0,0.9932,0.9932
8.0,0.0,0.9997,0.9997
9.0,0.0,0.998,0.998
10.0,0.0,0.9939,0.9939
11.0,0.0,0.9994,0.9994
12.0,0.0,1.0152,1.0152
13.0,0.0,0.9938,0.9938
14.0,0.0,0.9938,0.9938
15.0,0.0,0.993,0.993
16.0,0.0,0.9882,0.9882
17.0,0.0,0.9782,0.9782
18.0,0.0,0.9638,0.9638
19.0,0.0,1.4283,1.4283
20.0,0.0,0.9712,0.9712
21.0,0.0,0.9856,0.9856
22.0,0.0,0.9861,0.9861
23.0,0.0,0.9867,0.9867
24.0,0.0,0.9833,0.9833
25.0,0.0,0.9786,0.9786
26.0,0.0,0.9695,0.9695
27.0,0.0,0.9802,0.9802
28.0,0.0,0.978,0.978
29.0,0.0,0.9719,0.9719
30.0,0.0,0.9698,0.9698
31.0,0.0,0.9619,0.9619
32.0,0.0,0.9542,0.9542
33.0,0.0,0.9579,0.9579
34.0,0.0,0.9641,0.9641
35.0,0.0,0.9675,0.9675
36.0,0.0,0.9745,0.9745
37.0,0.0,0.9547,0.9547
38.0,0.0,0.9566,0.9566
39.0,0.0,0.9471,0.9471
40.0,0.0,0.9439,0.9439
41.0,0.0,0.9416,0.9416
42.0,0.0,0.9347,0.9347
43.0,0.0,0.9255,0.9255
44.0,0.0,0.926,0.926
45.0,0.0,0.9203,0.9203
46.0,0.0,0.9095,0.9095
47.0,0.0,0.9032,0.9032
48.0,0.0,0.8967,0.8967
49.0,0.0,0.8936,0.8936
50.0,0.0,0.8924,0.8924
51.0,0.0,0.8978,0.8978
52.0,0.0,0.9126,0.9126
53.0,0.0,0.9061,0.9061
54.0,0.0,0.8956,0.8956
55.0,0.0,0.8831,0.8831
56.0,0.0,0.8755,0.8755
57.0,0.0,0.8957,0.8957
58.0,0.0,0.9202,0.9202
59.0,0.0,0.8852,0.8852
60.0,0.0,0.8987,0.8987
61.0,0.0,0.9023,0.9023
62.0,0.0,0.8914,0.8914
63.0,0.0,0.8804,0.8804
64.0,0.0,0.868,0.868
65.0,0.0,0.8654,0.8654
66.0,0.0,0.8675,0.8675
67.0,0.0,0.8517,0.8517
68.0,0.0,0.8561,0.8561
69.0,0.0,0.8439,0.8439
70.0,0.0,0.8363,0.8363
71.0,0.0,0.8379,0.8379
72.0,0.0,0.8344,0.8344
73.0,0.0,0.8254,0.8254
74.0,0.0,0.8239,0.8239
75.0,0.0,0.8162,0.8162
76.0,0.0,0.8113,0.8113
77.0,0.0,0.8058,0.8058
78.0,0.0,0.8,0.8
79.0,0.0,0.7983,0.7983
80.0,0.0,0.7992,0.7992
81.0,0.0,0.7947,0.7947
82.0,0.0,0.7855,0.7855
83.0,0.0,0.7841,0.7841
84.0,0.0,0.7778,0.7778
85.0,0.0,0.7746,0.7746
86.0,0.0,0.7784,0.7784
87.0,0.0,0.7657,0.7657
88.0,0.0,0.769,0.769
89.0,0.0,0.7752,0.7752
90.0,0.0,0.7728,0.7728
91.0,0.0,0.7625,0.7625
92.0,0.0,0.7646,0.7646
93.0,0.0,0.7521,0.7521
94.0,0.0,0.7546,0.7546
95.0,0.0,0.7564,0.7564
96.0,0.0,0.769,0.769
97.0,0.0,0.7535,0.7535
98.0,0.0,0.7522,0.7522
99.0,0.0,0.7459,0.7459
100.0,0.0,0.7353,0.7353
101.0,0.0,0.7399,0.7399
102.0,0.0,0.7308,0.7308
103.0,0.0,0.73,0.73
104.0,0.0,0.727,0.727
105.0,0.0,0.7324,0.7324
106.0,0.0,0.7129,0.7129
107.0,0.0,0.7114,0.7114
108.0,0.0,0.7072,0.7072
109.0,0.0,0.7268,0.7268
110.0,0.0,0.7535,0.7535
111.0,0.0,0.7235,0.7235
112.0,0.0,0.7296,0.7296
113.0,0.0,0.7188,0.7188
114.0,0.0,0.7033,0.7033
115.0,0.0,0.7073,0.7073
116.0,0.0,0.7072,0.7072
117.0,0.0,0.7152,0.7152
118.0,0.0,0.7119,0.7119
119.0,0.0,0.7186,0.7186
120.0,0.0,0.7086,0.7086
121.0,0.0,0.6889,0.6889
122.0,0.0,0.6785,0.6785
123.0,0.0,0.6933,0.6933
124.0,0.0,0.6926,0.6926
125.0,0.0,0.6881,0.6881
126.0,0.0,0.6789,0.6789
127.0,0.0,0.6812,0.6812
128.0,0.0,0.6777,0.6777
129.0,0.0,0.6598,0.6598
130.0,0.0,0.6679,0.6679
131.0,0.0,0.6657,0.6657
132.0,0.0,0.6657,0.6657
133.0,0.0,0.6707,0.6707
134.0,0.0,0.6635,0.6635
135.0,0.0,0.6577,0.6577
136.0,0.0,0.6512,0.6512
137.0,0.0,0.6394,0.6394
138.0,0.0,0.652,0.652
139.0,0.0,0.6902,0.6902
140.0,0.0,0.7173,0.7173
141.0,0.0,0.6784,0.6784
142.0,0.0,0.7045,0.7045
143.0,0.0,0.6932,0.6932
144.0,0.0,0.6698,0.6698
145.0,0.0,0.6558,0.6558
146.0,0.0,0.6611,0.6611
147.0,0.0,0.7333,0.7333
148.0,0.0,0.7943,0.7943
149.0,0.0,0.728,0.728
150.0,0.0,0.7578,0.7578
151.0,0.0,0.763,0.763
152.0,0.0,0.7481,0.7481
153.0,0.0,0.7227,0.7227
154.0,0.0,0.7097,0.7097
155.0,0.0,0.7237,0.7237
156.0,0.0,0.7133,0.7133
157.0,0.0,0.7089,0.7089
158.0,0.0,0.6901,0.6901
159.0,0.0,0.6814,0.6814
160.0,0.0,0.6795,0.6795
161.0,0.0,0.6659,0.6659
162.0,0.0,0.6742,0.6742
163.0,0.0,0.6629,0.6629
164.0,0.0,0.6508,0.6508
165.0,0.0,0.6528,0.6528
166.0,0.0,0.6526,0.6526
167.0,0.0,0.6468,0.6468
168.0,0.0,0.6412,0.6412
169.0,0.0,0.6325,0.6325
170.0,0.0,0.6328,0.6328
171.0,0.0,0.6342,0.6342
172.0,0.0,0.6217,0.6217
173.0,0.0,0.6182,0.6182
174.0,0.0,0.6173,0.6173
175.0,0.0,0.6146,0.6146
176.0,0.0,0.6087,0.6087
177.0,0.0,0.6079,0.6079
178.0,0.0,0.6058,0.6058
179.0,0.0,0.5995,0.5995
180.0,0.0,0.6011,0.6011
181.0,0.0,0.6024,0.6024
182.0,0.0,0.5974,0.5974
183.0,0.0,0.5895,0.5895
184.0,0.0,0.5839,0.5839
185.0,0.0,0.5864,0.5864
186.0,0.0,0.5878,0.5878
187.0,0.0,0.5875,0.5875
188.0,0.0,0.5893,0.5893
189.0,0.0,0.5858,0.5858
190.0,0.0,0.5848,0.5848
191.0,0.0,0.5836,0.5836
192.0,0.0,0.5775,0.5775
193.0,0.0,0.5847,0.5847
194.0,0.0,0.5915,0.5915
195.0,0.0,0.59,0.59
196.0,0.0,0.5795,0.5795
197.0,0.0,0.5775,0.5775
198.0,0.0,0.5717,0.5717
199.0,0.0,0.5675,0.5675
200.0,0.0,0.5696,0.5696
201.0,0.0,0.5779,0.5779
202.0,0.0,0.5906,0.5906
203.0,0.0,0.5738,0.5738
204.0,0.0,0.5705,0.5705
205.0,0.0,0.5615,0.5615
206.0,0.0,0.5569,0.5569
207.0,0.0,0.5573,0.5573
208.0,0.0,0.5632,0.5632
209.0,0.0,0.5792,0.5792
210.0,0.0,0.5784,0.5784
211.0,0.0,0.5651,0.5651
212.0,0.0,0.5628,0.5628
213.0,0.0,0.5548,0.5548
214.0,0.0,0.5507,0.5507
215.0,0.0,0.5544,0.5544
216.0,0.0,0.5631,0.5631
217.0,0.0,0.5817,0.5817
218.0,0.0,0.5714,0.5714
219.0,0.0,0.5724,0.5724
220.0,0.0,0.564,0.564
221.0,0.0,0.5491,0.5491
222.0,0.0,0.5418,0.5418
223.0,0.0,0.5424,0.5424
224.0,0.0,0.5515,0.5515
225.0,0.0,0.5671,0.5671
226.0,0.0,0.5531,0.5531
227.0,0.0,0.5525,0.5525
228.0,0.0,0.56,0.56
229.0,0.0,0.5473,0.5473
230.0,0.0,0.5308,0.5308
231.0,0.0,0.5559,0.5559
232.0,0.0,0.5365,0.5365
233.0,0.0,0.5604,0.5604
234.0,0.0,0.5524,0.5524
235.0,0.0,0.5439,0.5439
236.0,0.0,0.5355,0.5355
237.0,0.0,0.5362,0.5362
238.0,0.0,0.5216,0.5216
239.0,0.0,0.5308,0.5308
240.0,0.0,0.5312,0.5312
241.0,0.0,0.5637,0.5637
242.0,0.0,0.5502,0.5502
243.0,0.0,0.5415,0.5415
244.0,0.0,0.551,0.551
245.0,0.0,0.5354,0.5354
246.0,0.0,0.5243,0.5243
247.0,0.0,0.5186,0.5186
248.0,0.0,0.5287,0.5287
249.0,0.0,0.5364,0.5364
250.0,0.0,0.5486,0.5486
251.0,0.0,0.5265,0.5265
252.0,0.0,0.5388,0.5388
253.0,0.0,0.5349,0.5349
254.0,0.0,0.5156,0.5156
255.0,0.0,0.5099,0.5099
256.0,0.0,0.5235,0.5235
257.0,0.0,0.5231,0.5231
258.0,0.0,0.5361,0.5361
259.0,0.0,0.532,0.532
260.0,0.0,0.5152,0.5152
261.0,0.0,0.5197,0.5197
262.0,0.0,0.5217,0.5217
263.0,0.0,0.5022,0.5022
264.0,0.0,0.5095,0.5095
265.0,0.0,0.5099,0.5099
266.0,0.0,0.5379,0.5379
267.0,0.0,0.5389,0.5389
268.0,0.0,0.5183,0.5183
269.0,0.0,0.526,0.526
270.0,0.0,0.5239,0.5239
271.0,0.0,0.4986,0.4986
272.0,0.0,0.4995,0.4995
273.0,0.0,0.5009,0.5009
274.0,0.0,0.5192,0.5192
275.0,0.0,0.5343,0.5343
276.0,0.0,0.5138,0.5138
277.0,0.0,0.5172,0.5172
278.0,0.0,0.5088,0.5088
279.0,0.0,0.5005,0.5005
280.0,0.0,0.4861,0.4861
281.0,0.0,0.4885,0.4885
282.0,0.0,0.5016,0.5016
283.0,0.0,0.504,0.504
284.0,0.0,0.5205,0.5205
285.0,0.0,0.4874,0.4874
286.0,0.0,0.4993,0.4993
287.0,0.0,0.4938,0.4938
288.0,0.0,0.4813,0.4813
289.0,0.0,0.4753,0.4753
290.0,0.0,0.4773,0.4773
291.0,0.0,0.4917,0.4917
292.0,0.0,0.4987,0.4987
293.0,0.0,0.5183,0.5183
294.0,0.0,0.4822,0.4822
295.0,0.0,0.5066,0.5066
296.0,0.0,0.4989,0.4989
297.0,0.0,0.4804,0.4804
298.0,0.0,0.4713,0.4713
299.0,0.0,0.4704,0.4704
300.0,0.0,0.4902,0.4902
301.0,0.0,0.5082,0.5082
302.0,0.0,0.5247,0.5247
303.0,0.0,0.4859,0.4859
304.0,0.0,0.5076,0.5076
305.0,0.0,0.5116,0.5116
306.0,0.0,0.4899,0.4899
307.0,0.0,0.4692,0.4692
308.0,0.0,0.4731,0.4731
309.0,0.0,0.4869,0.4869
310.0,0.0,0.5234,0.5234
311.0,0.0,0.5573,0.5573
312.0,0.0,0.5032,0.5032
313.0,0.0,0.5239,0.5239
314.0,0.0,0.536,0.536
315.0,0.0,0.5227,0.5227
316.0,0.0,0.4979,0.4979
317.0,0.0,0.4787,0.4787
318.0,0.0,0.4717,0.4717
319.0,0.0,0.4899,0.4899
320.0,0.0,0.5097,0.5097
321.0,0.0,0.5804,0.5804
322.0,0.0,0.5594,0.5594
323.0,0.0,0.5442,0.5442
324.0,0.0,0.5534,0.5534
325.0,0.0,0.5681,0.5681
326.0,0.0,0.557,0.557
327.0,0.0,0.5349,0.5349
328.0,0.0,0.4954,0.4954
329.0,0.0,0.4703,0.4703
330.0,0.0,0.5065,0.5065
331.0,0.0,0.5355,0.5355
332.0,0.0,0.5445,0.5445
333.0,0.0,0.4912,0.4912
334.0,0.0,0.5283,0.5283
335.0,0.0,0.5248,0.5248
336.0,0.0,0.5124,0.5124
337.0,0.0,0.4875,0.4875
338.0,0.0,0.4742,0.4742
339.0,0.0,0.4727,0.4727
340.0,0.0,0.4835,0.4835
341.0,0.0,0.4751,0.4751
342.0,0.0,0.4593,0.4593
343.0,0.0,0.4488,0.4488
344.0,0.0,0.4665,0.4665
345.0,0.0,0.4608,0.4608
346.0,0.0,0.4463,0.4463
347.0,0.0,0.4448,0.4448
348.0,0.0,0.4455,0.4455
349.0,0.0,0.4459,0.4459
350.0,0.0,0.4461,0.4461
351.0,0.0,0.4521,0.4521
352.0,0.0,0.4475,0.4475
353.0,0.0,0.4432,0.4432
354.0,0.0,0.4405,0.4405
355.0,0.0,0.4368,0.4368
356.0,0.0,0.424,0.424
357.0,0.0,0.4276,0.4276
358.0,0.0,0.4338,0.4338
359.0,0.0,0.4322,0.4322
360.0,0.0,0.4431,0.4431
361.0,0.0,0.4504,0.4504
362.0,0.0,0.4318,0.4318
363.0,0.0,0.4351,0.4351
364.0,0.0,0.4335,0.4335
365.0,0.0,0.4236,0.4236
366.0,0.0,0.4219,0.4219
367.0,0.0,0.406,0.406
368.0,0.0,0.4346,0.4346
369.0,0.0,0.44,0.44
370.0,0.0,0.4956,0.4956
371.0,0.0,0.4843,0.4843
372.0,0.0,0.4524,0.4524
373.0,0.0,0.4689,0.4689
374.0,0.0,0.4629,0.4629
375.0,0.0,0.4527,0.4527
376.0,0.0,0.4347,0.4347
377.0,0.0,0.4244,0.4244
378.0,0.0,0.4363,0.4363
379.0,0.0,0.4495,0.4495
380.0,0.0,0.4819,0.4819
381.0,0.0,0.4505,0.4505
382.0,0.0,0.4502,0.4502
383.0,0.0,0.4551,0.4551
384.0,0.0,0.4607,0.4607
385.0,0.0,0.4438,0.4438
386.0,0.0,0.4228,0.4228
387.0,0.0,0.4292,0.4292
388.0,0.0,0.4319,0.4319
389.0,0.0,0.4324,0.4324
390.0,0.0,0.4527,0.4527
391.0,0.0,0.4731,0.4731
392.0,0.0,0.434,0.434
393.0,0.0,0.4599,0.4599
394.0,0.0,0.4499,0.4499
395.0,0.0,0.4494,0.4494
396.0,0.0,0.4446,0.4446
397.0,0.0,0.4212,0.4212
398.0,0.0,0.4146,0.4146
399.0,0.0,0.4365,0.4365
400.0,0.0,0.4266,0.4266
401.0,0.0,0.4587,0.4587
402.0,0.0,0.4368,0.4368
403.0,0.0,0.4171,0.4171
404.0,0.0,0.4365,0.4365
405.0,0.0,0.4291,0.4291
406.0,0.0,0.4168,0.4168
407.0,0.0,0.4196,0.4196
408.0,0.0,0.3993,0.3993
409.0,0.0,0.4054,0.4054
410.0,0.0,0.4168,0.4168
411.0,0.0,0.4247,0.4247
412.0,0.0,0.4644,0.4644
413.0,0.0,0.4427,0.4427
414.0,0.0,0.4247,0.4247
415.0,0.0,0.4248,0.4248
416.0,0.0,0.4402,0.4402
417.0,0.0,0.4353,0.4353
418.0,0.0,0.4043,0.4043
419.0,0.0,0.3994,0.3994
420.0,0.0,0.4011,0.4011
421.0,0.0,0.4132,0.4132
422.0,0.0,0.4106,0.4106
423.0,0.0,0.4191,0.4191
424.0,0.0,0.4134,0.4134
425.0,0.0,0.4018,0.4018
426.0,0.0,0.4139,0.4139
427.0,0.0,0.4224,0.4224
428.0,0.0,0.4019,0.4019
429.0,0.0,0.3963,0.3963
430.0,0.0,0.3874,0.3874
431.0,0.0,0.3956,0.3956
432.0,0.0,0.416,0.416
433.0,0.0,0.4523,0.4523
434.0,0.0,0.4599,0.4599
435.0,0.0,0.408,0.408
436.0,0.0,0.4349,0.4349
437.0,0.0,0.4403,0.4403
438.0,0.0,0.4259,0.4259
439.0,0.0,0.4103,0.4103
440.0,0.0,0.4028,0.4028
441.0,0.0,0.3929,0.3929
442.0,0.0,0.4082,0.4082
443.0,0.0,0.4291,0.4291
444.0,0.0,0.4586,0.4586
445.0,0.0,0.4397,0.4397
446.0,0.0,0.4134,0.4134
447.0,0.0,0.4291,0.4291
448.0,0.0,0.4246,0.4246
449.0,0.0,0.423,0.423
450.0,0.0,0.4037,0.4037
451.0,0.0,0.3972,0.3972
452.0,0.0,0.3954,0.3954
453.0,0.0,0.4098,0.4098
454.0,0.0,0.4097,0.4097
455.0,0.0,0.4308,0.4308
456.0,0.0,0.4183,0.4183
457.0,0.0,0.3982,0.3982
458.0,0.0,0.4066,0.4066
