Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.0969
Done: 20000 / 200000. Loss: 0.0844
Done: 30000 / 200000. Loss: 0.0807
Done: 40000 / 200000. Loss: 0.0723
Done: 50000 / 200000. Loss: 0.0739
Done: 60000 / 200000. Loss: 0.0702
Done: 70000 / 200000. Loss: 0.0713
Done: 80000 / 200000. Loss: 0.0669
Done: 90000 / 200000. Loss: 0.0646
Done: 100000 / 200000. Loss: 0.0658
Done: 110000 / 200000. Loss: 0.0621
Done: 120000 / 200000. Loss: 0.0593
Done: 130000 / 200000. Loss: 0.0579
Done: 140000 / 200000. Loss: 0.0594
Done: 150000 / 200000. Loss: 0.0576
Done: 160000 / 200000. Loss: 0.0571
Done: 170000 / 200000. Loss: 0.0555
Done: 180000 / 200000. Loss: 0.0565
Done: 190000 / 200000. Loss: 0.0564
Done: 200000 / 200000. Loss: 0.0548
