Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.1647
Done: 20000 / 200000. Loss: 0.1483
Done: 30000 / 200000. Loss: 0.1427
Done: 40000 / 200000. Loss: 0.144
Done: 50000 / 200000. Loss: 0.1469
Done: 60000 / 200000. Loss: 0.1428
Done: 70000 / 200000. Loss: 0.1438
Done: 80000 / 200000. Loss: 0.1422
Done: 90000 / 200000. Loss: 0.1309
Done: 100000 / 200000. Loss: 0.1273
Done: 110000 / 200000. Loss: 0.137
Done: 120000 / 200000. Loss: 0.1344
Done: 130000 / 200000. Loss: 0.1317
Done: 140000 / 200000. Loss: 0.1351
Done: 150000 / 200000. Loss: 0.1363
Done: 160000 / 200000. Loss: 0.1356
Done: 170000 / 200000. Loss: 0.1329
Done: 180000 / 200000. Loss: 0.1319
Done: 190000 / 200000. Loss: 0.1291
Done: 200000 / 200000. Loss: 0.1257
