Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.1549
Done: 20000 / 200000. Loss: 0.1571
Done: 30000 / 200000. Loss: 0.1462
Done: 40000 / 200000. Loss: 0.1452
Done: 50000 / 200000. Loss: 0.1433
Done: 60000 / 200000. Loss: 0.1405
Done: 70000 / 200000. Loss: 0.0779
Done: 80000 / 200000. Loss: 0.072
Done: 90000 / 200000. Loss: 0.0696
Done: 100000 / 200000. Loss: 0.0667
Done: 110000 / 200000. Loss: 0.0684
Done: 120000 / 200000. Loss: 0.0673
Done: 130000 / 200000. Loss: 0.0671
Done: 140000 / 200000. Loss: 0.0626
Done: 150000 / 200000. Loss: 0.0605
Done: 160000 / 200000. Loss: 0.0587
Done: 170000 / 200000. Loss: 0.058
Done: 180000 / 200000. Loss: 0.0573
Done: 190000 / 200000. Loss: 0.056
Done: 200000 / 200000. Loss: 0.0559
