step,mloss,gloss,loss
1.0,0.0,0.9982,0.9982
2.0,0.0,0.9055,0.9055
3.0,0.0,3.652,3.652
4.0,0.0,0.9119,0.9119
5.0,0.0,0.8107,0.8107
6.0,0.0,0.782,0.782
7.0,0.0,0.8213,0.8213
8.0,0.0,0.7816,0.7816
9.0,0.0,0.6813,0.6813
10.0,0.0,0.9044,0.9044
11.0,0.0,0.6854,0.6854
12.0,0.0,0.615,0.615
13.0,0.0,0.6187,0.6187
14.0,0.0,0.6129,0.6129
15.0,0.0,0.5804,0.5804
16.0,0.0,0.5809,0.5809
17.0,0.0,0.565,0.565
18.0,0.0,0.5283,0.5283
19.0,0.0,0.5198,0.5198
20.0,0.0,0.5141,0.5141
21.0,0.0,0.4917,0.4917
22.0,0.0,0.4887,0.4887
23.0,0.0,0.4761,0.4761
24.0,0.0,0.4814,0.4814
25.0,0.0,0.4808,0.4808
26.0,0.0,0.4415,0.4415
27.0,0.0,0.4528,0.4528
28.0,0.0,0.4435,0.4435
29.0,0.0,0.45,0.45
30.0,0.0,0.4354,0.4354
31.0,0.0,0.4378,0.4378
32.0,0.0,0.4272,0.4272
33.0,0.0,0.424,0.424
34.0,0.0,0.4111,0.4111
35.0,0.0,0.4222,0.4222
36.0,0.0,0.4205,0.4205
37.0,0.0,0.4047,0.4047
38.0,0.0,0.4151,0.4151
39.0,0.0,0.4097,0.4097
40.0,0.0,0.3987,0.3987
41.0,0.0,0.4103,0.4103
42.0,0.0,0.3903,0.3903
43.0,0.0,0.407,0.407
44.0,0.0,0.3989,0.3989
45.0,0.0,0.4206,0.4206
46.0,0.0,0.3935,0.3935
47.0,0.0,0.3931,0.3931
48.0,0.0,0.3876,0.3876
49.0,0.0,0.3882,0.3882
50.0,0.0,0.3994,0.3994
51.0,0.0,0.3838,0.3838
52.0,0.0,0.3913,0.3913
53.0,0.0,0.3892,0.3892
54.0,0.0,0.3853,0.3853
55.0,0.0,0.3951,0.3951
56.0,0.0,0.3791,0.3791
57.0,0.0,0.3752,0.3752
58.0,0.0,0.3813,0.3813
59.0,0.0,0.3803,0.3803
60.0,0.0,0.3726,0.3726
61.0,0.0,0.3891,0.3891
62.0,0.0,0.382,0.382
63.0,0.0,0.387,0.387
64.0,0.0,0.3839,0.3839
65.0,0.0,0.3668,0.3668
66.0,0.0,0.3786,0.3786
67.0,0.0,0.3792,0.3792
68.0,0.0,0.3868,0.3868
69.0,0.0,0.3869,0.3869
70.0,0.0,0.3744,0.3744
71.0,0.0,0.3799,0.3799
72.0,0.0,0.3805,0.3805
73.0,0.0,0.3666,0.3666
74.0,0.0,0.3685,0.3685
75.0,0.0,0.3707,0.3707
76.0,0.0,0.3697,0.3697
77.0,0.0,0.3703,0.3703
78.0,0.0,0.3637,0.3637
79.0,0.0,0.37,0.37
80.0,0.0,0.3907,0.3907
81.0,0.0,0.3809,0.3809
82.0,0.0,0.3728,0.3728
83.0,0.0,0.3768,0.3768
84.0,0.0,0.3709,0.3709
85.0,0.0,0.3917,0.3917
86.0,0.0,0.3784,0.3784
87.0,0.0,0.3782,0.3782
88.0,0.0,0.3773,0.3773
89.0,0.0,0.3726,0.3726
90.0,0.0,0.3529,0.3529
91.0,0.0,0.3819,0.3819
92.0,0.0,0.3703,0.3703
93.0,0.0,0.3612,0.3612
94.0,0.0,0.3775,0.3775
95.0,0.0,0.3527,0.3527
96.0,0.0,0.3754,0.3754
97.0,0.0,0.3766,0.3766
98.0,0.0,0.3764,0.3764
99.0,0.0,0.3645,0.3645
100.0,0.0,0.3749,0.3749
101.0,0.0,0.3625,0.3625
102.0,0.0,0.3586,0.3586
103.0,0.0,0.3649,0.3649
104.0,0.0,0.3629,0.3629
105.0,0.0,0.374,0.374
106.0,0.0,0.3677,0.3677
107.0,0.0,0.3599,0.3599
108.0,0.0,0.3737,0.3737
109.0,0.0,0.3657,0.3657
110.0,0.0,0.3661,0.3661
111.0,0.0,0.3611,0.3611
112.0,0.0,0.3644,0.3644
113.0,0.0,0.3641,0.3641
114.0,0.0,0.3629,0.3629
115.0,0.0,0.3618,0.3618
116.0,0.0,0.354,0.354
117.0,0.0,0.3597,0.3597
118.0,0.0,0.3515,0.3515
119.0,0.0,0.3646,0.3646
120.0,0.0,0.3594,0.3594
121.0,0.0,0.3628,0.3628
122.0,0.0,0.3668,0.3668
123.0,0.0,0.3729,0.3729
124.0,0.0,0.365,0.365
125.0,0.0,0.3615,0.3615
126.0,0.0,0.3705,0.3705
127.0,0.0,0.362,0.362
128.0,0.0,0.3618,0.3618
129.0,0.0,0.3622,0.3622
130.0,0.0,0.3436,0.3436
131.0,0.0,0.365,0.365
132.0,0.0,0.3681,0.3681
133.0,0.0,0.3729,0.3729
134.0,0.0,0.3593,0.3593
135.0,0.0,0.3657,0.3657
136.0,0.0,0.3753,0.3753
137.0,0.0,0.3647,0.3647
138.0,0.0,0.3616,0.3616
139.0,0.0,0.3632,0.3632
140.0,0.0,0.3568,0.3568
141.0,0.0,0.3554,0.3554
142.0,0.0,0.3568,0.3568
143.0,0.0,0.3584,0.3584
144.0,0.0,0.3555,0.3555
145.0,0.0,0.3454,0.3454
146.0,0.0,0.3604,0.3604
147.0,0.0,0.3629,0.3629
148.0,0.0,0.3683,0.3683
149.0,0.0,0.3668,0.3668
150.0,0.0,0.3561,0.3561
151.0,0.0,0.3557,0.3557
152.0,0.0,0.3541,0.3541
153.0,0.0,0.3696,0.3696
154.0,0.0,0.3568,0.3568
155.0,0.0,0.3782,0.3782
156.0,0.0,0.3536,0.3536
157.0,0.0,0.3622,0.3622
158.0,0.0,0.359,0.359
159.0,0.0,0.3581,0.3581
160.0,0.0,0.3665,0.3665
161.0,0.0,0.3551,0.3551
162.0,0.0,0.3548,0.3548
163.0,0.0,0.3563,0.3563
164.0,0.0,0.3523,0.3523
165.0,0.0,0.3599,0.3599
166.0,0.0,0.3589,0.3589
167.0,0.0,0.3545,0.3545
168.0,0.0,0.3555,0.3555
169.0,0.0,0.3577,0.3577
170.0,0.0,0.3713,0.3713
171.0,0.0,0.3511,0.3511
172.0,0.0,0.3594,0.3594
173.0,0.0,0.3493,0.3493
174.0,0.0,0.3464,0.3464
175.0,0.0,0.3569,0.3569
176.0,0.0,0.3593,0.3593
177.0,0.0,0.3568,0.3568
178.0,0.0,0.3687,0.3687
179.0,0.0,0.3622,0.3622
180.0,0.0,0.3444,0.3444
181.0,0.0,0.3479,0.3479
182.0,0.0,0.3567,0.3567
183.0,0.0,0.3509,0.3509
184.0,0.0,0.3522,0.3522
185.0,0.0,0.3481,0.3481
186.0,0.0,0.3543,0.3543
187.0,0.0,0.3604,0.3604
188.0,0.0,0.3476,0.3476
189.0,0.0,0.3628,0.3628
190.0,0.0,0.3504,0.3504
191.0,0.0,0.3563,0.3563
192.0,0.0,0.3507,0.3507
193.0,0.0,0.3574,0.3574
194.0,0.0,0.3438,0.3438
195.0,0.0,0.375,0.375
196.0,0.0,0.3538,0.3538
197.0,0.0,0.3483,0.3483
198.0,0.0,0.3472,0.3472
199.0,0.0,0.3464,0.3464
200.0,0.0,0.3508,0.3508
201.0,0.0,0.3537,0.3537
202.0,0.0,0.3582,0.3582
203.0,0.0,0.351,0.351
204.0,0.0,0.3566,0.3566
205.0,0.0,0.3478,0.3478
206.0,0.0,0.3545,0.3545
207.0,0.0,0.3603,0.3603
208.0,0.0,0.3549,0.3549
209.0,0.0,0.351,0.351
210.0,0.0,0.3526,0.3526
211.0,0.0,0.3501,0.3501
212.0,0.0,0.3533,0.3533
213.0,0.0,0.3584,0.3584
214.0,0.0,0.3549,0.3549
215.0,0.0,0.3313,0.3313
216.0,0.0,0.3549,0.3549
217.0,0.0,0.3474,0.3474
218.0,0.0,0.3504,0.3504
219.0,0.0,0.3652,0.3652
220.0,0.0,0.3334,0.3334
221.0,0.0,0.3593,0.3593
222.0,0.0,0.3585,0.3585
223.0,0.0,0.3607,0.3607
224.0,0.0,0.3613,0.3613
225.0,0.0,0.3603,0.3603
226.0,0.0,0.3524,0.3524
227.0,0.0,0.3602,0.3602
228.0,0.0,0.3584,0.3584
229.0,0.0,0.3502,0.3502
230.0,0.0,0.348,0.348
231.0,0.0,0.3504,0.3504
232.0,0.0,0.353,0.353
233.0,0.0,0.3484,0.3484
234.0,0.0,0.3473,0.3473
235.0,0.0,0.338,0.338
236.0,0.0,0.3509,0.3509
237.0,0.0,0.3478,0.3478
238.0,0.0,0.3444,0.3444
239.0,0.0,0.3588,0.3588
240.0,0.0,0.344,0.344
241.0,0.0,0.3615,0.3615
242.0,0.0,0.3655,0.3655
243.0,0.0,0.3465,0.3465
244.0,0.0,0.3472,0.3472
245.0,0.0,0.3618,0.3618
246.0,0.0,0.35,0.35
247.0,0.0,0.353,0.353
248.0,0.0,0.348,0.348
249.0,0.0,0.35,0.35
250.0,0.0,0.3483,0.3483
251.0,0.0,0.3555,0.3555
252.0,0.0,0.3503,0.3503
253.0,0.0,0.3499,0.3499
254.0,0.0,0.3504,0.3504
255.0,0.0,0.3401,0.3401
256.0,0.0,0.3489,0.3489
257.0,0.0,0.3503,0.3503
258.0,0.0,0.3504,0.3504
259.0,0.0,0.356,0.356
260.0,0.0,0.351,0.351
261.0,0.0,0.3517,0.3517
262.0,0.0,0.3441,0.3441
263.0,0.0,0.3548,0.3548
264.0,0.0,0.3529,0.3529
265.0,0.0,0.3234,0.3234
266.0,0.0,0.3568,0.3568
267.0,0.0,0.3573,0.3573
268.0,0.0,0.35,0.35
269.0,0.0,0.3522,0.3522
270.0,0.0,0.3368,0.3368
271.0,0.0,0.3447,0.3447
272.0,0.0,0.3555,0.3555
273.0,0.0,0.3539,0.3539
274.0,0.0,0.3491,0.3491
275.0,0.0,0.3334,0.3334
276.0,0.0,0.3512,0.3512
277.0,0.0,0.3574,0.3574
278.0,0.0,0.3487,0.3487
279.0,0.0,0.3533,0.3533
280.0,0.0,0.3514,0.3514
281.0,0.0,0.3438,0.3438
282.0,0.0,0.3514,0.3514
283.0,0.0,0.361,0.361
284.0,0.0,0.3502,0.3502
285.0,0.0,0.3445,0.3445
286.0,0.0,0.346,0.346
287.0,0.0,0.3491,0.3491
288.0,0.0,0.3515,0.3515
289.0,0.0,0.3456,0.3456
290.0,0.0,0.3396,0.3396
291.0,0.0,0.3537,0.3537
