step,mloss,gloss,loss
1.0,0.0,1.0023,1.0023
2.0,0.0,0.9397,0.9397
3.0,0.0,1.6831,1.6831
4.0,0.0,0.924,0.924
5.0,0.0,0.7601,0.7601
6.0,0.0,1.2492,1.2492
7.0,0.0,5.1196,5.1196
8.0,0.0,0.8847,0.8847
9.0,0.0,0.8687,0.8687
10.0,0.0,0.7657,0.7657
11.0,0.0,0.7563,0.7563
12.0,0.0,0.7989,0.7989
13.0,0.0,0.6691,0.6691
14.0,0.0,0.6523,0.6523
15.0,0.0,0.625,0.625
16.0,0.0,0.5946,0.5946
17.0,0.0,0.6018,0.6018
18.0,0.0,0.5964,0.5964
19.0,0.0,0.5942,0.5942
20.0,0.0,0.5666,0.5666
21.0,0.0,0.5666,0.5666
22.0,0.0,0.5647,0.5647
23.0,0.0,0.5503,0.5503
24.0,0.0,0.5522,0.5522
25.0,0.0,0.5653,0.5653
26.0,0.0,0.5452,0.5452
27.0,0.0,0.5291,0.5291
28.0,0.0,0.5142,0.5142
29.0,0.0,0.4928,0.4928
30.0,0.0,0.4936,0.4936
31.0,0.0,0.4833,0.4833
32.0,0.0,0.4643,0.4643
33.0,0.0,0.4605,0.4605
34.0,0.0,0.4617,0.4617
35.0,0.0,0.4668,0.4668
36.0,0.0,0.4519,0.4519
37.0,0.0,0.4512,0.4512
38.0,0.0,0.4419,0.4419
39.0,0.0,0.45,0.45
40.0,0.0,0.4733,0.4733
41.0,0.0,0.449,0.449
42.0,0.0,0.4397,0.4397
43.0,0.0,0.4457,0.4457
44.0,0.0,0.4416,0.4416
45.0,0.0,0.457,0.457
46.0,0.0,0.4373,0.4373
47.0,0.0,0.4429,0.4429
48.0,0.0,0.4309,0.4309
49.0,0.0,0.4281,0.4281
50.0,0.0,0.4463,0.4463
51.0,0.0,0.446,0.446
52.0,0.0,0.4279,0.4279
53.0,0.0,0.434,0.434
54.0,0.0,0.4213,0.4213
55.0,0.0,0.4256,0.4256
56.0,0.0,0.4395,0.4395
57.0,0.0,0.4196,0.4196
58.0,0.0,0.4237,0.4237
59.0,0.0,0.4251,0.4251
60.0,0.0,0.4248,0.4248
61.0,0.0,0.4277,0.4277
62.0,0.0,0.4321,0.4321
63.0,0.0,0.4172,0.4172
64.0,0.0,0.4186,0.4186
65.0,0.0,0.4145,0.4145
66.0,0.0,0.4165,0.4165
67.0,0.0,0.4189,0.4189
68.0,0.0,0.4284,0.4284
69.0,0.0,0.4196,0.4196
70.0,0.0,0.4126,0.4126
71.0,0.0,0.4089,0.4089
72.0,0.0,0.4103,0.4103
73.0,0.0,0.412,0.412
74.0,0.0,0.412,0.412
75.0,0.0,0.425,0.425
76.0,0.0,0.4195,0.4195
77.0,0.0,0.4081,0.4081
78.0,0.0,0.413,0.413
79.0,0.0,0.4096,0.4096
80.0,0.0,0.4061,0.4061
81.0,0.0,0.4204,0.4204
82.0,0.0,0.4139,0.4139
83.0,0.0,0.4032,0.4032
84.0,0.0,0.4076,0.4076
85.0,0.0,0.4158,0.4158
86.0,0.0,0.4159,0.4159
87.0,0.0,0.4157,0.4157
88.0,0.0,0.4235,0.4235
89.0,0.0,0.4158,0.4158
90.0,0.0,0.4151,0.4151
91.0,0.0,0.4128,0.4128
92.0,0.0,0.4109,0.4109
93.0,0.0,0.424,0.424
94.0,0.0,0.419,0.419
95.0,0.0,0.4024,0.4024
96.0,0.0,0.4144,0.4144
97.0,0.0,0.419,0.419
98.0,0.0,0.4134,0.4134
