Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.3159
Done: 20000 / 200000. Loss: 0.3195
Done: 30000 / 200000. Loss: 0.3052
Done: 40000 / 200000. Loss: 0.3062
Done: 50000 / 200000. Loss: 0.3056
Done: 60000 / 200000. Loss: 0.3035
Done: 70000 / 200000. Loss: 0.2963
Done: 80000 / 200000. Loss: 0.2655
Done: 90000 / 200000. Loss: 0.2837
Done: 100000 / 200000. Loss: 0.3118
Done: 110000 / 200000. Loss: 0.2914
Done: 120000 / 200000. Loss: 0.2816
Done: 130000 / 200000. Loss: 0.2652
Done: 140000 / 200000. Loss: 0.2897
Done: 150000 / 200000. Loss: 0.2898
Done: 160000 / 200000. Loss: 0.2866
Done: 170000 / 200000. Loss: 0.2747
Done: 180000 / 200000. Loss: 0.2741
Done: 190000 / 200000. Loss: 0.2629
Done: 200000 / 200000. Loss: 0.2683
