Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.3259
Done: 20000 / 200000. Loss: 0.3034
Done: 30000 / 200000. Loss: 0.3044
Done: 40000 / 200000. Loss: 0.3302
Done: 50000 / 200000. Loss: 0.3032
Done: 60000 / 200000. Loss: 0.2986
Done: 70000 / 200000. Loss: 0.3131
Done: 80000 / 200000. Loss: 0.2937
Done: 90000 / 200000. Loss: 0.3041
Done: 100000 / 200000. Loss: 0.2991
Done: 110000 / 200000. Loss: 0.293
Done: 120000 / 200000. Loss: 0.2824
Done: 130000 / 200000. Loss: 0.2833
Done: 140000 / 200000. Loss: 0.2809
Done: 150000 / 200000. Loss: 0.2913
Done: 160000 / 200000. Loss: 0.2881
Done: 170000 / 200000. Loss: 0.2795
Done: 180000 / 200000. Loss: 0.2828
Done: 190000 / 200000. Loss: 0.2933
Done: 200000 / 200000. Loss: 0.2975
