Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.4535
Done: 20000 / 200000. Loss: 0.4364
Done: 30000 / 200000. Loss: 0.4167
Done: 40000 / 200000. Loss: 0.4535
Done: 50000 / 200000. Loss: 0.4707
Done: 60000 / 200000. Loss: 0.4825
Done: 70000 / 200000. Loss: 0.3376
Done: 80000 / 200000. Loss: 0.3347
Done: 90000 / 200000. Loss: 0.3519
Done: 100000 / 200000. Loss: 0.3248
Done: 110000 / 200000. Loss: 0.3421
Done: 120000 / 200000. Loss: 0.3335
Done: 130000 / 200000. Loss: 0.3427
Done: 140000 / 200000. Loss: 0.3163
Done: 150000 / 200000. Loss: 0.337
Done: 160000 / 200000. Loss: 0.3086
Done: 170000 / 200000. Loss: 0.3278
Done: 180000 / 200000. Loss: 0.3176
Done: 190000 / 200000. Loss: 0.3181
Done: 200000 / 200000. Loss: 0.3255
