step,mloss,gloss,loss
1.0,0.0,0.9991,0.9991
2.0,0.0,1.0632,1.0632
3.0,0.0,1.0004,1.0004
4.0,0.0,0.9967,0.9967
5.0,0.0,0.9952,0.9952
6.0,0.0,0.9951,0.9951
7.0,0.0,0.9972,0.9972
8.0,0.0,1.0038,1.0038
9.0,0.0,0.9968,0.9968
10.0,0.0,0.9948,0.9948
11.0,0.0,1.0057,1.0057
12.0,0.0,0.9926,0.9926
13.0,0.0,0.9915,0.9915
14.0,0.0,0.9929,0.9929
15.0,0.0,0.9907,0.9907
16.0,0.0,0.9824,0.9824
17.0,0.0,0.9883,0.9883
18.0,0.0,0.9988,0.9988
19.0,0.0,0.9886,0.9886
20.0,0.0,0.9835,0.9835
21.0,0.0,0.9862,0.9862
22.0,0.0,0.9725,0.9725
23.0,0.0,0.9606,0.9606
24.0,0.0,0.9693,0.9693
25.0,0.0,0.9604,0.9604
26.0,0.0,0.9584,0.9584
27.0,0.0,0.9469,0.9469
28.0,0.0,0.9463,0.9463
29.0,0.0,0.9337,0.9337
30.0,0.0,0.9255,0.9255
31.0,0.0,0.9623,0.9623
32.0,0.0,0.9547,0.9547
33.0,0.0,0.9357,0.9357
34.0,0.0,0.9376,0.9376
35.0,0.0,0.938,0.938
36.0,0.0,0.9279,0.9279
37.0,0.0,0.9115,0.9115
38.0,0.0,0.8973,0.8973
39.0,0.0,0.9035,0.9035
40.0,0.0,0.9087,0.9087
41.0,0.0,0.895,0.895
42.0,0.0,0.8967,0.8967
43.0,0.0,0.8917,0.8917
44.0,0.0,0.8742,0.8742
45.0,0.0,0.8676,0.8676
46.0,0.0,0.8686,0.8686
47.0,0.0,0.8566,0.8566
48.0,0.0,0.8431,0.8431
49.0,0.0,0.8305,0.8305
50.0,0.0,0.8263,0.8263
51.0,0.0,0.8223,0.8223
52.0,0.0,0.8151,0.8151
53.0,0.0,0.8246,0.8246
54.0,0.0,0.8195,0.8195
55.0,0.0,0.8158,0.8158
56.0,0.0,0.8002,0.8002
57.0,0.0,0.7977,0.7977
58.0,0.0,0.7902,0.7902
59.0,0.0,0.779,0.779
60.0,0.0,0.7871,0.7871
61.0,0.0,0.792,0.792
62.0,0.0,0.782,0.782
63.0,0.0,0.7812,0.7812
64.0,0.0,0.7555,0.7555
65.0,0.0,0.7597,0.7597
66.0,0.0,0.7512,0.7512
67.0,0.0,0.7474,0.7474
68.0,0.0,0.7444,0.7444
69.0,0.0,0.7382,0.7382
70.0,0.0,0.7253,0.7253
71.0,0.0,0.7112,0.7112
72.0,0.0,0.7163,0.7163
73.0,0.0,0.7027,0.7027
74.0,0.0,0.7025,0.7025
75.0,0.0,0.697,0.697
76.0,0.0,0.6875,0.6875
77.0,0.0,0.6801,0.6801
78.0,0.0,0.6707,0.6707
79.0,0.0,0.6678,0.6678
80.0,0.0,0.6691,0.6691
81.0,0.0,0.6709,0.6709
82.0,0.0,0.6717,0.6717
83.0,0.0,0.6634,0.6634
84.0,0.0,0.6386,0.6386
85.0,0.0,0.6486,0.6486
86.0,0.0,0.6412,0.6412
87.0,0.0,0.6748,0.6748
88.0,0.0,0.6732,0.6732
89.0,0.0,0.6537,0.6537
90.0,0.0,0.6614,0.6614
91.0,0.0,0.6442,0.6442
92.0,0.0,0.6143,0.6143
93.0,0.0,0.6308,0.6308
94.0,0.0,0.6467,0.6467
95.0,0.0,0.6414,0.6414
96.0,0.0,0.6326,0.6326
97.0,0.0,0.6378,0.6378
98.0,0.0,0.6254,0.6254
99.0,0.0,0.5983,0.5983
100.0,0.0,0.5944,0.5944
101.0,0.0,0.6036,0.6036
102.0,0.0,0.5965,0.5965
103.0,0.0,0.5869,0.5869
104.0,0.0,0.5876,0.5876
105.0,0.0,0.5758,0.5758
106.0,0.0,0.5634,0.5634
107.0,0.0,0.5592,0.5592
108.0,0.0,0.5594,0.5594
109.0,0.0,0.595,0.595
110.0,0.0,0.5806,0.5806
111.0,0.0,0.5605,0.5605
112.0,0.0,0.5548,0.5548
113.0,0.0,0.5483,0.5483
114.0,0.0,0.5355,0.5355
115.0,0.0,0.5316,0.5316
116.0,0.0,0.5647,0.5647
117.0,0.0,0.5652,0.5652
118.0,0.0,0.5324,0.5324
119.0,0.0,0.5458,0.5458
120.0,0.0,0.5182,0.5182
121.0,0.0,0.5106,0.5106
122.0,0.0,0.516,0.516
123.0,0.0,0.5166,0.5166
124.0,0.0,0.5291,0.5291
125.0,0.0,0.5176,0.5176
126.0,0.0,0.5088,0.5088
127.0,0.0,0.498,0.498
128.0,0.0,0.4898,0.4898
129.0,0.0,0.4853,0.4853
130.0,0.0,0.4994,0.4994
131.0,0.0,0.5075,0.5075
132.0,0.0,0.4964,0.4964
133.0,0.0,0.4945,0.4945
134.0,0.0,0.4708,0.4708
135.0,0.0,0.4728,0.4728
136.0,0.0,0.4583,0.4583
137.0,0.0,0.4715,0.4715
138.0,0.0,0.5021,0.5021
139.0,0.0,0.4934,0.4934
140.0,0.0,0.4778,0.4778
141.0,0.0,0.4627,0.4627
142.0,0.0,0.4618,0.4618
143.0,0.0,0.4466,0.4466
144.0,0.0,0.4585,0.4585
145.0,0.0,0.479,0.479
146.0,0.0,0.475,0.475
147.0,0.0,0.4696,0.4696
148.0,0.0,0.4542,0.4542
149.0,0.0,0.4419,0.4419
150.0,0.0,0.4234,0.4234
151.0,0.0,0.4454,0.4454
152.0,0.0,0.4493,0.4493
153.0,0.0,0.4512,0.4512
154.0,0.0,0.4455,0.4455
155.0,0.0,0.4304,0.4304
156.0,0.0,0.4223,0.4223
157.0,0.0,0.4168,0.4168
158.0,0.0,0.4122,0.4122
159.0,0.0,0.4269,0.4269
160.0,0.0,0.4388,0.4388
161.0,0.0,0.4162,0.4162
162.0,0.0,0.4115,0.4115
163.0,0.0,0.4004,0.4004
164.0,0.0,0.3914,0.3914
165.0,0.0,0.3952,0.3952
166.0,0.0,0.3982,0.3982
167.0,0.0,0.4045,0.4045
168.0,0.0,0.4054,0.4054
169.0,0.0,0.3907,0.3907
170.0,0.0,0.3876,0.3876
171.0,0.0,0.3771,0.3771
172.0,0.0,0.3697,0.3697
173.0,0.0,0.387,0.387
174.0,0.0,0.3813,0.3813
175.0,0.0,0.3882,0.3882
176.0,0.0,0.3713,0.3713
177.0,0.0,0.37,0.37
178.0,0.0,0.3575,0.3575
179.0,0.0,0.3551,0.3551
180.0,0.0,0.3553,0.3553
181.0,0.0,0.3621,0.3621
182.0,0.0,0.3714,0.3714
183.0,0.0,0.3528,0.3528
184.0,0.0,0.3543,0.3543
185.0,0.0,0.3383,0.3383
186.0,0.0,0.348,0.348
187.0,0.0,0.3542,0.3542
188.0,0.0,0.3728,0.3728
189.0,0.0,0.3563,0.3563
190.0,0.0,0.344,0.344
191.0,0.0,0.3421,0.3421
192.0,0.0,0.3386,0.3386
193.0,0.0,0.34,0.34
194.0,0.0,0.3341,0.3341
195.0,0.0,0.3502,0.3502
196.0,0.0,0.3376,0.3376
197.0,0.0,0.3331,0.3331
198.0,0.0,0.3312,0.3312
199.0,0.0,0.3183,0.3183
200.0,0.0,0.3306,0.3306
201.0,0.0,0.3332,0.3332
202.0,0.0,0.3414,0.3414
203.0,0.0,0.3285,0.3285
204.0,0.0,0.3276,0.3276
205.0,0.0,0.3191,0.3191
206.0,0.0,0.3192,0.3192
207.0,0.0,0.3219,0.3219
208.0,0.0,0.3253,0.3253
209.0,0.0,0.334,0.334
210.0,0.0,0.3215,0.3215
211.0,0.0,0.3178,0.3178
212.0,0.0,0.3038,0.3038
213.0,0.0,0.3085,0.3085
214.0,0.0,0.312,0.312
215.0,0.0,0.3312,0.3312
216.0,0.0,0.3386,0.3386
217.0,0.0,0.3148,0.3148
218.0,0.0,0.3174,0.3174
219.0,0.0,0.3061,0.3061
220.0,0.0,0.3051,0.3051
221.0,0.0,0.3109,0.3109
222.0,0.0,0.304,0.304
223.0,0.0,0.3091,0.3091
224.0,0.0,0.2962,0.2962
225.0,0.0,0.2957,0.2957
226.0,0.0,0.293,0.293
227.0,0.0,0.2885,0.2885
228.0,0.0,0.2977,0.2977
229.0,0.0,0.3012,0.3012
230.0,0.0,0.3042,0.3042
231.0,0.0,0.2837,0.2837
232.0,0.0,0.2854,0.2854
233.0,0.0,0.2868,0.2868
234.0,0.0,0.2931,0.2931
235.0,0.0,0.2923,0.2923
236.0,0.0,0.2946,0.2946
237.0,0.0,0.2844,0.2844
238.0,0.0,0.2841,0.2841
239.0,0.0,0.2733,0.2733
240.0,0.0,0.2761,0.2761
241.0,0.0,0.28,0.28
242.0,0.0,0.2938,0.2938
243.0,0.0,0.3027,0.3027
244.0,0.0,0.2806,0.2806
245.0,0.0,0.2807,0.2807
246.0,0.0,0.2713,0.2713
247.0,0.0,0.2829,0.2829
248.0,0.0,0.2872,0.2872
249.0,0.0,0.2887,0.2887
250.0,0.0,0.2841,0.2841
251.0,0.0,0.2746,0.2746
252.0,0.0,0.269,0.269
253.0,0.0,0.2739,0.2739
254.0,0.0,0.276,0.276
255.0,0.0,0.2802,0.2802
256.0,0.0,0.2766,0.2766
257.0,0.0,0.2717,0.2717
258.0,0.0,0.2649,0.2649
259.0,0.0,0.2584,0.2584
260.0,0.0,0.2745,0.2745
261.0,0.0,0.277,0.277
262.0,0.0,0.2845,0.2845
263.0,0.0,0.2792,0.2792
264.0,0.0,0.2701,0.2701
265.0,0.0,0.2697,0.2697
266.0,0.0,0.2723,0.2723
267.0,0.0,0.2718,0.2718
268.0,0.0,0.2702,0.2702
269.0,0.0,0.263,0.263
270.0,0.0,0.263,0.263
271.0,0.0,0.2598,0.2598
272.0,0.0,0.2539,0.2539
273.0,0.0,0.2572,0.2572
274.0,0.0,0.2577,0.2577
275.0,0.0,0.2564,0.2564
276.0,0.0,0.2575,0.2575
277.0,0.0,0.2596,0.2596
278.0,0.0,0.2478,0.2478
279.0,0.0,0.2564,0.2564
280.0,0.0,0.2646,0.2646
281.0,0.0,0.2828,0.2828
282.0,0.0,0.2806,0.2806
283.0,0.0,0.2692,0.2692
284.0,0.0,0.2614,0.2614
285.0,0.0,0.2663,0.2663
286.0,0.0,0.2578,0.2578
287.0,0.0,0.2608,0.2608
288.0,0.0,0.2579,0.2579
289.0,0.0,0.2524,0.2524
290.0,0.0,0.2552,0.2552
291.0,0.0,0.2499,0.2499
292.0,0.0,0.2547,0.2547
293.0,0.0,0.252,0.252
294.0,0.0,0.2538,0.2538
295.0,0.0,0.2561,0.2561
296.0,0.0,0.2488,0.2488
297.0,0.0,0.2436,0.2436
298.0,0.0,0.2473,0.2473
299.0,0.0,0.2488,0.2488
300.0,0.0,0.2478,0.2478
301.0,0.0,0.2535,0.2535
302.0,0.0,0.249,0.249
303.0,0.0,0.2413,0.2413
304.0,0.0,0.2418,0.2418
305.0,0.0,0.2499,0.2499
306.0,0.0,0.2603,0.2603
307.0,0.0,0.2697,0.2697
308.0,0.0,0.2574,0.2574
309.0,0.0,0.2511,0.2511
310.0,0.0,0.2467,0.2467
311.0,0.0,0.2484,0.2484
312.0,0.0,0.2486,0.2486
313.0,0.0,0.2546,0.2546
314.0,0.0,0.2537,0.2537
315.0,0.0,0.2515,0.2515
316.0,0.0,0.2418,0.2418
317.0,0.0,0.243,0.243
318.0,0.0,0.2411,0.2411
319.0,0.0,0.2455,0.2455
320.0,0.0,0.2492,0.2492
321.0,0.0,0.2381,0.2381
322.0,0.0,0.2364,0.2364
323.0,0.0,0.2363,0.2363
324.0,0.0,0.2398,0.2398
325.0,0.0,0.2462,0.2462
326.0,0.0,0.2586,0.2586
327.0,0.0,0.2569,0.2569
328.0,0.0,0.2417,0.2417
329.0,0.0,0.2332,0.2332
330.0,0.0,0.2391,0.2391
331.0,0.0,0.2422,0.2422
332.0,0.0,0.2375,0.2375
333.0,0.0,0.2301,0.2301
334.0,0.0,0.2342,0.2342
335.0,0.0,0.2341,0.2341
336.0,0.0,0.2283,0.2283
337.0,0.0,0.2329,0.2329
338.0,0.0,0.2356,0.2356
339.0,0.0,0.2531,0.2531
340.0,0.0,0.2354,0.2354
341.0,0.0,0.2313,0.2313
342.0,0.0,0.2349,0.2349
343.0,0.0,0.2307,0.2307
344.0,0.0,0.2336,0.2336
345.0,0.0,0.2332,0.2332
346.0,0.0,0.2304,0.2304
347.0,0.0,0.2246,0.2246
348.0,0.0,0.2245,0.2245
349.0,0.0,0.231,0.231
350.0,0.0,0.2376,0.2376
351.0,0.0,0.2539,0.2539
352.0,0.0,0.2438,0.2438
353.0,0.0,0.228,0.228
354.0,0.0,0.2296,0.2296
