step,mloss,gloss,loss
1.0,0.0,0.9978,0.9978
2.0,0.0,1.07,1.07
3.0,0.0,1.0073,1.0073
4.0,0.0,1.0007,1.0007
5.0,0.0,0.9942,0.9942
6.0,0.0,0.9957,0.9957
7.0,0.0,0.986,0.986
8.0,0.0,1.0239,1.0239
9.0,0.0,1.0015,1.0015
10.0,0.0,1.0013,1.0013
11.0,0.0,1.0001,1.0001
12.0,0.0,1.0009,1.0009
13.0,0.0,0.994,0.994
14.0,0.0,0.9964,0.9964
15.0,0.0,1.0155,1.0155
16.0,0.0,0.9932,0.9932
17.0,0.0,0.9973,0.9973
18.0,0.0,1.0026,1.0026
19.0,0.0,0.9962,0.9962
20.0,0.0,0.9958,0.9958
21.0,0.0,1.0035,1.0035
22.0,0.0,0.9979,0.9979
23.0,0.0,0.9991,0.9991
24.0,0.0,1.0028,1.0028
25.0,0.0,1.0017,1.0017
26.0,0.0,0.9923,0.9923
27.0,0.0,0.9922,0.9922
28.0,0.0,0.9952,0.9952
29.0,0.0,0.9905,0.9905
30.0,0.0,0.9848,0.9848
31.0,0.0,0.9872,0.9872
32.0,0.0,0.9964,0.9964
33.0,0.0,0.979,0.979
34.0,0.0,0.9807,0.9807
35.0,0.0,0.9735,0.9735
36.0,0.0,0.9743,0.9743
37.0,0.0,0.9702,0.9702
38.0,0.0,0.9588,0.9588
39.0,0.0,0.953,0.953
40.0,0.0,0.9862,0.9862
41.0,0.0,1.0026,1.0026
42.0,0.0,0.9844,0.9844
43.0,0.0,0.9749,0.9749
44.0,0.0,0.9739,0.9739
45.0,0.0,0.9713,0.9713
46.0,0.0,0.9655,0.9655
47.0,0.0,0.9621,0.9621
48.0,0.0,0.9499,0.9499
49.0,0.0,0.949,0.949
50.0,0.0,0.944,0.944
51.0,0.0,0.9387,0.9387
52.0,0.0,0.9436,0.9436
53.0,0.0,0.9373,0.9373
54.0,0.0,0.9313,0.9313
55.0,0.0,0.9276,0.9276
56.0,0.0,0.9142,0.9142
57.0,0.0,0.9103,0.9103
58.0,0.0,0.9074,0.9074
59.0,0.0,0.9,0.9
60.0,0.0,0.8996,0.8996
61.0,0.0,0.8973,0.8973
62.0,0.0,0.8892,0.8892
63.0,0.0,0.8761,0.8761
64.0,0.0,0.8852,0.8852
65.0,0.0,0.8701,0.8701
66.0,0.0,0.8678,0.8678
67.0,0.0,0.8617,0.8617
68.0,0.0,0.8652,0.8652
69.0,0.0,0.8587,0.8587
70.0,0.0,0.851,0.851
71.0,0.0,0.8495,0.8495
72.0,0.0,0.8396,0.8396
73.0,0.0,0.8346,0.8346
74.0,0.0,0.8349,0.8349
75.0,0.0,0.8484,0.8484
76.0,0.0,0.83,0.83
77.0,0.0,0.8302,0.8302
78.0,0.0,0.8221,0.8221
79.0,0.0,0.8115,0.8115
80.0,0.0,0.8193,0.8193
81.0,0.0,0.8064,0.8064
82.0,0.0,0.8002,0.8002
83.0,0.0,0.7985,0.7985
84.0,0.0,0.7873,0.7873
85.0,0.0,0.7793,0.7793
86.0,0.0,0.7868,0.7868
87.0,0.0,0.7837,0.7837
88.0,0.0,0.7787,0.7787
89.0,0.0,0.7745,0.7745
90.0,0.0,0.7625,0.7625
91.0,0.0,0.7559,0.7559
92.0,0.0,0.7534,0.7534
93.0,0.0,0.7818,0.7818
94.0,0.0,0.7903,0.7903
95.0,0.0,0.7723,0.7723
96.0,0.0,0.776,0.776
97.0,0.0,0.7575,0.7575
98.0,0.0,0.7422,0.7422
99.0,0.0,0.7541,0.7541
100.0,0.0,0.7367,0.7367
101.0,0.0,0.7575,0.7575
102.0,0.0,0.7496,0.7496
103.0,0.0,0.7431,0.7431
104.0,0.0,0.7419,0.7419
105.0,0.0,0.7324,0.7324
106.0,0.0,0.7155,0.7155
107.0,0.0,0.7138,0.7138
108.0,0.0,0.7167,0.7167
109.0,0.0,0.7215,0.7215
110.0,0.0,0.7035,0.7035
111.0,0.0,0.7119,0.7119
112.0,0.0,0.6953,0.6953
113.0,0.0,0.6928,0.6928
114.0,0.0,0.6767,0.6767
115.0,0.0,0.6766,0.6766
116.0,0.0,0.6911,0.6911
117.0,0.0,0.7106,0.7106
118.0,0.0,0.6848,0.6848
119.0,0.0,0.6959,0.6959
120.0,0.0,0.6839,0.6839
121.0,0.0,0.6638,0.6638
122.0,0.0,0.6607,0.6607
123.0,0.0,0.6641,0.6641
124.0,0.0,0.6552,0.6552
125.0,0.0,0.6605,0.6605
126.0,0.0,0.6527,0.6527
127.0,0.0,0.6467,0.6467
128.0,0.0,0.6478,0.6478
129.0,0.0,0.6279,0.6279
130.0,0.0,0.6241,0.6241
131.0,0.0,0.6247,0.6247
132.0,0.0,0.6443,0.6443
133.0,0.0,0.652,0.652
134.0,0.0,0.632,0.632
135.0,0.0,0.6395,0.6395
136.0,0.0,0.62,0.62
137.0,0.0,0.6117,0.6117
138.0,0.0,0.6094,0.6094
139.0,0.0,0.6004,0.6004
140.0,0.0,0.609,0.609
141.0,0.0,0.611,0.611
142.0,0.0,0.6018,0.6018
143.0,0.0,0.5978,0.5978
