step,mloss,gloss,loss
1.0,0.0,1.0043,1.0043
2.0,0.0,1.0727,1.0727
3.0,0.0,1.0031,1.0031
4.0,0.0,0.9988,0.9988
5.0,0.0,0.9908,0.9908
6.0,0.0,0.9914,0.9914
7.0,0.0,0.9907,0.9907
8.0,0.0,0.9911,0.9911
9.0,0.0,0.9829,0.9829
10.0,0.0,1.0074,1.0074
11.0,0.0,0.9977,0.9977
12.0,0.0,0.9881,0.9881
13.0,0.0,0.9871,0.9871
14.0,0.0,0.9817,0.9817
15.0,0.0,1.1137,1.1137
16.0,0.0,0.9929,0.9929
17.0,0.0,0.9962,0.9962
18.0,0.0,0.9918,0.9918
19.0,0.0,0.9897,0.9897
20.0,0.0,0.9889,0.9889
21.0,0.0,0.9852,0.9852
22.0,0.0,0.9759,0.9759
23.0,0.0,0.9701,0.9701
24.0,0.0,1.0202,1.0202
25.0,0.0,0.9743,0.9743
26.0,0.0,0.9801,0.9801
27.0,0.0,0.986,0.986
28.0,0.0,0.9752,0.9752
29.0,0.0,0.9634,0.9634
30.0,0.0,0.9608,0.9608
31.0,0.0,0.9564,0.9564
32.0,0.0,0.952,0.952
33.0,0.0,0.9454,0.9454
34.0,0.0,0.9358,0.9358
35.0,0.0,0.9326,0.9326
36.0,0.0,0.924,0.924
37.0,0.0,0.9134,0.9134
38.0,0.0,0.9176,0.9176
39.0,0.0,0.9315,0.9315
40.0,0.0,0.9097,0.9097
41.0,0.0,0.9058,0.9058
42.0,0.0,0.9059,0.9059
43.0,0.0,0.891,0.891
44.0,0.0,0.8796,0.8796
45.0,0.0,0.887,0.887
46.0,0.0,0.887,0.887
47.0,0.0,0.8706,0.8706
48.0,0.0,0.8772,0.8772
49.0,0.0,0.8655,0.8655
50.0,0.0,0.8577,0.8577
51.0,0.0,0.8526,0.8526
52.0,0.0,0.8486,0.8486
53.0,0.0,0.8522,0.8522
54.0,0.0,0.8402,0.8402
55.0,0.0,0.847,0.847
56.0,0.0,0.8344,0.8344
57.0,0.0,0.8193,0.8193
58.0,0.0,0.8182,0.8182
59.0,0.0,0.8268,0.8268
60.0,0.0,0.8345,0.8345
61.0,0.0,0.8144,0.8144
62.0,0.0,0.8226,0.8226
63.0,0.0,0.8114,0.8114
64.0,0.0,0.795,0.795
65.0,0.0,0.7881,0.7881
66.0,0.0,0.7941,0.7941
67.0,0.0,0.7964,0.7964
68.0,0.0,0.7935,0.7935
69.0,0.0,0.7845,0.7845
70.0,0.0,0.7756,0.7756
