Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.0914
Done: 20000 / 200000. Loss: 0.0794
Done: 30000 / 200000. Loss: 0.0708
Done: 40000 / 200000. Loss: 0.0689
Done: 50000 / 200000. Loss: 0.0681
Done: 60000 / 200000. Loss: 0.067
Done: 70000 / 200000. Loss: 0.0624
Done: 80000 / 200000. Loss: 0.066
Done: 90000 / 200000. Loss: 0.0622
Done: 100000 / 200000. Loss: 0.0609
Done: 110000 / 200000. Loss: 0.0597
Done: 120000 / 200000. Loss: 0.0613
Done: 130000 / 200000. Loss: 0.0596
Done: 140000 / 200000. Loss: 0.0595
Done: 150000 / 200000. Loss: 0.0593
Done: 160000 / 200000. Loss: 0.0586
Done: 170000 / 200000. Loss: 0.0579
Done: 180000 / 200000. Loss: 0.0565
Done: 190000 / 200000. Loss: 0.0564
Done: 200000 / 200000. Loss: 0.0558
