Start training for 200000 steps...
Done: 10000 / 200000. Loss: 0.1551
Done: 20000 / 200000. Loss: 0.1447
Done: 30000 / 200000. Loss: 0.1392
Done: 40000 / 200000. Loss: 0.143
Done: 50000 / 200000. Loss: 0.1342
Done: 60000 / 200000. Loss: 0.1388
Done: 70000 / 200000. Loss: 0.0646
Done: 80000 / 200000. Loss: 0.0628
Done: 90000 / 200000. Loss: 0.0581
Done: 100000 / 200000. Loss: 0.0583
Done: 110000 / 200000. Loss: 0.0591
Done: 120000 / 200000. Loss: 0.0573
Done: 130000 / 200000. Loss: 0.0579
Done: 140000 / 200000. Loss: 0.0536
Done: 150000 / 200000. Loss: 0.0507
Done: 160000 / 200000. Loss: 0.0519
Done: 170000 / 200000. Loss: 0.0515
Done: 180000 / 200000. Loss: 0.0487
Done: 190000 / 200000. Loss: 0.0492
Done: 200000 / 200000. Loss: 0.0486
