step,mloss,gloss,loss
1.0,0.0,0.9999,0.9999
2.0,0.0,1.0273,1.0273
3.0,0.0,0.998,0.998
4.0,0.0,0.9997,0.9997
5.0,0.0,0.9969,0.9969
6.0,0.0,0.9916,0.9916
7.0,0.0,1.0014,1.0014
8.0,0.0,0.9988,0.9988
9.0,0.0,1.0005,1.0005
10.0,0.0,0.9996,0.9996
11.0,0.0,0.9936,0.9936
12.0,0.0,0.9969,0.9969
13.0,0.0,1.0031,1.0031
14.0,0.0,0.9938,0.9938
15.0,0.0,0.9908,0.9908
16.0,0.0,0.999,0.999
17.0,0.0,0.9927,0.9927
18.0,0.0,0.9865,0.9865
19.0,0.0,1.0042,1.0042
20.0,0.0,0.9911,0.9911
21.0,0.0,0.9893,0.9893
22.0,0.0,0.9857,0.9857
23.0,0.0,0.9785,0.9785
24.0,0.0,0.9686,0.9686
25.0,0.0,0.971,0.971
26.0,0.0,1.0044,1.0044
27.0,0.0,0.9663,0.9663
28.0,0.0,0.9694,0.9694
29.0,0.0,0.972,0.972
30.0,0.0,0.9651,0.9651
31.0,0.0,0.9615,0.9615
32.0,0.0,0.9491,0.9491
33.0,0.0,0.9453,0.9453
34.0,0.0,0.9931,0.9931
35.0,0.0,0.9939,0.9939
36.0,0.0,0.9737,0.9737
37.0,0.0,0.9752,0.9752
38.0,0.0,0.974,0.974
39.0,0.0,0.9709,0.9709
40.0,0.0,0.9649,0.9649
41.0,0.0,0.9556,0.9556
42.0,0.0,0.9438,0.9438
43.0,0.0,0.9378,0.9378
44.0,0.0,0.9532,0.9532
45.0,0.0,0.9702,0.9702
46.0,0.0,0.9448,0.9448
47.0,0.0,0.9481,0.9481
48.0,0.0,0.9444,0.9444
49.0,0.0,0.9447,0.9447
50.0,0.0,0.9342,0.9342
51.0,0.0,0.9264,0.9264
52.0,0.0,0.9153,0.9153
53.0,0.0,0.915,0.915
54.0,0.0,0.9119,0.9119
55.0,0.0,0.9027,0.9027
56.0,0.0,0.9037,0.9037
57.0,0.0,0.8956,0.8956
58.0,0.0,0.8924,0.8924
59.0,0.0,0.8899,0.8899
60.0,0.0,0.8894,0.8894
61.0,0.0,0.8881,0.8881
62.0,0.0,0.8821,0.8821
63.0,0.0,0.8791,0.8791
64.0,0.0,0.8728,0.8728
65.0,0.0,0.8695,0.8695
66.0,0.0,0.8624,0.8624
67.0,0.0,0.864,0.864
68.0,0.0,0.866,0.866
69.0,0.0,0.8604,0.8604
70.0,0.0,0.8546,0.8546
71.0,0.0,0.84,0.84
72.0,0.0,0.8421,0.8421
73.0,0.0,0.836,0.836
74.0,0.0,0.8321,0.8321
75.0,0.0,0.8302,0.8302
76.0,0.0,0.8231,0.8231
77.0,0.0,0.8156,0.8156
78.0,0.0,0.8149,0.8149
79.0,0.0,0.8137,0.8137
80.0,0.0,0.8139,0.8139
81.0,0.0,0.8159,0.8159
82.0,0.0,0.8032,0.8032
83.0,0.0,0.798,0.798
84.0,0.0,0.7883,0.7883
85.0,0.0,0.7887,0.7887
86.0,0.0,0.7951,0.7951
87.0,0.0,0.8015,0.8015
88.0,0.0,0.8001,0.8001
89.0,0.0,0.789,0.789
90.0,0.0,0.7849,0.7849
91.0,0.0,0.7797,0.7797
92.0,0.0,0.7829,0.7829
93.0,0.0,0.8099,0.8099
94.0,0.0,0.8189,0.8189
95.0,0.0,0.8113,0.8113
96.0,0.0,0.8145,0.8145
97.0,0.0,0.7999,0.7999
98.0,0.0,0.7787,0.7787
99.0,0.0,0.7766,0.7766
100.0,0.0,0.7753,0.7753
101.0,0.0,0.78,0.78
102.0,0.0,0.7746,0.7746
103.0,0.0,0.7627,0.7627
104.0,0.0,0.7705,0.7705
105.0,0.0,0.7689,0.7689
106.0,0.0,0.7598,0.7598
107.0,0.0,0.7406,0.7406
108.0,0.0,0.742,0.742
109.0,0.0,0.7505,0.7505
110.0,0.0,0.7565,0.7565
111.0,0.0,0.7474,0.7474
112.0,0.0,0.739,0.739
113.0,0.0,0.7414,0.7414
114.0,0.0,0.7351,0.7351
115.0,0.0,0.7201,0.7201
116.0,0.0,0.7156,0.7156
117.0,0.0,0.7165,0.7165
118.0,0.0,0.7291,0.7291
119.0,0.0,0.7373,0.7373
120.0,0.0,0.7132,0.7132
121.0,0.0,0.734,0.734
122.0,0.0,0.7202,0.7202
123.0,0.0,0.7042,0.7042
124.0,0.0,0.6993,0.6993
125.0,0.0,0.7004,0.7004
126.0,0.0,0.7137,0.7137
127.0,0.0,0.7277,0.7277
128.0,0.0,0.7025,0.7025
129.0,0.0,0.7117,0.7117
130.0,0.0,0.7057,0.7057
131.0,0.0,0.6912,0.6912
132.0,0.0,0.6862,0.6862
133.0,0.0,0.6757,0.6757
134.0,0.0,0.6866,0.6866
135.0,0.0,0.699,0.699
136.0,0.0,0.7151,0.7151
137.0,0.0,0.6836,0.6836
138.0,0.0,0.702,0.702
139.0,0.0,0.696,0.696
140.0,0.0,0.678,0.678
141.0,0.0,0.6663,0.6663
142.0,0.0,0.6554,0.6554
143.0,0.0,0.6656,0.6656
144.0,0.0,0.6878,0.6878
145.0,0.0,0.6998,0.6998
146.0,0.0,0.6715,0.6715
147.0,0.0,0.6844,0.6844
148.0,0.0,0.6828,0.6828
149.0,0.0,0.6659,0.6659
150.0,0.0,0.6506,0.6506
151.0,0.0,0.6493,0.6493
152.0,0.0,0.6547,0.6547
153.0,0.0,0.6557,0.6557
154.0,0.0,0.6657,0.6657
155.0,0.0,0.646,0.646
156.0,0.0,0.6598,0.6598
157.0,0.0,0.6562,0.6562
158.0,0.0,0.6424,0.6424
159.0,0.0,0.6292,0.6292
160.0,0.0,0.6297,0.6297
161.0,0.0,0.6423,0.6423
162.0,0.0,0.6729,0.6729
163.0,0.0,0.6816,0.6816
164.0,0.0,0.6518,0.6518
165.0,0.0,0.6577,0.6577
166.0,0.0,0.6651,0.6651
167.0,0.0,0.6447,0.6447
168.0,0.0,0.6226,0.6226
169.0,0.0,0.6205,0.6205
170.0,0.0,0.6323,0.6323
171.0,0.0,0.6351,0.6351
172.0,0.0,0.643,0.643
173.0,0.0,0.6222,0.6222
174.0,0.0,0.6253,0.6253
175.0,0.0,0.6291,0.6291
176.0,0.0,0.6179,0.6179
177.0,0.0,0.6044,0.6044
178.0,0.0,0.6019,0.6019
179.0,0.0,0.6135,0.6135
180.0,0.0,0.6236,0.6236
181.0,0.0,0.632,0.632
182.0,0.0,0.6078,0.6078
183.0,0.0,0.6166,0.6166
184.0,0.0,0.616,0.616
185.0,0.0,0.6081,0.6081
186.0,0.0,0.5972,0.5972
187.0,0.0,0.5901,0.5901
188.0,0.0,0.6027,0.6027
189.0,0.0,0.6011,0.6011
