step,mloss,gloss,loss
1.0,0.0,0.994,0.994
2.0,0.0,1.0246,1.0246
3.0,0.0,0.9993,0.9993
4.0,0.0,0.994,0.994
5.0,0.0,0.995,0.995
6.0,0.0,0.9882,0.9882
7.0,0.0,0.995,0.995
8.0,0.0,0.9943,0.9943
9.0,0.0,0.997,0.997
10.0,0.0,0.9843,0.9843
11.0,0.0,0.9751,0.9751
12.0,0.0,1.308,1.308
13.0,0.0,0.9961,0.9961
14.0,0.0,0.9965,0.9965
15.0,0.0,0.9922,0.9922
16.0,0.0,0.994,0.994
17.0,0.0,0.9984,0.9984
18.0,0.0,0.9957,0.9957
19.0,0.0,0.9918,0.9918
20.0,0.0,0.9922,0.9922
21.0,0.0,1.0017,1.0017
22.0,0.0,0.9965,0.9965
23.0,0.0,0.9909,0.9909
24.0,0.0,0.992,0.992
25.0,0.0,0.9901,0.9901
26.0,0.0,0.9889,0.9889
27.0,0.0,0.9854,0.9854
28.0,0.0,0.9808,0.9808
29.0,0.0,0.9796,0.9796
30.0,0.0,0.9886,0.9886
31.0,0.0,0.9776,0.9776
32.0,0.0,0.9811,0.9811
33.0,0.0,0.9755,0.9755
34.0,0.0,0.9723,0.9723
35.0,0.0,0.9659,0.9659
36.0,0.0,0.9628,0.9628
37.0,0.0,0.9713,0.9713
38.0,0.0,0.9601,0.9601
39.0,0.0,0.957,0.957
40.0,0.0,0.9559,0.9559
41.0,0.0,0.9509,0.9509
42.0,0.0,0.9426,0.9426
43.0,0.0,0.9374,0.9374
44.0,0.0,0.9361,0.9361
45.0,0.0,0.9306,0.9306
46.0,0.0,0.9262,0.9262
47.0,0.0,0.9276,0.9276
48.0,0.0,0.9291,0.9291
49.0,0.0,0.9301,0.9301
50.0,0.0,0.9223,0.9223
51.0,0.0,0.9177,0.9177
52.0,0.0,0.9084,0.9084
53.0,0.0,0.9023,0.9023
54.0,0.0,0.9095,0.9095
55.0,0.0,0.9101,0.9101
56.0,0.0,0.9047,0.9047
57.0,0.0,0.8982,0.8982
58.0,0.0,0.8909,0.8909
59.0,0.0,0.8891,0.8891
60.0,0.0,0.8781,0.8781
61.0,0.0,0.8916,0.8916
62.0,0.0,0.8883,0.8883
63.0,0.0,0.8769,0.8769
64.0,0.0,0.8832,0.8832
65.0,0.0,0.8664,0.8664
66.0,0.0,0.8683,0.8683
67.0,0.0,0.8591,0.8591
68.0,0.0,0.862,0.862
69.0,0.0,0.8589,0.8589
70.0,0.0,0.8559,0.8559
71.0,0.0,0.8475,0.8475
72.0,0.0,0.8392,0.8392
73.0,0.0,0.8389,0.8389
74.0,0.0,0.8397,0.8397
75.0,0.0,0.8446,0.8446
76.0,0.0,0.8387,0.8387
77.0,0.0,0.8346,0.8346
78.0,0.0,0.8177,0.8177
79.0,0.0,0.8238,0.8238
80.0,0.0,0.8357,0.8357
81.0,0.0,0.8444,0.8444
82.0,0.0,0.8282,0.8282
83.0,0.0,0.8295,0.8295
84.0,0.0,0.8175,0.8175
85.0,0.0,0.8049,0.8049
86.0,0.0,0.8078,0.8078
87.0,0.0,0.8034,0.8034
88.0,0.0,0.8036,0.8036
89.0,0.0,0.7945,0.7945
90.0,0.0,0.7929,0.7929
91.0,0.0,0.7855,0.7855
92.0,0.0,0.7807,0.7807
93.0,0.0,0.7827,0.7827
94.0,0.0,0.7889,0.7889
95.0,0.0,0.7821,0.7821
96.0,0.0,0.7809,0.7809
97.0,0.0,0.7666,0.7666
98.0,0.0,0.7625,0.7625
99.0,0.0,0.7636,0.7636
100.0,0.0,0.7729,0.7729
101.0,0.0,0.7858,0.7858
102.0,0.0,0.7671,0.7671
103.0,0.0,0.7731,0.7731
104.0,0.0,0.7555,0.7555
105.0,0.0,0.7451,0.7451
106.0,0.0,0.751,0.751
107.0,0.0,0.7461,0.7461
108.0,0.0,0.7604,0.7604
109.0,0.0,0.7609,0.7609
110.0,0.0,0.7614,0.7614
111.0,0.0,0.7565,0.7565
112.0,0.0,0.738,0.738
113.0,0.0,0.7307,0.7307
114.0,0.0,0.7271,0.7271
115.0,0.0,0.7372,0.7372
116.0,0.0,0.7358,0.7358
117.0,0.0,0.7231,0.7231
118.0,0.0,0.7307,0.7307
119.0,0.0,0.7209,0.7209
120.0,0.0,0.7063,0.7063
121.0,0.0,0.7066,0.7066
122.0,0.0,0.7107,0.7107
123.0,0.0,0.7238,0.7238
124.0,0.0,0.7229,0.7229
125.0,0.0,0.7103,0.7103
126.0,0.0,0.7165,0.7165
127.0,0.0,0.6979,0.6979
128.0,0.0,0.6865,0.6865
129.0,0.0,0.6907,0.6907
130.0,0.0,0.7014,0.7014
131.0,0.0,0.728,0.728
132.0,0.0,0.7034,0.7034
133.0,0.0,0.7178,0.7178
134.0,0.0,0.7027,0.7027
135.0,0.0,0.6758,0.6758
136.0,0.0,0.6813,0.6813
137.0,0.0,0.6866,0.6866
138.0,0.0,0.7075,0.7075
139.0,0.0,0.7181,0.7181
140.0,0.0,0.6943,0.6943
141.0,0.0,0.7047,0.7047
142.0,0.0,0.6988,0.6988
143.0,0.0,0.6808,0.6808
144.0,0.0,0.6654,0.6654
145.0,0.0,0.6712,0.6712
146.0,0.0,0.6765,0.6765
147.0,0.0,0.6802,0.6802
148.0,0.0,0.674,0.674
149.0,0.0,0.6674,0.6674
150.0,0.0,0.6742,0.6742
151.0,0.0,0.6496,0.6496
152.0,0.0,0.6538,0.6538
153.0,0.0,0.6465,0.6465
154.0,0.0,0.6578,0.6578
155.0,0.0,0.6647,0.6647
156.0,0.0,0.6593,0.6593
157.0,0.0,0.6539,0.6539
158.0,0.0,0.6575,0.6575
159.0,0.0,0.6405,0.6405
160.0,0.0,0.6332,0.6332
161.0,0.0,0.6264,0.6264
162.0,0.0,0.6403,0.6403
163.0,0.0,0.6463,0.6463
164.0,0.0,0.6589,0.6589
165.0,0.0,0.6414,0.6414
166.0,0.0,0.6442,0.6442
167.0,0.0,0.6377,0.6377
168.0,0.0,0.6187,0.6187
169.0,0.0,0.6127,0.6127
170.0,0.0,0.6159,0.6159
171.0,0.0,0.6322,0.6322
172.0,0.0,0.6424,0.6424
173.0,0.0,0.6277,0.6277
174.0,0.0,0.6263,0.6263
175.0,0.0,0.6197,0.6197
176.0,0.0,0.6114,0.6114
177.0,0.0,0.6023,0.6023
178.0,0.0,0.5919,0.5919
179.0,0.0,0.6167,0.6167
180.0,0.0,0.666,0.666
181.0,0.0,0.6708,0.6708
182.0,0.0,0.642,0.642
183.0,0.0,0.66,0.66
184.0,0.0,0.6556,0.6556
185.0,0.0,0.6391,0.6391
186.0,0.0,0.6143,0.6143
187.0,0.0,0.5967,0.5967
188.0,0.0,0.6167,0.6167
189.0,0.0,0.6552,0.6552
190.0,0.0,0.6566,0.6566
191.0,0.0,0.6191,0.6191
192.0,0.0,0.6559,0.6559
193.0,0.0,0.6535,0.6535
194.0,0.0,0.6418,0.6418
195.0,0.0,0.6132,0.6132
196.0,0.0,0.5942,0.5942
197.0,0.0,0.5902,0.5902
198.0,0.0,0.6021,0.6021
199.0,0.0,0.6182,0.6182
200.0,0.0,0.6545,0.6545
201.0,0.0,0.6017,0.6017
202.0,0.0,0.6371,0.6371
