step,mloss,gloss,loss
1.0,0.0,1.0008,1.0008
2.0,0.0,1.0144,1.0144
3.0,0.0,0.9989,0.9989
4.0,0.0,0.9958,0.9958
5.0,0.0,0.9889,0.9889
6.0,0.0,0.993,0.993
7.0,0.0,0.9931,0.9931
8.0,0.0,1.0007,1.0007
9.0,0.0,0.9973,0.9973
10.0,0.0,0.9934,0.9934
11.0,0.0,0.9886,0.9886
12.0,0.0,0.9881,0.9881
13.0,0.0,0.9933,0.9933
14.0,0.0,0.9804,0.9804
15.0,0.0,0.9723,0.9723
16.0,0.0,0.979,0.979
17.0,0.0,0.9799,0.9799
18.0,0.0,0.9698,0.9698
19.0,0.0,0.9594,0.9594
20.0,0.0,0.9502,0.9502
21.0,0.0,0.9614,0.9614
22.0,0.0,1.0462,1.0462
23.0,0.0,0.9588,0.9588
24.0,0.0,0.9805,0.9805
25.0,0.0,0.9689,0.9689
26.0,0.0,0.9686,0.9686
27.0,0.0,0.9579,0.9579
28.0,0.0,0.9515,0.9515
29.0,0.0,0.9459,0.9459
30.0,0.0,0.9531,0.9531
31.0,0.0,0.942,0.942
32.0,0.0,0.9356,0.9356
33.0,0.0,0.9329,0.9329
34.0,0.0,0.9249,0.9249
35.0,0.0,0.9114,0.9114
36.0,0.0,0.907,0.907
37.0,0.0,0.9133,0.9133
38.0,0.0,0.9107,0.9107
39.0,0.0,0.9075,0.9075
40.0,0.0,0.9123,0.9123
41.0,0.0,0.8949,0.8949
42.0,0.0,0.8848,0.8848
43.0,0.0,0.8762,0.8762
44.0,0.0,0.8827,0.8827
45.0,0.0,0.8734,0.8734
46.0,0.0,0.8683,0.8683
47.0,0.0,0.86,0.86
48.0,0.0,0.8508,0.8508
49.0,0.0,0.843,0.843
50.0,0.0,0.8462,0.8462
51.0,0.0,0.8543,0.8543
52.0,0.0,0.8421,0.8421
53.0,0.0,0.8335,0.8335
54.0,0.0,0.8219,0.8219
55.0,0.0,0.8108,0.8108
56.0,0.0,0.8283,0.8283
57.0,0.0,0.8526,0.8526
58.0,0.0,0.8361,0.8361
59.0,0.0,0.8528,0.8528
60.0,0.0,0.8383,0.8383
61.0,0.0,0.8161,0.8161
62.0,0.0,0.7969,0.7969
63.0,0.0,0.8098,0.8098
64.0,0.0,0.824,0.824
65.0,0.0,0.8458,0.8458
66.0,0.0,0.824,0.824
67.0,0.0,0.8323,0.8323
68.0,0.0,0.8256,0.8256
69.0,0.0,0.8007,0.8007
70.0,0.0,0.7806,0.7806
71.0,0.0,0.7861,0.7861
72.0,0.0,0.7771,0.7771
73.0,0.0,0.7654,0.7654
74.0,0.0,0.7568,0.7568
75.0,0.0,0.7568,0.7568
76.0,0.0,0.7479,0.7479
77.0,0.0,0.7426,0.7426
78.0,0.0,0.746,0.746
79.0,0.0,0.7408,0.7408
80.0,0.0,0.7399,0.7399
81.0,0.0,0.7304,0.7304
82.0,0.0,0.7237,0.7237
83.0,0.0,0.7152,0.7152
84.0,0.0,0.7157,0.7157
85.0,0.0,0.71,0.71
86.0,0.0,0.7122,0.7122
87.0,0.0,0.7007,0.7007
88.0,0.0,0.6927,0.6927
89.0,0.0,0.687,0.687
90.0,0.0,0.7092,0.7092
91.0,0.0,0.7401,0.7401
92.0,0.0,0.7235,0.7235
93.0,0.0,0.7237,0.7237
94.0,0.0,0.7045,0.7045
95.0,0.0,0.6812,0.6812
96.0,0.0,0.6922,0.6922
97.0,0.0,0.6939,0.6939
98.0,0.0,0.6821,0.6821
99.0,0.0,0.6694,0.6694
100.0,0.0,0.676,0.676
101.0,0.0,0.6616,0.6616
102.0,0.0,0.6447,0.6447
103.0,0.0,0.664,0.664
104.0,0.0,0.7053,0.7053
105.0,0.0,0.7164,0.7164
106.0,0.0,0.701,0.701
107.0,0.0,0.7036,0.7036
108.0,0.0,0.6802,0.6802
109.0,0.0,0.666,0.666
110.0,0.0,0.6683,0.6683
111.0,0.0,0.6586,0.6586
112.0,0.0,0.6568,0.6568
113.0,0.0,0.6601,0.6601
114.0,0.0,0.6533,0.6533
115.0,0.0,0.6513,0.6513
116.0,0.0,0.6286,0.6286
117.0,0.0,0.6242,0.6242
118.0,0.0,0.6294,0.6294
119.0,0.0,0.6519,0.6519
120.0,0.0,0.649,0.649
121.0,0.0,0.6448,0.6448
122.0,0.0,0.6402,0.6402
123.0,0.0,0.6238,0.6238
124.0,0.0,0.606,0.606
125.0,0.0,0.6057,0.6057
126.0,0.0,0.6073,0.6073
127.0,0.0,0.6198,0.6198
128.0,0.0,0.6024,0.6024
129.0,0.0,0.5969,0.5969
130.0,0.0,0.5903,0.5903
131.0,0.0,0.5796,0.5796
132.0,0.0,0.5755,0.5755
133.0,0.0,0.591,0.591
134.0,0.0,0.5943,0.5943
135.0,0.0,0.6069,0.6069
136.0,0.0,0.5879,0.5879
137.0,0.0,0.5804,0.5804
138.0,0.0,0.5703,0.5703
139.0,0.0,0.5636,0.5636
140.0,0.0,0.5581,0.5581
141.0,0.0,0.5698,0.5698
142.0,0.0,0.5799,0.5799
143.0,0.0,0.563,0.563
144.0,0.0,0.5699,0.5699
145.0,0.0,0.5477,0.5477
146.0,0.0,0.5384,0.5384
147.0,0.0,0.5422,0.5422
148.0,0.0,0.5437,0.5437
149.0,0.0,0.585,0.585
150.0,0.0,0.5901,0.5901
151.0,0.0,0.5802,0.5802
152.0,0.0,0.5707,0.5707
153.0,0.0,0.5513,0.5513
154.0,0.0,0.5407,0.5407
155.0,0.0,0.539,0.539
156.0,0.0,0.5534,0.5534
157.0,0.0,0.5574,0.5574
158.0,0.0,0.5445,0.5445
159.0,0.0,0.5535,0.5535
160.0,0.0,0.5304,0.5304
161.0,0.0,0.514,0.514
162.0,0.0,0.5227,0.5227
163.0,0.0,0.5264,0.5264
164.0,0.0,0.5872,0.5872
165.0,0.0,0.5649,0.5649
166.0,0.0,0.5658,0.5658
167.0,0.0,0.5669,0.5669
168.0,0.0,0.5465,0.5465
169.0,0.0,0.52,0.52
170.0,0.0,0.5188,0.5188
171.0,0.0,0.5252,0.5252
172.0,0.0,0.5541,0.5541
173.0,0.0,0.5584,0.5584
174.0,0.0,0.536,0.536
175.0,0.0,0.5448,0.5448
176.0,0.0,0.5317,0.5317
177.0,0.0,0.5103,0.5103
178.0,0.0,0.4998,0.4998
179.0,0.0,0.5268,0.5268
180.0,0.0,0.5307,0.5307
181.0,0.0,0.518,0.518
182.0,0.0,0.5212,0.5212
183.0,0.0,0.5156,0.5156
184.0,0.0,0.5046,0.5046
185.0,0.0,0.4843,0.4843
186.0,0.0,0.478,0.478
187.0,0.0,0.4969,0.4969
188.0,0.0,0.4969,0.4969
189.0,0.0,0.4934,0.4934
190.0,0.0,0.4781,0.4781
191.0,0.0,0.4825,0.4825
192.0,0.0,0.4615,0.4615
193.0,0.0,0.4587,0.4587
194.0,0.0,0.4493,0.4493
195.0,0.0,0.479,0.479
196.0,0.0,0.5173,0.5173
197.0,0.0,0.5154,0.5154
198.0,0.0,0.4981,0.4981
199.0,0.0,0.4934,0.4934
200.0,0.0,0.4827,0.4827
201.0,0.0,0.4665,0.4665
202.0,0.0,0.4498,0.4498
203.0,0.0,0.4702,0.4702
204.0,0.0,0.4744,0.4744
205.0,0.0,0.4853,0.4853
206.0,0.0,0.4585,0.4585
207.0,0.0,0.4717,0.4717
208.0,0.0,0.4516,0.4516
209.0,0.0,0.4359,0.4359
210.0,0.0,0.4347,0.4347
211.0,0.0,0.4439,0.4439
212.0,0.0,0.4443,0.4443
213.0,0.0,0.448,0.448
214.0,0.0,0.4331,0.4331
215.0,0.0,0.4427,0.4427
216.0,0.0,0.4255,0.4255
217.0,0.0,0.423,0.423
218.0,0.0,0.407,0.407
219.0,0.0,0.4187,0.4187
220.0,0.0,0.4276,0.4276
221.0,0.0,0.4485,0.4485
222.0,0.0,0.4189,0.4189
223.0,0.0,0.4235,0.4235
224.0,0.0,0.4135,0.4135
225.0,0.0,0.4001,0.4001
226.0,0.0,0.3978,0.3978
227.0,0.0,0.4077,0.4077
228.0,0.0,0.4111,0.4111
229.0,0.0,0.4294,0.4294
230.0,0.0,0.4141,0.4141
231.0,0.0,0.4,0.4
232.0,0.0,0.4013,0.4013
233.0,0.0,0.3884,0.3884
234.0,0.0,0.3938,0.3938
235.0,0.0,0.3999,0.3999
236.0,0.0,0.409,0.409
237.0,0.0,0.3933,0.3933
238.0,0.0,0.3842,0.3842
239.0,0.0,0.3817,0.3817
240.0,0.0,0.3749,0.3749
241.0,0.0,0.3805,0.3805
242.0,0.0,0.3732,0.3732
243.0,0.0,0.4071,0.4071
244.0,0.0,0.4163,0.4163
245.0,0.0,0.394,0.394
246.0,0.0,0.3975,0.3975
247.0,0.0,0.3684,0.3684
248.0,0.0,0.3762,0.3762
249.0,0.0,0.3681,0.3681
250.0,0.0,0.3831,0.3831
251.0,0.0,0.3842,0.3842
252.0,0.0,0.3627,0.3627
253.0,0.0,0.373,0.373
254.0,0.0,0.3586,0.3586
255.0,0.0,0.3476,0.3476
256.0,0.0,0.3605,0.3605
257.0,0.0,0.3667,0.3667
258.0,0.0,0.4034,0.4034
259.0,0.0,0.3892,0.3892
260.0,0.0,0.3736,0.3736
261.0,0.0,0.3673,0.3673
262.0,0.0,0.3619,0.3619
263.0,0.0,0.3422,0.3422
264.0,0.0,0.3536,0.3536
265.0,0.0,0.3601,0.3601
266.0,0.0,0.3564,0.3564
267.0,0.0,0.3703,0.3703
268.0,0.0,0.3533,0.3533
269.0,0.0,0.3476,0.3476
270.0,0.0,0.3349,0.3349
271.0,0.0,0.3369,0.3369
272.0,0.0,0.3488,0.3488
273.0,0.0,0.3681,0.3681
274.0,0.0,0.3833,0.3833
275.0,0.0,0.3556,0.3556
