step,mloss,gloss,loss
1.0,0.0,0.9998,0.9998
2.0,0.0,1.0117,1.0117
3.0,0.0,0.9993,0.9993
4.0,0.0,0.9963,0.9963
5.0,0.0,0.9918,0.9918
6.0,0.0,1.0033,1.0033
7.0,0.0,1.0019,1.0019
8.0,0.0,1.0004,1.0004
9.0,0.0,0.9975,0.9975
10.0,0.0,0.9972,0.9972
11.0,0.0,1.0003,1.0003
12.0,0.0,0.9917,0.9917
13.0,0.0,0.9909,0.9909
14.0,0.0,0.9868,0.9868
15.0,0.0,0.9827,0.9827
16.0,0.0,1.0005,1.0005
17.0,0.0,0.9864,0.9864
18.0,0.0,0.9952,0.9952
19.0,0.0,0.9969,0.9969
20.0,0.0,0.9809,0.9809
21.0,0.0,0.9883,0.9883
22.0,0.0,0.9859,0.9859
23.0,0.0,0.9726,0.9726
24.0,0.0,0.9844,0.9844
25.0,0.0,1.0441,1.0441
26.0,0.0,0.9849,0.9849
27.0,0.0,0.9851,0.9851
28.0,0.0,0.9887,0.9887
29.0,0.0,0.9741,0.9741
30.0,0.0,0.973,0.973
31.0,0.0,0.9655,0.9655
32.0,0.0,0.966,0.966
33.0,0.0,1.0181,1.0181
34.0,0.0,0.9892,0.9892
35.0,0.0,0.9833,0.9833
36.0,0.0,0.9784,0.9784
37.0,0.0,0.9794,0.9794
38.0,0.0,0.9758,0.9758
39.0,0.0,0.9644,0.9644
40.0,0.0,0.9594,0.9594
41.0,0.0,0.9543,0.9543
42.0,0.0,0.965,0.965
43.0,0.0,0.987,0.987
44.0,0.0,0.9547,0.9547
45.0,0.0,0.9595,0.9595
46.0,0.0,0.9593,0.9593
47.0,0.0,0.9576,0.9576
48.0,0.0,0.9496,0.9496
49.0,0.0,0.9369,0.9369
50.0,0.0,0.9395,0.9395
51.0,0.0,0.9273,0.9273
52.0,0.0,0.9271,0.9271
53.0,0.0,0.9234,0.9234
54.0,0.0,0.9196,0.9196
55.0,0.0,0.9106,0.9106
56.0,0.0,0.9034,0.9034
57.0,0.0,0.8998,0.8998
58.0,0.0,0.9035,0.9035
59.0,0.0,0.9149,0.9149
60.0,0.0,0.8993,0.8993
61.0,0.0,0.9008,0.9008
62.0,0.0,0.896,0.896
63.0,0.0,0.8818,0.8818
64.0,0.0,0.8832,0.8832
65.0,0.0,0.8863,0.8863
66.0,0.0,0.8788,0.8788
67.0,0.0,0.8758,0.8758
68.0,0.0,0.8746,0.8746
69.0,0.0,0.8594,0.8594
70.0,0.0,0.8609,0.8609
71.0,0.0,0.8536,0.8536
72.0,0.0,0.8532,0.8532
73.0,0.0,0.85,0.85
74.0,0.0,0.8444,0.8444
75.0,0.0,0.8391,0.8391
76.0,0.0,0.83,0.83
77.0,0.0,0.8321,0.8321
78.0,0.0,0.8363,0.8363
79.0,0.0,0.8321,0.8321
80.0,0.0,0.8227,0.8227
81.0,0.0,0.8157,0.8157
82.0,0.0,0.8177,0.8177
83.0,0.0,0.8112,0.8112
84.0,0.0,0.8171,0.8171
85.0,0.0,0.8203,0.8203
86.0,0.0,0.8045,0.8045
87.0,0.0,0.7986,0.7986
88.0,0.0,0.7986,0.7986
89.0,0.0,0.7944,0.7944
90.0,0.0,0.7828,0.7828
91.0,0.0,0.7847,0.7847
92.0,0.0,0.7757,0.7757
93.0,0.0,0.7674,0.7674
94.0,0.0,0.7764,0.7764
95.0,0.0,0.7796,0.7796
96.0,0.0,0.7823,0.7823
97.0,0.0,0.7662,0.7662
98.0,0.0,0.7558,0.7558
99.0,0.0,0.7479,0.7479
100.0,0.0,0.7562,0.7562
101.0,0.0,0.7561,0.7561
102.0,0.0,0.7536,0.7536
103.0,0.0,0.749,0.749
104.0,0.0,0.7395,0.7395
105.0,0.0,0.7284,0.7284
106.0,0.0,0.7364,0.7364
107.0,0.0,0.7559,0.7559
108.0,0.0,0.7657,0.7657
109.0,0.0,0.7572,0.7572
110.0,0.0,0.7351,0.7351
111.0,0.0,0.7324,0.7324
