step,mloss,gloss,loss
1.0,0.0,0.9972,0.9972
2.0,0.0,1.0121,1.0121
3.0,0.0,0.9983,0.9983
4.0,0.0,0.9964,0.9964
5.0,0.0,0.9894,0.9894
6.0,0.0,0.9939,0.9939
7.0,0.0,0.9956,0.9956
8.0,0.0,0.9979,0.9979
9.0,0.0,0.9971,0.9971
10.0,0.0,0.9926,0.9926
11.0,0.0,0.9906,0.9906
12.0,0.0,0.9928,0.9928
13.0,0.0,0.9983,0.9983
14.0,0.0,0.9894,0.9894
15.0,0.0,0.9844,0.9844
16.0,0.0,0.9782,0.9782
17.0,0.0,0.9675,0.9675
18.0,0.0,1.0122,1.0122
19.0,0.0,1.0349,1.0349
20.0,0.0,0.9786,0.9786
21.0,0.0,0.9824,0.9824
22.0,0.0,0.9761,0.9761
23.0,0.0,0.9708,0.9708
24.0,0.0,0.9618,0.9618
25.0,0.0,1.0337,1.0337
26.0,0.0,0.9804,0.9804
27.0,0.0,0.9813,0.9813
28.0,0.0,0.9781,0.9781
29.0,0.0,0.9814,0.9814
30.0,0.0,0.9768,0.9768
31.0,0.0,0.9704,0.9704
32.0,0.0,0.9666,0.9666
33.0,0.0,0.9571,0.9571
34.0,0.0,0.9735,0.9735
35.0,0.0,0.985,0.985
36.0,0.0,0.9607,0.9607
37.0,0.0,0.9666,0.9666
38.0,0.0,0.9603,0.9603
39.0,0.0,0.9567,0.9567
40.0,0.0,0.9492,0.9492
41.0,0.0,0.9396,0.9396
42.0,0.0,0.9429,0.9429
43.0,0.0,0.9372,0.9372
44.0,0.0,0.9326,0.9326
45.0,0.0,0.9307,0.9307
46.0,0.0,0.9228,0.9228
47.0,0.0,0.9142,0.9142
48.0,0.0,0.9065,0.9065
49.0,0.0,0.904,0.904
50.0,0.0,0.905,0.905
51.0,0.0,0.9212,0.9212
52.0,0.0,0.9075,0.9075
53.0,0.0,0.9063,0.9063
54.0,0.0,0.8953,0.8953
55.0,0.0,0.8901,0.8901
56.0,0.0,0.882,0.882
57.0,0.0,0.8836,0.8836
58.0,0.0,0.8729,0.8729
59.0,0.0,0.8735,0.8735
60.0,0.0,0.8709,0.8709
61.0,0.0,0.86,0.86
62.0,0.0,0.8552,0.8552
63.0,0.0,0.8486,0.8486
64.0,0.0,0.8481,0.8481
65.0,0.0,0.8588,0.8588
66.0,0.0,0.85,0.85
67.0,0.0,0.8498,0.8498
68.0,0.0,0.8397,0.8397
69.0,0.0,0.8295,0.8295
70.0,0.0,0.8275,0.8275
71.0,0.0,0.8293,0.8293
72.0,0.0,0.8357,0.8357
73.0,0.0,0.8305,0.8305
74.0,0.0,0.8311,0.8311
75.0,0.0,0.823,0.823
76.0,0.0,0.8092,0.8092
