step,mloss,gloss,loss
1.0,0.0,1.0028,1.0028
2.0,0.0,1.0218,1.0218
3.0,0.0,0.9997,0.9997
4.0,0.0,0.9949,0.9949
5.0,0.0,0.987,0.987
6.0,0.0,0.9945,0.9945
7.0,0.0,0.9956,0.9956
8.0,0.0,0.9949,0.9949
9.0,0.0,0.9968,0.9968
10.0,0.0,0.9917,0.9917
11.0,0.0,0.9829,0.9829
12.0,0.0,0.9925,0.9925
13.0,0.0,1.0127,1.0127
14.0,0.0,0.9927,0.9927
15.0,0.0,0.9928,0.9928
16.0,0.0,0.991,0.991
17.0,0.0,0.9887,0.9887
18.0,0.0,0.9864,0.9864
19.0,0.0,0.9754,0.9754
20.0,0.0,0.9773,0.9773
21.0,0.0,0.9645,0.9645
22.0,0.0,0.9645,0.9645
23.0,0.0,0.9932,0.9932
24.0,0.0,0.9821,0.9821
25.0,0.0,0.9701,0.9701
26.0,0.0,0.9762,0.9762
27.0,0.0,0.9695,0.9695
28.0,0.0,0.964,0.964
29.0,0.0,0.9603,0.9603
30.0,0.0,0.944,0.944
31.0,0.0,0.9437,0.9437
32.0,0.0,0.9767,0.9767
33.0,0.0,0.9463,0.9463
34.0,0.0,0.9514,0.9514
35.0,0.0,0.9532,0.9532
36.0,0.0,0.9421,0.9421
37.0,0.0,0.9337,0.9337
38.0,0.0,0.9274,0.9274
39.0,0.0,0.9195,0.9195
40.0,0.0,0.9229,0.9229
41.0,0.0,0.9125,0.9125
42.0,0.0,0.9149,0.9149
43.0,0.0,0.9086,0.9086
44.0,0.0,0.8973,0.8973
45.0,0.0,0.8972,0.8972
46.0,0.0,0.8894,0.8894
47.0,0.0,0.8903,0.8903
48.0,0.0,0.8766,0.8766
49.0,0.0,0.8706,0.8706
50.0,0.0,0.8692,0.8692
51.0,0.0,0.8847,0.8847
52.0,0.0,0.8775,0.8775
53.0,0.0,0.878,0.878
54.0,0.0,0.8664,0.8664
55.0,0.0,0.8524,0.8524
56.0,0.0,0.85,0.85
57.0,0.0,0.8564,0.8564
58.0,0.0,0.8572,0.8572
59.0,0.0,0.8431,0.8431
60.0,0.0,0.8452,0.8452
61.0,0.0,0.8424,0.8424
62.0,0.0,0.828,0.828
63.0,0.0,0.8231,0.8231
64.0,0.0,0.8293,0.8293
65.0,0.0,0.8245,0.8245
66.0,0.0,0.8274,0.8274
67.0,0.0,0.8185,0.8185
68.0,0.0,0.8137,0.8137
69.0,0.0,0.8123,0.8123
70.0,0.0,0.7984,0.7984
71.0,0.0,0.8191,0.8191
72.0,0.0,0.8153,0.8153
73.0,0.0,0.8033,0.8033
74.0,0.0,0.81,0.81
75.0,0.0,0.8,0.8
76.0,0.0,0.785,0.785
77.0,0.0,0.7826,0.7826
78.0,0.0,0.7819,0.7819
79.0,0.0,0.7846,0.7846
80.0,0.0,0.7873,0.7873
81.0,0.0,0.7764,0.7764
82.0,0.0,0.78,0.78
83.0,0.0,0.7647,0.7647
84.0,0.0,0.7608,0.7608
85.0,0.0,0.7701,0.7701
86.0,0.0,0.7837,0.7837
87.0,0.0,0.7797,0.7797
88.0,0.0,0.7793,0.7793
89.0,0.0,0.776,0.776
90.0,0.0,0.7649,0.7649
91.0,0.0,0.748,0.748
92.0,0.0,0.7492,0.7492
93.0,0.0,0.7712,0.7712
94.0,0.0,0.7855,0.7855
95.0,0.0,0.7555,0.7555
96.0,0.0,0.7695,0.7695
97.0,0.0,0.7743,0.7743
98.0,0.0,0.7515,0.7515
99.0,0.0,0.7318,0.7318
100.0,0.0,0.7331,0.7331
101.0,0.0,0.739,0.739
102.0,0.0,0.7316,0.7316
103.0,0.0,0.7405,0.7405
104.0,0.0,0.7247,0.7247
105.0,0.0,0.7366,0.7366
106.0,0.0,0.7273,0.7273
107.0,0.0,0.7105,0.7105
108.0,0.0,0.706,0.706
109.0,0.0,0.7118,0.7118
110.0,0.0,0.7236,0.7236
111.0,0.0,0.7303,0.7303
112.0,0.0,0.704,0.704
113.0,0.0,0.7197,0.7197
114.0,0.0,0.7143,0.7143
115.0,0.0,0.6921,0.6921
116.0,0.0,0.6934,0.6934
117.0,0.0,0.6875,0.6875
118.0,0.0,0.6878,0.6878
119.0,0.0,0.7062,0.7062
120.0,0.0,0.692,0.692
121.0,0.0,0.6919,0.6919
122.0,0.0,0.6873,0.6873
123.0,0.0,0.6826,0.6826
124.0,0.0,0.6802,0.6802
125.0,0.0,0.6785,0.6785
126.0,0.0,0.6861,0.6861
127.0,0.0,0.689,0.689
128.0,0.0,0.669,0.669
129.0,0.0,0.6807,0.6807
130.0,0.0,0.6641,0.6641
131.0,0.0,0.6628,0.6628
132.0,0.0,0.6718,0.6718
133.0,0.0,0.6593,0.6593
134.0,0.0,0.6908,0.6908
135.0,0.0,0.669,0.669
136.0,0.0,0.6752,0.6752
137.0,0.0,0.6617,0.6617
138.0,0.0,0.655,0.655
139.0,0.0,0.6442,0.6442
140.0,0.0,0.6574,0.6574
141.0,0.0,0.6619,0.6619
142.0,0.0,0.7214,0.7214
143.0,0.0,0.6878,0.6878
144.0,0.0,0.707,0.707
145.0,0.0,0.7152,0.7152
146.0,0.0,0.6919,0.6919
147.0,0.0,0.6655,0.6655
148.0,0.0,0.643,0.643
149.0,0.0,0.6603,0.6603
150.0,0.0,0.6924,0.6924
151.0,0.0,0.7462,0.7462
152.0,0.0,0.6844,0.6844
153.0,0.0,0.7215,0.7215
154.0,0.0,0.7348,0.7348
155.0,0.0,0.7225,0.7225
156.0,0.0,0.6902,0.6902
157.0,0.0,0.656,0.656
158.0,0.0,0.6547,0.6547
159.0,0.0,0.6693,0.6693
160.0,0.0,0.7005,0.7005
161.0,0.0,0.7299,0.7299
162.0,0.0,0.6718,0.6718
163.0,0.0,0.7043,0.7043
164.0,0.0,0.7202,0.7202
165.0,0.0,0.7095,0.7095
166.0,0.0,0.6815,0.6815
167.0,0.0,0.6507,0.6507
168.0,0.0,0.643,0.643
169.0,0.0,0.6632,0.6632
170.0,0.0,0.6558,0.6558
171.0,0.0,0.6416,0.6416
172.0,0.0,0.6307,0.6307
173.0,0.0,0.6525,0.6525
174.0,0.0,0.6486,0.6486
175.0,0.0,0.6383,0.6383
176.0,0.0,0.6251,0.6251
177.0,0.0,0.6095,0.6095
178.0,0.0,0.6253,0.6253
179.0,0.0,0.6182,0.6182
180.0,0.0,0.6141,0.6141
181.0,0.0,0.6089,0.6089
182.0,0.0,0.5979,0.5979
183.0,0.0,0.6106,0.6106
184.0,0.0,0.6008,0.6008
185.0,0.0,0.59,0.59
186.0,0.0,0.5955,0.5955
187.0,0.0,0.5944,0.5944
188.0,0.0,0.6004,0.6004
189.0,0.0,0.6018,0.6018
190.0,0.0,0.601,0.601
191.0,0.0,0.5922,0.5922
192.0,0.0,0.5886,0.5886
193.0,0.0,0.588,0.588
194.0,0.0,0.5777,0.5777
195.0,0.0,0.5821,0.5821
196.0,0.0,0.5832,0.5832
197.0,0.0,0.5827,0.5827
198.0,0.0,0.6022,0.6022
199.0,0.0,0.5925,0.5925
200.0,0.0,0.5819,0.5819
201.0,0.0,0.5858,0.5858
202.0,0.0,0.5782,0.5782
203.0,0.0,0.5725,0.5725
204.0,0.0,0.5701,0.5701
205.0,0.0,0.575,0.575
206.0,0.0,0.6113,0.6113
207.0,0.0,0.6772,0.6772
208.0,0.0,0.6092,0.6092
209.0,0.0,0.6428,0.6428
210.0,0.0,0.6392,0.6392
211.0,0.0,0.6286,0.6286
212.0,0.0,0.6052,0.6052
213.0,0.0,0.5894,0.5894
214.0,0.0,0.5793,0.5793
215.0,0.0,0.5866,0.5866
216.0,0.0,0.6686,0.6686
217.0,0.0,0.772,0.772
218.0,0.0,0.6268,0.6268
219.0,0.0,0.7076,0.7076
220.0,0.0,0.7311,0.7311
221.0,0.0,0.7307,0.7307
222.0,0.0,0.7163,0.7163
223.0,0.0,0.6771,0.6771
224.0,0.0,0.6308,0.6308
225.0,0.0,0.5988,0.5988
226.0,0.0,0.6102,0.6102
227.0,0.0,0.6751,0.6751
228.0,0.0,0.8717,0.8717
229.0,0.0,0.6781,0.6781
230.0,0.0,0.7432,0.7432
231.0,0.0,0.77,0.77
232.0,0.0,0.7875,0.7875
233.0,0.0,0.7956,0.7956
234.0,0.0,0.7827,0.7827
235.0,0.0,0.7465,0.7465
236.0,0.0,0.704,0.704
237.0,0.0,0.6434,0.6434
238.0,0.0,0.6339,0.6339
239.0,0.0,0.7212,0.7212
240.0,0.0,1.0216,1.0216
241.0,0.0,0.6765,0.6765
242.0,0.0,0.7632,0.7632
243.0,0.0,0.8036,0.8036
244.0,0.0,0.8241,0.8241
245.0,0.0,0.8216,0.8216
246.0,0.0,0.8159,0.8159
247.0,0.0,0.7871,0.7871
248.0,0.0,0.7542,0.7542
249.0,0.0,0.7256,0.7256
250.0,0.0,0.6794,0.6794
251.0,0.0,0.6495,0.6495
252.0,0.0,0.6703,0.6703
253.0,0.0,0.7002,0.7002
254.0,0.0,0.6585,0.6585
255.0,0.0,0.6356,0.6356
256.0,0.0,0.6358,0.6358
257.0,0.0,0.6361,0.6361
258.0,0.0,0.6134,0.6134
259.0,0.0,0.6134,0.6134
260.0,0.0,0.606,0.606
261.0,0.0,0.6123,0.6123
262.0,0.0,0.5978,0.5978
263.0,0.0,0.5866,0.5866
264.0,0.0,0.5847,0.5847
265.0,0.0,0.5759,0.5759
