step,mloss,gloss,loss
1.0,0.0,1.0049,1.0049
2.0,0.0,2.7515,2.7515
3.0,0.0,1.0017,1.0017
4.0,0.0,1.0006,1.0006
5.0,0.0,0.9982,0.9982
6.0,0.0,1.0027,1.0027
7.0,0.0,1.0099,1.0099
8.0,0.0,1.0039,1.0039
9.0,0.0,1.001,1.001
10.0,0.0,0.9973,0.9973
11.0,0.0,1.0069,1.0069
12.0,0.0,1.0103,1.0103
13.0,0.0,1.0009,1.0009
14.0,0.0,1.0019,1.0019
15.0,0.0,1.0035,1.0035
16.0,0.0,1.0019,1.0019
17.0,0.0,0.9985,0.9985
18.0,0.0,1.001,1.001
19.0,0.0,1.0063,1.0063
20.0,0.0,0.9971,0.9971
21.0,0.0,0.9977,0.9977
22.0,0.0,1.0017,1.0017
23.0,0.0,0.9975,0.9975
24.0,0.0,1.0026,1.0026
25.0,0.0,0.9944,0.9944
26.0,0.0,0.9996,0.9996
27.0,0.0,1.0011,1.0011
28.0,0.0,1.0006,1.0006
29.0,0.0,0.9991,0.9991
30.0,0.0,0.9971,0.9971
31.0,0.0,0.9958,0.9958
32.0,0.0,0.9996,0.9996
33.0,0.0,1.0022,1.0022
34.0,0.0,1.002,1.002
35.0,0.0,0.9997,0.9997
36.0,0.0,0.9976,0.9976
37.0,0.0,1.0011,1.0011
38.0,0.0,0.9979,0.9979
39.0,0.0,0.9997,0.9997
40.0,0.0,0.9988,0.9988
41.0,0.0,0.9998,0.9998
42.0,0.0,0.9978,0.9978
43.0,0.0,0.9974,0.9974
44.0,0.0,1.0012,1.0012
45.0,0.0,0.9985,0.9985
46.0,0.0,1.0025,1.0025
47.0,0.0,1.0015,1.0015
48.0,0.0,1.001,1.001
49.0,0.0,0.9951,0.9951
50.0,0.0,0.9947,0.9947
51.0,0.0,1.0032,1.0032
52.0,0.0,0.9996,0.9996
53.0,0.0,1.0001,1.0001
54.0,0.0,0.9994,0.9994
55.0,0.0,0.9981,0.9981
56.0,0.0,1.0006,1.0006
57.0,0.0,1.0001,1.0001
58.0,0.0,1.0,1.0
59.0,0.0,1.0031,1.0031
60.0,0.0,0.9996,0.9996
61.0,0.0,0.9981,0.9981
62.0,0.0,0.9993,0.9993
63.0,0.0,1.0007,1.0007
64.0,0.0,0.9964,0.9964
65.0,0.0,1.0007,1.0007
66.0,0.0,1.0002,1.0002
67.0,0.0,0.9992,0.9992
68.0,0.0,1.0023,1.0023
69.0,0.0,1.0021,1.0021
70.0,0.0,1.0031,1.0031
71.0,0.0,0.9966,0.9966
72.0,0.0,1.0023,1.0023
73.0,0.0,1.001,1.001
74.0,0.0,1.0001,1.0001
75.0,0.0,0.9984,0.9984
76.0,0.0,0.9985,0.9985
77.0,0.0,1.0028,1.0028
78.0,0.0,1.0023,1.0023
79.0,0.0,1.0039,1.0039
80.0,0.0,1.0,1.0
81.0,0.0,0.9993,0.9993
82.0,0.0,0.9985,0.9985
83.0,0.0,0.9971,0.9971
84.0,0.0,1.0038,1.0038
85.0,0.0,1.0012,1.0012
86.0,0.0,1.0016,1.0016
87.0,0.0,1.0012,1.0012
88.0,0.0,1.001,1.001
89.0,0.0,0.9944,0.9944
90.0,0.0,0.9987,0.9987
91.0,0.0,1.0014,1.0014
92.0,0.0,0.9978,0.9978
93.0,0.0,0.9994,0.9994
94.0,0.0,0.9989,0.9989
95.0,0.0,0.9975,0.9975
96.0,0.0,1.0028,1.0028
97.0,0.0,1.0028,1.0028
98.0,0.0,1.0008,1.0008
99.0,0.0,0.9982,0.9982
100.0,0.0,0.999,0.999
101.0,0.0,1.0028,1.0028
102.0,0.0,0.9997,0.9997
103.0,0.0,1.0077,1.0077
104.0,0.0,1.0115,1.0115
105.0,0.0,1.003,1.003
106.0,0.0,0.999,0.999
107.0,0.0,1.0016,1.0016
108.0,0.0,1.0009,1.0009
109.0,0.0,1.0009,1.0009
110.0,0.0,1.0009,1.0009
111.0,0.0,0.9991,0.9991
112.0,0.0,1.0003,1.0003
113.0,0.0,1.0032,1.0032
114.0,0.0,0.9985,0.9985
115.0,0.0,0.9977,0.9977
116.0,0.0,1.0029,1.0029
117.0,0.0,0.9989,0.9989
118.0,0.0,1.0017,1.0017
119.0,0.0,0.9977,0.9977
120.0,0.0,1.0012,1.0012
121.0,0.0,1.0004,1.0004
122.0,0.0,0.9978,0.9978
123.0,0.0,1.0001,1.0001
124.0,0.0,1.0024,1.0024
125.0,0.0,0.9982,0.9982
126.0,0.0,1.0001,1.0001
127.0,0.0,1.0,1.0
128.0,0.0,0.9989,0.9989
129.0,0.0,0.999,0.999
130.0,0.0,0.999,0.999
131.0,0.0,1.0011,1.0011
132.0,0.0,0.9995,0.9995
133.0,0.0,1.0016,1.0016
134.0,0.0,0.9989,0.9989
135.0,0.0,0.9979,0.9979
136.0,0.0,0.9966,0.9966
137.0,0.0,1.0005,1.0005
138.0,0.0,1.004,1.004
139.0,0.0,1.0035,1.0035
140.0,0.0,0.9999,0.9999
141.0,0.0,1.0037,1.0037
142.0,0.0,1.0002,1.0002
143.0,0.0,0.9994,0.9994
144.0,0.0,0.9968,0.9968
145.0,0.0,0.9966,0.9966
146.0,0.0,0.9973,0.9973
147.0,0.0,0.9964,0.9964
148.0,0.0,0.9998,0.9998
149.0,0.0,1.0033,1.0033
150.0,0.0,1.0064,1.0064
151.0,0.0,1.0006,1.0006
152.0,0.0,0.9972,0.9972
153.0,0.0,0.9982,0.9982
154.0,0.0,1.0001,1.0001
155.0,0.0,0.9974,0.9974
156.0,0.0,0.9967,0.9967
157.0,0.0,0.9975,0.9975
158.0,0.0,1.0012,1.0012
159.0,0.0,0.9943,0.9943
160.0,0.0,0.9984,0.9984
161.0,0.0,1.0002,1.0002
162.0,0.0,0.9999,0.9999
163.0,0.0,0.9978,0.9978
164.0,0.0,0.9969,0.9969
165.0,0.0,0.9968,0.9968
166.0,0.0,0.9984,0.9984
167.0,0.0,0.9973,0.9973
168.0,0.0,0.9983,0.9983
169.0,0.0,0.9969,0.9969
170.0,0.0,0.9964,0.9964
171.0,0.0,0.9969,0.9969
172.0,0.0,0.9986,0.9986
173.0,0.0,0.9971,0.9971
174.0,0.0,0.9998,0.9998
175.0,0.0,0.998,0.998
176.0,0.0,0.9966,0.9966
177.0,0.0,0.9954,0.9954
178.0,0.0,0.997,0.997
179.0,0.0,0.9994,0.9994
180.0,0.0,1.016,1.016
181.0,0.0,1.0772,1.0772
182.0,0.0,0.9943,0.9943
183.0,0.0,1.0037,1.0037
184.0,0.0,1.0007,1.0007
185.0,0.0,0.9903,0.9903
186.0,0.0,0.9987,0.9987
187.0,0.0,0.9953,0.9953
188.0,0.0,1.0002,1.0002
189.0,0.0,0.9971,0.9971
190.0,0.0,1.0035,1.0035
191.0,0.0,0.998,0.998
192.0,0.0,1.0007,1.0007
193.0,0.0,1.0007,1.0007
194.0,0.0,0.9942,0.9942
195.0,0.0,0.9943,0.9943
196.0,0.0,0.9955,0.9955
197.0,0.0,0.9953,0.9953
198.0,0.0,0.9953,0.9953
199.0,0.0,0.9991,0.9991
200.0,0.0,0.997,0.997
201.0,0.0,0.9944,0.9944
202.0,0.0,0.9973,0.9973
203.0,0.0,0.9943,0.9943
204.0,0.0,0.9961,0.9961
205.0,0.0,0.9937,0.9937
206.0,0.0,0.9934,0.9934
207.0,0.0,0.9939,0.9939
208.0,0.0,0.9975,0.9975
209.0,0.0,0.9889,0.9889
210.0,0.0,0.9949,0.9949
211.0,0.0,0.9971,0.9971
212.0,0.0,0.9922,0.9922
213.0,0.0,0.9918,0.9918
214.0,0.0,0.9905,0.9905
215.0,0.0,0.9917,0.9917
216.0,0.0,0.9892,0.9892
217.0,0.0,0.9914,0.9914
218.0,0.0,0.993,0.993
219.0,0.0,0.9892,0.9892
220.0,0.0,0.9934,0.9934
221.0,0.0,0.99,0.99
222.0,0.0,0.9937,0.9937
223.0,0.0,0.9889,0.9889
224.0,0.0,0.9906,0.9906
225.0,0.0,0.9979,0.9979
226.0,0.0,0.9886,0.9886
227.0,0.0,0.9871,0.9871
228.0,0.0,0.9887,0.9887
229.0,0.0,0.9929,0.9929
230.0,0.0,0.9828,0.9828
231.0,0.0,0.9859,0.9859
232.0,0.0,0.9886,0.9886
233.0,0.0,0.9888,0.9888
