step,mloss,gloss,loss
1.0,0.0,1.0018,1.0018
2.0,0.0,2.6035,2.6035
3.0,0.0,0.9965,0.9965
4.0,0.0,0.9975,0.9975
5.0,0.0,0.9987,0.9987
6.0,0.0,1.0046,1.0046
7.0,0.0,1.0146,1.0146
8.0,0.0,0.9972,0.9972
9.0,0.0,1.0015,1.0015
10.0,0.0,1.0013,1.0013
11.0,0.0,1.0029,1.0029
12.0,0.0,1.0004,1.0004
13.0,0.0,1.0018,1.0018
14.0,0.0,1.0029,1.0029
15.0,0.0,1.0001,1.0001
16.0,0.0,0.9992,0.9992
17.0,0.0,1.0028,1.0028
18.0,0.0,1.0011,1.0011
19.0,0.0,0.9988,0.9988
20.0,0.0,1.0009,1.0009
21.0,0.0,0.9984,0.9984
22.0,0.0,1.0003,1.0003
23.0,0.0,0.9979,0.9979
24.0,0.0,0.9994,0.9994
25.0,0.0,0.9992,0.9992
26.0,0.0,1.0028,1.0028
27.0,0.0,0.9995,0.9995
28.0,0.0,0.9988,0.9988
29.0,0.0,0.9971,0.9971
30.0,0.0,1.0004,1.0004
31.0,0.0,1.0003,1.0003
32.0,0.0,0.9984,0.9984
33.0,0.0,0.9986,0.9986
34.0,0.0,1.0035,1.0035
35.0,0.0,0.9972,0.9972
36.0,0.0,1.0001,1.0001
37.0,0.0,1.0003,1.0003
38.0,0.0,1.0016,1.0016
39.0,0.0,0.9999,0.9999
40.0,0.0,0.9988,0.9988
41.0,0.0,1.0041,1.0041
42.0,0.0,1.0006,1.0006
43.0,0.0,0.9973,0.9973
44.0,0.0,0.9994,0.9994
45.0,0.0,1.0002,1.0002
46.0,0.0,0.9986,0.9986
47.0,0.0,1.0023,1.0023
48.0,0.0,0.9985,0.9985
49.0,0.0,0.9971,0.9971
50.0,0.0,0.9984,0.9984
51.0,0.0,0.9996,0.9996
52.0,0.0,1.0002,1.0002
53.0,0.0,0.9987,0.9987
54.0,0.0,1.0007,1.0007
55.0,0.0,1.0004,1.0004
56.0,0.0,0.9968,0.9968
57.0,0.0,1.0015,1.0015
58.0,0.0,0.9994,0.9994
59.0,0.0,1.0,1.0
60.0,0.0,0.9992,0.9992
61.0,0.0,1.0019,1.0019
62.0,0.0,1.003,1.003
63.0,0.0,0.9987,0.9987
64.0,0.0,0.9977,0.9977
65.0,0.0,1.003,1.003
66.0,0.0,0.9986,0.9986
67.0,0.0,0.9978,0.9978
68.0,0.0,0.9967,0.9967
69.0,0.0,0.9973,0.9973
70.0,0.0,0.9989,0.9989
71.0,0.0,0.9983,0.9983
72.0,0.0,1.003,1.003
73.0,0.0,1.0002,1.0002
74.0,0.0,0.9975,0.9975
75.0,0.0,1.0039,1.0039
76.0,0.0,0.9981,0.9981
77.0,0.0,1.0006,1.0006
78.0,0.0,1.0046,1.0046
79.0,0.0,0.9992,0.9992
80.0,0.0,1.0022,1.0022
81.0,0.0,1.0004,1.0004
82.0,0.0,1.0013,1.0013
83.0,0.0,0.998,0.998
84.0,0.0,0.9987,0.9987
85.0,0.0,0.9975,0.9975
86.0,0.0,0.9984,0.9984
87.0,0.0,1.0014,1.0014
88.0,0.0,0.9994,0.9994
89.0,0.0,1.0012,1.0012
90.0,0.0,1.0027,1.0027
91.0,0.0,1.0001,1.0001
92.0,0.0,1.0016,1.0016
93.0,0.0,1.0016,1.0016
94.0,0.0,1.0008,1.0008
95.0,0.0,1.0001,1.0001
96.0,0.0,0.9984,0.9984
97.0,0.0,0.9968,0.9968
98.0,0.0,0.9996,0.9996
99.0,0.0,1.0009,1.0009
100.0,0.0,1.005,1.005
101.0,0.0,0.9977,0.9977
102.0,0.0,1.0005,1.0005
103.0,0.0,0.9944,0.9944
104.0,0.0,1.0004,1.0004
105.0,0.0,1.0032,1.0032
106.0,0.0,0.9999,0.9999
107.0,0.0,1.0001,1.0001
108.0,0.0,1.0041,1.0041
109.0,0.0,0.9962,0.9962
110.0,0.0,0.9965,0.9965
111.0,0.0,1.0009,1.0009
112.0,0.0,1.0,1.0
113.0,0.0,0.9975,0.9975
114.0,0.0,1.0016,1.0016
115.0,0.0,0.9965,0.9965
116.0,0.0,0.9994,0.9994
117.0,0.0,0.9945,0.9945
118.0,0.0,0.9987,0.9987
119.0,0.0,0.9988,0.9988
120.0,0.0,0.9981,0.9981
121.0,0.0,0.9972,0.9972
122.0,0.0,1.0009,1.0009
123.0,0.0,0.9981,0.9981
124.0,0.0,1.0002,1.0002
125.0,0.0,0.9996,0.9996
126.0,0.0,0.9955,0.9955
127.0,0.0,0.9992,0.9992
128.0,0.0,0.9976,0.9976
129.0,0.0,0.9964,0.9964
130.0,0.0,0.9976,0.9976
131.0,0.0,0.9961,0.9961
132.0,0.0,0.9989,0.9989
133.0,0.0,0.9993,0.9993
134.0,0.0,0.9969,0.9969
135.0,0.0,0.9955,0.9955
136.0,0.0,0.9986,0.9986
137.0,0.0,1.0019,1.0019
138.0,0.0,0.9986,0.9986
139.0,0.0,1.0021,1.0021
140.0,0.0,0.9988,0.9988
141.0,0.0,1.0013,1.0013
142.0,0.0,1.0009,1.0009
143.0,0.0,0.9999,0.9999
144.0,0.0,0.9967,0.9967
145.0,0.0,0.9974,0.9974
146.0,0.0,1.0012,1.0012
147.0,0.0,1.0015,1.0015
148.0,0.0,1.0007,1.0007
149.0,0.0,0.9947,0.9947
150.0,0.0,1.0012,1.0012
151.0,0.0,1.0035,1.0035
152.0,0.0,0.9967,0.9967
153.0,0.0,0.9986,0.9986
154.0,0.0,0.9985,0.9985
155.0,0.0,0.9986,0.9986
156.0,0.0,0.9994,0.9994
157.0,0.0,0.9966,0.9966
158.0,0.0,1.0006,1.0006
159.0,0.0,0.9995,0.9995
160.0,0.0,0.9986,0.9986
161.0,0.0,1.0029,1.0029
162.0,0.0,0.9993,0.9993
163.0,0.0,0.9967,0.9967
164.0,0.0,0.9965,0.9965
165.0,0.0,0.9968,0.9968
166.0,0.0,0.9994,0.9994
167.0,0.0,0.997,0.997
168.0,0.0,0.9976,0.9976
169.0,0.0,0.9985,0.9985
170.0,0.0,0.9984,0.9984
171.0,0.0,0.9998,0.9998
172.0,0.0,0.998,0.998
173.0,0.0,1.0002,1.0002
174.0,0.0,0.9987,0.9987
175.0,0.0,0.9995,0.9995
176.0,0.0,1.0033,1.0033
177.0,0.0,0.9953,0.9953
178.0,0.0,0.9984,0.9984
179.0,0.0,0.9941,0.9941
180.0,0.0,1.0013,1.0013
181.0,0.0,0.9983,0.9983
182.0,0.0,0.998,0.998
183.0,0.0,0.9965,0.9965
184.0,0.0,0.9992,0.9992
185.0,0.0,0.9983,0.9983
186.0,0.0,0.9999,0.9999
187.0,0.0,1.0027,1.0027
188.0,0.0,0.9963,0.9963
189.0,0.0,0.9957,0.9957
190.0,0.0,0.9959,0.9959
191.0,0.0,0.9998,0.9998
192.0,0.0,0.997,0.997
193.0,0.0,0.9953,0.9953
194.0,0.0,1.0427,1.0427
195.0,0.0,0.9995,0.9995
196.0,0.0,0.9971,0.9971
197.0,0.0,1.001,1.001
198.0,0.0,1.0015,1.0015
199.0,0.0,1.0312,1.0312
200.0,0.0,1.0056,1.0056
201.0,0.0,1.0024,1.0024
202.0,0.0,0.9954,0.9954
203.0,0.0,0.9966,0.9966
204.0,0.0,1.0079,1.0079
205.0,0.0,1.0007,1.0007
206.0,0.0,0.9951,0.9951
207.0,0.0,0.9989,0.9989
208.0,0.0,0.999,0.999
209.0,0.0,0.9984,0.9984
210.0,0.0,0.9957,0.9957
211.0,0.0,1.0,1.0
212.0,0.0,0.9992,0.9992
213.0,0.0,0.9978,0.9978
214.0,0.0,0.9965,0.9965
215.0,0.0,0.9953,0.9953
216.0,0.0,0.9987,0.9987
217.0,0.0,0.9939,0.9939
218.0,0.0,1.0102,1.0102
219.0,0.0,0.9952,0.9952
220.0,0.0,0.9964,0.9964
221.0,0.0,0.9994,0.9994
222.0,0.0,0.9931,0.9931
223.0,0.0,0.9933,0.9933
224.0,0.0,0.9961,0.9961
225.0,0.0,0.997,0.997
226.0,0.0,0.9968,0.9968
227.0,0.0,0.9985,0.9985
228.0,0.0,0.9964,0.9964
229.0,0.0,0.9911,0.9911
230.0,0.0,0.9925,0.9925
231.0,0.0,0.9961,0.9961
232.0,0.0,0.9948,0.9948
233.0,0.0,0.9979,0.9979
234.0,0.0,0.9971,0.9971
235.0,0.0,0.993,0.993
236.0,0.0,0.9951,0.9951
237.0,0.0,0.9938,0.9938
238.0,0.0,0.9905,0.9905
239.0,0.0,0.9944,0.9944
240.0,0.0,0.9925,0.9925
241.0,0.0,0.9973,0.9973
242.0,0.0,0.9945,0.9945
243.0,0.0,1.0571,1.0571
244.0,0.0,0.993,0.993
245.0,0.0,0.9959,0.9959
246.0,0.0,0.9952,0.9952
247.0,0.0,0.993,0.993
248.0,0.0,0.9929,0.9929
249.0,0.0,0.9947,0.9947
250.0,0.0,0.9925,0.9925
251.0,0.0,1.0024,1.0024
252.0,0.0,0.9975,0.9975
253.0,0.0,0.9983,0.9983
254.0,0.0,0.9982,0.9982
255.0,0.0,0.9974,0.9974
