step,mloss,gloss,loss
1.0,0.0,1.001,1.001
2.0,0.0,2.6849,2.6849
3.0,0.0,0.9993,0.9993
4.0,0.0,1.0035,1.0035
5.0,0.0,1.002,1.002
6.0,0.0,1.0001,1.0001
7.0,0.0,1.036,1.036
8.0,0.0,1.0022,1.0022
9.0,0.0,1.002,1.002
10.0,0.0,1.0027,1.0027
11.0,0.0,0.999,0.999
12.0,0.0,1.0012,1.0012
13.0,0.0,1.011,1.011
14.0,0.0,1.0031,1.0031
15.0,0.0,1.0109,1.0109
16.0,0.0,1.0019,1.0019
17.0,0.0,1.006,1.006
18.0,0.0,1.0033,1.0033
19.0,0.0,0.9986,0.9986
20.0,0.0,0.999,0.999
21.0,0.0,1.0049,1.0049
22.0,0.0,1.0022,1.0022
23.0,0.0,1.0048,1.0048
24.0,0.0,1.0047,1.0047
25.0,0.0,1.0021,1.0021
26.0,0.0,1.0006,1.0006
27.0,0.0,1.0005,1.0005
28.0,0.0,1.0006,1.0006
29.0,0.0,1.0021,1.0021
30.0,0.0,1.0,1.0
31.0,0.0,1.0007,1.0007
32.0,0.0,0.9987,0.9987
33.0,0.0,0.9987,0.9987
34.0,0.0,1.0036,1.0036
35.0,0.0,1.0006,1.0006
36.0,0.0,0.9997,0.9997
37.0,0.0,0.9981,0.9981
38.0,0.0,1.0036,1.0036
39.0,0.0,1.0006,1.0006
40.0,0.0,1.0,1.0
41.0,0.0,0.997,0.997
42.0,0.0,0.9961,0.9961
43.0,0.0,0.9976,0.9976
44.0,0.0,0.9996,0.9996
45.0,0.0,1.0008,1.0008
46.0,0.0,0.9985,0.9985
47.0,0.0,0.9991,0.9991
48.0,0.0,1.0021,1.0021
49.0,0.0,0.9964,0.9964
50.0,0.0,0.9991,0.9991
51.0,0.0,1.0012,1.0012
52.0,0.0,1.0028,1.0028
53.0,0.0,0.9994,0.9994
54.0,0.0,0.9978,0.9978
55.0,0.0,1.0034,1.0034
56.0,0.0,0.9999,0.9999
57.0,0.0,0.9978,0.9978
58.0,0.0,1.0019,1.0019
59.0,0.0,1.0042,1.0042
60.0,0.0,0.9982,0.9982
61.0,0.0,0.998,0.998
62.0,0.0,0.998,0.998
63.0,0.0,0.9989,0.9989
64.0,0.0,0.9982,0.9982
65.0,0.0,0.9985,0.9985
66.0,0.0,0.9989,0.9989
67.0,0.0,1.0008,1.0008
68.0,0.0,0.9998,0.9998
69.0,0.0,0.9984,0.9984
70.0,0.0,0.9986,0.9986
71.0,0.0,1.0019,1.0019
72.0,0.0,0.9979,0.9979
73.0,0.0,0.9959,0.9959
74.0,0.0,1.0003,1.0003
75.0,0.0,1.0028,1.0028
76.0,0.0,1.004,1.004
77.0,0.0,1.0036,1.0036
78.0,0.0,0.9988,0.9988
79.0,0.0,0.999,0.999
80.0,0.0,1.0021,1.0021
81.0,0.0,1.003,1.003
82.0,0.0,0.9985,0.9985
83.0,0.0,0.9995,0.9995
84.0,0.0,1.0006,1.0006
85.0,0.0,1.0001,1.0001
86.0,0.0,1.0008,1.0008
87.0,0.0,1.0005,1.0005
88.0,0.0,0.9986,0.9986
89.0,0.0,1.0037,1.0037
90.0,0.0,1.0023,1.0023
91.0,0.0,1.0006,1.0006
92.0,0.0,1.0008,1.0008
93.0,0.0,0.9981,0.9981
94.0,0.0,1.004,1.004
95.0,0.0,0.9995,0.9995
96.0,0.0,1.0009,1.0009
97.0,0.0,0.9995,0.9995
98.0,0.0,0.9981,0.9981
99.0,0.0,1.0,1.0
100.0,0.0,1.0007,1.0007
101.0,0.0,0.9988,0.9988
102.0,0.0,1.0002,1.0002
103.0,0.0,0.9982,0.9982
104.0,0.0,0.9976,0.9976
105.0,0.0,1.0018,1.0018
106.0,0.0,0.9974,0.9974
107.0,0.0,0.9968,0.9968
108.0,0.0,1.0012,1.0012
109.0,0.0,0.9998,0.9998
110.0,0.0,1.0003,1.0003
111.0,0.0,0.9995,0.9995
112.0,0.0,0.9968,0.9968
113.0,0.0,1.0001,1.0001
114.0,0.0,1.002,1.002
115.0,0.0,0.9971,0.9971
116.0,0.0,0.9993,0.9993
