step,mloss,gloss,loss
1.0,0.0,1.0001,1.0001
2.0,0.0,1.9457,1.9457
3.0,0.0,0.9969,0.9969
4.0,0.0,1.0018,1.0018
5.0,0.0,0.9998,0.9998
6.0,0.0,1.0006,1.0006
7.0,0.0,1.0012,1.0012
8.0,0.0,1.0037,1.0037
9.0,0.0,1.0016,1.0016
10.0,0.0,0.9991,0.9991
11.0,0.0,1.0001,1.0001
12.0,0.0,1.002,1.002
13.0,0.0,1.0009,1.0009
14.0,0.0,1.001,1.001
15.0,0.0,0.9989,0.9989
16.0,0.0,0.9984,0.9984
17.0,0.0,0.9978,0.9978
18.0,0.0,1.0022,1.0022
19.0,0.0,0.9968,0.9968
20.0,0.0,1.0013,1.0013
21.0,0.0,1.0005,1.0005
22.0,0.0,1.0024,1.0024
23.0,0.0,0.9997,0.9997
24.0,0.0,0.9996,0.9996
25.0,0.0,1.0006,1.0006
26.0,0.0,0.9985,0.9985
27.0,0.0,0.9986,0.9986
28.0,0.0,0.9984,0.9984
29.0,0.0,0.9968,0.9968
30.0,0.0,0.9996,0.9996
31.0,0.0,1.0015,1.0015
32.0,0.0,1.0013,1.0013
33.0,0.0,0.9977,0.9977
34.0,0.0,1.0051,1.0051
35.0,0.0,0.9973,0.9973
36.0,0.0,0.9978,0.9978
37.0,0.0,0.9967,0.9967
38.0,0.0,1.0013,1.0013
39.0,0.0,1.0038,1.0038
40.0,0.0,0.9941,0.9941
41.0,0.0,1.0002,1.0002
42.0,0.0,0.9995,0.9995
43.0,0.0,1.0007,1.0007
44.0,0.0,0.9992,0.9992
45.0,0.0,0.9951,0.9951
46.0,0.0,0.9936,0.9936
47.0,0.0,0.9993,0.9993
48.0,0.0,1.0041,1.0041
49.0,0.0,0.9985,0.9985
50.0,0.0,1.0052,1.0052
51.0,0.0,1.002,1.002
52.0,0.0,0.9993,0.9993
53.0,0.0,0.9986,0.9986
54.0,0.0,0.9976,0.9976
55.0,0.0,0.997,0.997
56.0,0.0,0.9985,0.9985
57.0,0.0,1.0004,1.0004
58.0,0.0,0.9971,0.9971
59.0,0.0,0.9937,0.9937
60.0,0.0,1.0009,1.0009
61.0,0.0,1.0016,1.0016
62.0,0.0,0.9976,0.9976
63.0,0.0,0.9994,0.9994
64.0,0.0,0.9965,0.9965
65.0,0.0,0.9974,0.9974
66.0,0.0,1.0156,1.0156
67.0,0.0,1.0009,1.0009
68.0,0.0,0.9963,0.9963
69.0,0.0,1.0002,1.0002
70.0,0.0,0.9975,0.9975
71.0,0.0,1.0005,1.0005
72.0,0.0,0.9993,0.9993
73.0,0.0,1.0006,1.0006
74.0,0.0,1.0004,1.0004
75.0,0.0,0.9983,0.9983
76.0,0.0,1.0036,1.0036
77.0,0.0,0.9988,0.9988
78.0,0.0,1.0007,1.0007
79.0,0.0,1.0013,1.0013
80.0,0.0,1.0058,1.0058
81.0,0.0,1.0015,1.0015
82.0,0.0,0.9995,0.9995
83.0,0.0,0.9973,0.9973
84.0,0.0,1.0017,1.0017
85.0,0.0,0.9995,0.9995
86.0,0.0,0.997,0.997
87.0,0.0,1.0034,1.0034
88.0,0.0,0.9956,0.9956
89.0,0.0,0.998,0.998
90.0,0.0,1.0,1.0
91.0,0.0,0.9959,0.9959
92.0,0.0,0.9917,0.9917
93.0,0.0,1.0032,1.0032
94.0,0.0,1.0,1.0
95.0,0.0,1.0016,1.0016
96.0,0.0,0.9965,0.9965
97.0,0.0,0.9978,0.9978
98.0,0.0,1.0029,1.0029
99.0,0.0,0.9998,0.9998
100.0,0.0,0.998,0.998
101.0,0.0,0.9992,0.9992
102.0,0.0,0.9955,0.9955
103.0,0.0,1.0015,1.0015
104.0,0.0,0.9977,0.9977
105.0,0.0,1.0008,1.0008
106.0,0.0,1.0008,1.0008
107.0,0.0,0.9983,0.9983
108.0,0.0,0.9966,0.9966
109.0,0.0,0.9964,0.9964
110.0,0.0,1.0003,1.0003
111.0,0.0,0.9995,0.9995
112.0,0.0,0.9987,0.9987
113.0,0.0,0.9995,0.9995
114.0,0.0,0.9986,0.9986
115.0,0.0,0.9973,0.9973
116.0,0.0,1.0017,1.0017
117.0,0.0,0.9972,0.9972
118.0,0.0,1.0025,1.0025
119.0,0.0,0.9978,0.9978
120.0,0.0,1.0064,1.0064
121.0,0.0,1.0019,1.0019
122.0,0.0,0.9999,0.9999
123.0,0.0,0.9995,0.9995
124.0,0.0,0.9986,0.9986
125.0,0.0,0.9984,0.9984
126.0,0.0,0.9975,0.9975
127.0,0.0,0.9982,0.9982
128.0,0.0,1.001,1.001
129.0,0.0,0.9994,0.9994
130.0,0.0,1.0018,1.0018
131.0,0.0,1.0023,1.0023
132.0,0.0,1.0023,1.0023
133.0,0.0,1.0041,1.0041
134.0,0.0,1.0025,1.0025
135.0,0.0,0.9993,0.9993
136.0,0.0,1.0002,1.0002
137.0,0.0,1.001,1.001
138.0,0.0,1.0006,1.0006
139.0,0.0,1.0022,1.0022
140.0,0.0,1.0002,1.0002
141.0,0.0,0.9996,0.9996
142.0,0.0,1.0006,1.0006
143.0,0.0,0.9973,0.9973
144.0,0.0,0.9995,0.9995
145.0,0.0,1.0014,1.0014
146.0,0.0,1.0025,1.0025
147.0,0.0,1.0007,1.0007
148.0,0.0,1.0001,1.0001
149.0,0.0,0.9996,0.9996
150.0,0.0,1.0005,1.0005
151.0,0.0,1.0019,1.0019
152.0,0.0,1.0014,1.0014
153.0,0.0,0.9964,0.9964
154.0,0.0,0.9993,0.9993
155.0,0.0,0.9977,0.9977
156.0,0.0,0.9992,0.9992
157.0,0.0,1.0033,1.0033
158.0,0.0,0.9993,0.9993
159.0,0.0,1.0001,1.0001
160.0,0.0,0.9992,0.9992
161.0,0.0,0.9992,0.9992
162.0,0.0,0.9944,0.9944
163.0,0.0,0.9953,0.9953
164.0,0.0,1.0012,1.0012
165.0,0.0,0.9981,0.9981
166.0,0.0,0.9989,0.9989
167.0,0.0,1.0008,1.0008
168.0,0.0,1.0013,1.0013
169.0,0.0,0.9991,0.9991
170.0,0.0,1.0014,1.0014
171.0,0.0,0.9984,0.9984
172.0,0.0,1.0001,1.0001
173.0,0.0,0.9993,0.9993
174.0,0.0,1.0025,1.0025
175.0,0.0,1.0003,1.0003
176.0,0.0,0.9989,0.9989
177.0,0.0,0.998,0.998
178.0,0.0,0.9979,0.9979
179.0,0.0,1.002,1.002
180.0,0.0,1.0016,1.0016
181.0,0.0,1.0005,1.0005
182.0,0.0,0.9973,0.9973
183.0,0.0,0.9992,0.9992
184.0,0.0,0.9987,0.9987
185.0,0.0,1.0012,1.0012
186.0,0.0,1.0012,1.0012
187.0,0.0,0.9986,0.9986
188.0,0.0,0.9937,0.9937
189.0,0.0,0.9973,0.9973
190.0,0.0,0.9996,0.9996
191.0,0.0,0.997,0.997
192.0,0.0,1.0017,1.0017
193.0,0.0,0.9987,0.9987
194.0,0.0,0.9981,0.9981
