step,mloss,gloss,loss
1.0,0.0,1.0025,1.0025
2.0,0.0,1.7703,1.7703
3.0,0.0,0.9987,0.9987
4.0,0.0,1.0017,1.0017
5.0,0.0,0.9972,0.9972
6.0,0.0,1.0016,1.0016
7.0,0.0,1.0283,1.0283
8.0,0.0,1.0008,1.0008
9.0,0.0,1.0034,1.0034
10.0,0.0,1.0232,1.0232
11.0,0.0,1.0057,1.0057
12.0,0.0,1.0053,1.0053
13.0,0.0,1.0061,1.0061
14.0,0.0,1.0004,1.0004
15.0,0.0,1.0027,1.0027
16.0,0.0,1.0013,1.0013
17.0,0.0,0.9999,0.9999
18.0,0.0,1.0018,1.0018
19.0,0.0,0.9977,0.9977
20.0,0.0,1.001,1.001
21.0,0.0,1.0021,1.0021
22.0,0.0,1.0,1.0
23.0,0.0,1.0009,1.0009
24.0,0.0,0.998,0.998
25.0,0.0,1.0009,1.0009
26.0,0.0,0.998,0.998
27.0,0.0,0.9995,0.9995
28.0,0.0,0.9982,0.9982
29.0,0.0,0.9989,0.9989
30.0,0.0,0.9987,0.9987
31.0,0.0,0.9985,0.9985
32.0,0.0,0.9998,0.9998
33.0,0.0,0.9992,0.9992
34.0,0.0,0.9988,0.9988
35.0,0.0,1.0031,1.0031
36.0,0.0,1.0001,1.0001
37.0,0.0,0.9982,0.9982
38.0,0.0,1.0019,1.0019
39.0,0.0,1.0017,1.0017
40.0,0.0,0.9996,0.9996
41.0,0.0,0.9968,0.9968
42.0,0.0,0.998,0.998
43.0,0.0,0.9997,0.9997
44.0,0.0,0.9985,0.9985
45.0,0.0,1.0016,1.0016
46.0,0.0,1.0015,1.0015
47.0,0.0,1.0002,1.0002
48.0,0.0,1.0042,1.0042
49.0,0.0,1.0035,1.0035
50.0,0.0,0.9992,0.9992
51.0,0.0,0.9936,0.9936
52.0,0.0,0.9966,0.9966
53.0,0.0,1.001,1.001
54.0,0.0,1.0014,1.0014
55.0,0.0,0.9985,0.9985
56.0,0.0,0.9967,0.9967
57.0,0.0,1.0002,1.0002
58.0,0.0,0.9977,0.9977
59.0,0.0,1.0005,1.0005
60.0,0.0,1.0018,1.0018
61.0,0.0,1.0015,1.0015
62.0,0.0,0.9973,0.9973
63.0,0.0,0.9987,0.9987
64.0,0.0,1.0001,1.0001
65.0,0.0,1.0019,1.0019
66.0,0.0,0.9969,0.9969
67.0,0.0,0.9997,0.9997
68.0,0.0,0.9992,0.9992
69.0,0.0,0.9993,0.9993
70.0,0.0,0.999,0.999
71.0,0.0,0.9973,0.9973
72.0,0.0,1.0013,1.0013
73.0,0.0,0.9971,0.9971
74.0,0.0,1.0011,1.0011
75.0,0.0,0.9988,0.9988
76.0,0.0,0.9979,0.9979
77.0,0.0,1.0008,1.0008
78.0,0.0,1.0004,1.0004
79.0,0.0,0.9995,0.9995
80.0,0.0,1.0024,1.0024
81.0,0.0,1.0036,1.0036
82.0,0.0,1.0006,1.0006
83.0,0.0,0.9998,0.9998
84.0,0.0,1.0019,1.0019
85.0,0.0,0.9998,0.9998
86.0,0.0,0.999,0.999
87.0,0.0,1.001,1.001
88.0,0.0,0.995,0.995
89.0,0.0,0.9976,0.9976
90.0,0.0,1.001,1.001
91.0,0.0,1.0007,1.0007
92.0,0.0,1.0013,1.0013
93.0,0.0,1.0013,1.0013
94.0,0.0,1.0001,1.0001
95.0,0.0,0.9963,0.9963
96.0,0.0,0.9979,0.9979
97.0,0.0,0.9956,0.9956
98.0,0.0,0.9975,0.9975
99.0,0.0,1.0007,1.0007
100.0,0.0,0.9979,0.9979
101.0,0.0,0.9991,0.9991
102.0,0.0,0.9963,0.9963
103.0,0.0,0.9988,0.9988
104.0,0.0,0.9965,0.9965
105.0,0.0,0.9999,0.9999
106.0,0.0,0.9968,0.9968
107.0,0.0,0.9928,0.9928
108.0,0.0,0.9962,0.9962
109.0,0.0,0.9992,0.9992
110.0,0.0,0.9977,0.9977
111.0,0.0,0.9963,0.9963
112.0,0.0,0.9956,0.9956
113.0,0.0,0.9962,0.9962
114.0,0.0,0.9955,0.9955
115.0,0.0,0.9931,0.9931
116.0,0.0,0.9958,0.9958
117.0,0.0,0.9948,0.9948
118.0,0.0,0.9928,0.9928
119.0,0.0,0.9905,0.9905
120.0,0.0,0.9971,0.9971
121.0,0.0,0.9995,0.9995
122.0,0.0,0.993,0.993
123.0,0.0,0.9944,0.9944
124.0,0.0,0.9904,0.9904
125.0,0.0,0.9954,0.9954
126.0,0.0,0.9932,0.9932
127.0,0.0,1.0003,1.0003
128.0,0.0,0.9882,0.9882
129.0,0.0,0.9951,0.9951
130.0,0.0,0.9953,0.9953
131.0,0.0,0.9943,0.9943
132.0,0.0,0.9939,0.9939
133.0,0.0,0.9945,0.9945
134.0,0.0,0.9901,0.9901
135.0,0.0,0.9925,0.9925
136.0,0.0,0.9941,0.9941
137.0,0.0,0.9904,0.9904
138.0,0.0,0.9847,0.9847
139.0,0.0,0.9883,0.9883
140.0,0.0,0.9941,0.9941
141.0,0.0,0.9922,0.9922
142.0,0.0,0.991,0.991
143.0,0.0,0.9922,0.9922
144.0,0.0,0.9909,0.9909
145.0,0.0,0.9899,0.9899
146.0,0.0,0.9917,0.9917
147.0,0.0,0.9913,0.9913
148.0,0.0,0.9906,0.9906
149.0,0.0,0.9901,0.9901
150.0,0.0,0.9937,0.9937
151.0,0.0,0.9882,0.9882
152.0,0.0,0.9841,0.9841
153.0,0.0,0.9889,0.9889
154.0,0.0,0.9833,0.9833
155.0,0.0,0.9826,0.9826
156.0,0.0,0.9829,0.9829
157.0,0.0,0.9829,0.9829
158.0,0.0,0.9815,0.9815
159.0,0.0,0.9786,0.9786
160.0,0.0,0.9866,0.9866
161.0,0.0,0.9827,0.9827
162.0,0.0,0.9843,0.9843
163.0,0.0,0.9787,0.9787
164.0,0.0,0.9765,0.9765
165.0,0.0,0.978,0.978
166.0,0.0,0.98,0.98
167.0,0.0,0.9733,0.9733
168.0,0.0,0.9733,0.9733
169.0,0.0,0.9766,0.9766
170.0,0.0,0.9724,0.9724
171.0,0.0,0.9767,0.9767
172.0,0.0,0.9762,0.9762
173.0,0.0,0.9775,0.9775
174.0,0.0,0.9767,0.9767
175.0,0.0,0.9785,0.9785
176.0,0.0,0.9773,0.9773
177.0,0.0,0.9722,0.9722
178.0,0.0,0.9663,0.9663
179.0,0.0,0.9704,0.9704
180.0,0.0,0.969,0.969
181.0,0.0,0.9707,0.9707
182.0,0.0,0.9663,0.9663
183.0,0.0,0.9682,0.9682
184.0,0.0,0.9718,0.9718
185.0,0.0,0.9658,0.9658
186.0,0.0,0.9608,0.9608
187.0,0.0,0.9629,0.9629
188.0,0.0,0.9633,0.9633
189.0,0.0,0.9604,0.9604
190.0,0.0,0.9622,0.9622
191.0,0.0,0.9587,0.9587
192.0,0.0,0.9566,0.9566
193.0,0.0,0.9578,0.9578
194.0,0.0,0.9557,0.9557
195.0,0.0,0.9551,0.9551
196.0,0.0,0.9568,0.9568
197.0,0.0,0.9525,0.9525
198.0,0.0,0.9573,0.9573
199.0,0.0,0.9539,0.9539
200.0,0.0,0.966,0.966
201.0,0.0,0.9606,0.9606
202.0,0.0,0.9531,0.9531
203.0,0.0,0.9573,0.9573
204.0,0.0,0.9474,0.9474
205.0,0.0,0.9501,0.9501
206.0,0.0,0.9553,0.9553
207.0,0.0,0.9584,0.9584
208.0,0.0,0.9494,0.9494
209.0,0.0,0.9498,0.9498
210.0,0.0,0.9506,0.9506
211.0,0.0,0.9466,0.9466
212.0,0.0,0.9517,0.9517
213.0,0.0,0.953,0.953
214.0,0.0,0.9509,0.9509
215.0,0.0,0.9438,0.9438
216.0,0.0,0.946,0.946
217.0,0.0,0.9477,0.9477
218.0,0.0,0.9464,0.9464
219.0,0.0,0.9419,0.9419
220.0,0.0,0.9417,0.9417
221.0,0.0,0.9413,0.9413
222.0,0.0,0.9435,0.9435
223.0,0.0,0.9339,0.9339
224.0,0.0,0.9392,0.9392
225.0,0.0,0.9424,0.9424
226.0,0.0,0.9424,0.9424
227.0,0.0,0.935,0.935
228.0,0.0,0.9366,0.9366
229.0,0.0,0.9366,0.9366
230.0,0.0,0.932,0.932
231.0,0.0,0.9341,0.9341
232.0,0.0,0.9305,0.9305
233.0,0.0,0.9307,0.9307
234.0,0.0,0.929,0.929
235.0,0.0,0.9326,0.9326
236.0,0.0,0.9264,0.9264
237.0,0.0,0.9265,0.9265
238.0,0.0,0.9243,0.9243
239.0,0.0,0.9264,0.9264
240.0,0.0,0.9348,0.9348
241.0,0.0,0.9214,0.9214
242.0,0.0,0.9314,0.9314
243.0,0.0,0.9231,0.9231
244.0,0.0,0.9212,0.9212
245.0,0.0,0.9276,0.9276
246.0,0.0,0.9234,0.9234
247.0,0.0,0.9205,0.9205
248.0,0.0,0.9153,0.9153
249.0,0.0,0.9137,0.9137
250.0,0.0,0.9159,0.9159
251.0,0.0,0.9115,0.9115
252.0,0.0,0.9139,0.9139
253.0,0.0,0.9189,0.9189
254.0,0.0,0.9179,0.9179
255.0,0.0,0.9201,0.9201
256.0,0.0,0.9105,0.9105
257.0,0.0,0.9145,0.9145
258.0,0.0,0.9092,0.9092
259.0,0.0,0.9154,0.9154
260.0,0.0,0.9135,0.9135
261.0,0.0,0.9101,0.9101
262.0,0.0,0.9124,0.9124
263.0,0.0,0.9133,0.9133
264.0,0.0,0.9161,0.9161
265.0,0.0,0.9094,0.9094
266.0,0.0,0.91,0.91
267.0,0.0,0.91,0.91
268.0,0.0,0.9077,0.9077
269.0,0.0,0.9089,0.9089
270.0,0.0,0.9099,0.9099
271.0,0.0,0.9055,0.9055
272.0,0.0,0.9034,0.9034
273.0,0.0,0.9008,0.9008
274.0,0.0,0.9063,0.9063
275.0,0.0,0.9027,0.9027
276.0,0.0,0.9082,0.9082
277.0,0.0,0.8998,0.8998
278.0,0.0,0.8968,0.8968
279.0,0.0,0.9015,0.9015
280.0,0.0,0.8948,0.8948
281.0,0.0,0.9007,0.9007
282.0,0.0,0.8981,0.8981
283.0,0.0,0.9038,0.9038
284.0,0.0,0.8985,0.8985
285.0,0.0,0.8975,0.8975
286.0,0.0,0.8986,0.8986
287.0,0.0,0.8989,0.8989
288.0,0.0,0.8971,0.8971
289.0,0.0,0.9074,0.9074
290.0,0.0,0.8929,0.8929
291.0,0.0,0.8949,0.8949
292.0,0.0,0.8998,0.8998
293.0,0.0,0.8935,0.8935
294.0,0.0,0.8913,0.8913
295.0,0.0,0.8865,0.8865
296.0,0.0,0.9007,0.9007
297.0,0.0,0.8933,0.8933
298.0,0.0,0.8937,0.8937
299.0,0.0,0.8917,0.8917
300.0,0.0,0.8859,0.8859
301.0,0.0,0.8849,0.8849
302.0,0.0,0.8887,0.8887
303.0,0.0,0.8849,0.8849
304.0,0.0,0.8856,0.8856
305.0,0.0,0.8884,0.8884
306.0,0.0,0.8914,0.8914
307.0,0.0,0.8871,0.8871
308.0,0.0,0.8872,0.8872
309.0,0.0,0.8899,0.8899
310.0,0.0,0.8814,0.8814
311.0,0.0,0.8832,0.8832
312.0,0.0,0.8836,0.8836
313.0,0.0,0.8829,0.8829
314.0,0.0,0.8785,0.8785
315.0,0.0,0.8856,0.8856
316.0,0.0,0.8901,0.8901
317.0,0.0,0.8928,0.8928
318.0,0.0,0.8849,0.8849
319.0,0.0,0.883,0.883
320.0,0.0,0.8774,0.8774
321.0,0.0,0.881,0.881
322.0,0.0,0.8834,0.8834
323.0,0.0,0.8843,0.8843
324.0,0.0,0.8799,0.8799
325.0,0.0,0.8817,0.8817
326.0,0.0,0.8781,0.8781
327.0,0.0,0.8698,0.8698
328.0,0.0,0.8751,0.8751
329.0,0.0,0.88,0.88
330.0,0.0,0.873,0.873
331.0,0.0,0.8739,0.8739
332.0,0.0,0.8722,0.8722
333.0,0.0,0.8751,0.8751
334.0,0.0,0.8676,0.8676
335.0,0.0,0.874,0.874
336.0,0.0,0.8884,0.8884
337.0,0.0,0.8805,0.8805
338.0,0.0,0.8812,0.8812
339.0,0.0,0.8788,0.8788
340.0,0.0,0.8719,0.8719
341.0,0.0,0.8659,0.8659
342.0,0.0,0.8732,0.8732
343.0,0.0,0.8792,0.8792
344.0,0.0,0.8776,0.8776
345.0,0.0,0.8783,0.8783
346.0,0.0,0.8723,0.8723
347.0,0.0,0.8672,0.8672
348.0,0.0,0.8654,0.8654
349.0,0.0,0.8708,0.8708
350.0,0.0,0.8757,0.8757
351.0,0.0,0.8703,0.8703
352.0,0.0,0.8693,0.8693
353.0,0.0,0.8669,0.8669
354.0,0.0,0.8677,0.8677
355.0,0.0,0.8673,0.8673
356.0,0.0,0.8608,0.8608
357.0,0.0,0.8695,0.8695
358.0,0.0,0.869,0.869
359.0,0.0,0.8684,0.8684
360.0,0.0,0.8677,0.8677
361.0,0.0,0.8678,0.8678
362.0,0.0,0.8663,0.8663
363.0,0.0,0.8587,0.8587
364.0,0.0,0.8602,0.8602
365.0,0.0,0.8617,0.8617
366.0,0.0,0.8702,0.8702
367.0,0.0,0.8702,0.8702
368.0,0.0,0.8575,0.8575
369.0,0.0,0.865,0.865
370.0,0.0,0.8587,0.8587
371.0,0.0,0.8579,0.8579
372.0,0.0,0.8644,0.8644
373.0,0.0,0.8562,0.8562
374.0,0.0,0.86,0.86
375.0,0.0,0.8554,0.8554
376.0,0.0,0.8503,0.8503
377.0,0.0,0.8562,0.8562
378.0,0.0,0.8528,0.8528
379.0,0.0,0.8498,0.8498
380.0,0.0,0.8495,0.8495
381.0,0.0,0.8575,0.8575
382.0,0.0,0.8499,0.8499
383.0,0.0,0.8481,0.8481
384.0,0.0,0.8475,0.8475
385.0,0.0,0.8504,0.8504
386.0,0.0,0.8448,0.8448
387.0,0.0,0.851,0.851
388.0,0.0,0.8456,0.8456
389.0,0.0,0.8407,0.8407
390.0,0.0,0.8477,0.8477
391.0,0.0,0.8481,0.8481
