age,fnlwgt,education.num,capital.gain,capital.loss,hours.per.week,workclass,education,marital.status,occupation,relationship,race,sex,native.country,income
17.0,12285.0,16.0,99999.0,4356.0,99.0, Never-worked, 10th, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Female, Cambodia, >50K
90.0,12285.0,16.0,99999.0,4356.0,99.0, Never-worked, 1st-4th, Married-civ-spouse, ?, Husband, Amer-Indian-Eskimo, Female, Cambodia, >50K
90.0,12285.0,16.0,99999.0,4356.0,99.0, ?, 10th, Married-AF-spouse, Craft-repair, Other-relative, Amer-Indian-Eskimo, Female, Cambodia, >50K
17.0,12285.0,16.0,99999.0,0.0,1.0, Federal-gov, 10th, Never-married, ?, Husband, Amer-Indian-Eskimo, Female, Columbia, >50K
17.0,12285.0,16.0,99999.0,0.0,1.0, ?, 11th, Married-spouse-absent, Adm-clerical, Husband, Amer-Indian-Eskimo, Female, Cambodia, >50K
90.0,12285.0,16.0,99999.0,0.0,1.0, Local-gov, 11th, Married-AF-spouse, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female, ?, >50K
17.0,12285.0,16.0,99999.0,0.0,99.0, Local-gov, 11th, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female, ?, >50K
90.0,12285.0,16.0,99999.0,0.0,1.0, ?, 11th, Divorced, ?, Husband, Asian-Pac-Islander, Female, ?, >50K
90.0,12285.0,15.0,99999.0,0.0,99.0, ?, 11th, Married-AF-spouse, Armed-Forces, Husband, Black, Female, Canada, >50K
90.0,12285.0,16.0,99999.0,4356.0,99.0, ?, 12th, Widowed, ?, Other-relative, Asian-Pac-Islander, Female, ?, >50K
17.0,12285.0,16.0,99999.0,0.0,1.0, Never-worked, 11th, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Female, ?, >50K
90.0,12285.0,1.0,99999.0,4356.0,99.0, Local-gov, 10th, Divorced, Craft-repair, Husband, Amer-Indian-Eskimo, Female, ?, >50K
90.0,12285.0,2.0,99999.0,0.0,99.0, Federal-gov, 12th, Divorced, Armed-Forces, Other-relative, Other, Female, ?, >50K
90.0,12285.0,16.0,99999.0,0.0,99.0, Local-gov, 11th, Divorced, ?, Not-in-family, Asian-Pac-Islander, Female, Columbia, >50K
90.0,12285.0,16.0,99999.0,4355.258,99.0, Private, 10th, Married-AF-spouse, Armed-Forces, Wife, Amer-Indian-Eskimo, Male, Cambodia, >50K
17.0,1484705.0,16.0,99999.0,0.0,1.0, Local-gov, 10th, Divorced, Adm-clerical, Other-relative, Amer-Indian-Eskimo, Male, ?, >50K
90.0,1484705.0,16.0,99999.0,0.0,1.0, ?, 11th, Married-AF-spouse, ?, Husband, Amer-Indian-Eskimo, Female, Cambodia, >50K
90.0,12285.0,16.0,99999.0,4356.0,1.0, Never-worked, 10th, Married-AF-spouse, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female, ?, >50K
90.0,12285.0,16.0,99999.0,0.0,99.0, Federal-gov, 11th, Never-married, ?, Husband, Asian-Pac-Islander, Male, Cuba, >50K
17.0,12285.0,16.0,99999.0,0.0,99.0, Never-worked, 10th, Married-civ-spouse, Armed-Forces, Husband, Amer-Indian-Eskimo, Female, El-Salvador, >50K
90.0,12285.0,16.0,99999.0,0.0,99.0, Federal-gov, 5th-6th, Divorced, ?, Husband, Asian-Pac-Islander, Female, China, >50K
90.0,12285.0,1.0,99999.0,0.0,1.0, ?, 1st-4th, Married-civ-spouse, ?, Unmarried, Asian-Pac-Islander, Female, ?, >50K
17.0,12285.0,16.0,99999.0,0.0,99.0, Federal-gov, 11th, Never-married, Adm-clerical, Not-in-family, Other, Female, Cambodia, >50K
90.0,1484705.0,16.0,99999.0,0.0,99.0, Local-gov, 10th, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female, ?, >50K
90.0,12285.0,16.0,99999.0,4356.0,1.0, Private, 11th, Married-AF-spouse, ?, Not-in-family, Amer-Indian-Eskimo, Male, China, >50K
90.0,12285.0,16.0,99999.0,0.0,1.0, Federal-gov, Assoc-acdm, Married-AF-spouse, ?, Unmarried, Amer-Indian-Eskimo, Male, ?, >50K
17.0,12285.0,16.0,99999.0,0.0,1.0, ?, 12th, Divorced, ?, Husband, Asian-Pac-Islander, Female, Cambodia, >50K
90.0,12285.0,16.0,99999.0,0.0,1.0, ?, 1st-4th, Never-married, ?, Not-in-family, Asian-Pac-Islander, Female, ?, >50K
90.0,12285.0,16.0,99999.0,0.0,1.0, Self-emp-not-inc, 1st-4th, Married-civ-spouse, ?, Husband, Amer-Indian-Eskimo, Male, China, >50K
90.0,12285.0,16.0,99999.0,0.0,1.0, Never-worked, 10th, Divorced, ?, Not-in-family, Asian-Pac-Islander, Male, ?, >50K
90.0,12285.0,16.0,99999.0,0.0,1.0, ?, 5th-6th, Married-civ-spouse, ?, Wife, Asian-Pac-Islander, Female, ?, >50K
90.0,12285.0,1.0,99999.0,4356.0,99.0, Local-gov, 11th, Married-AF-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male, Canada, >50K
90.0,12285.0,16.0,99999.0,0.0,1.0, ?, 5th-6th, Divorced, ?, Husband, Asian-Pac-Islander, Female, Cambodia, >50K
