age,fnlwgt,education.num,capital.gain,capital.loss,hours.per.week,workclass,education,marital.status,occupation,relationship,race,sex,native.country,income
90.0,12285.0,3.0,99999.0,0.0,99.0, ?, 11th, Married-civ-spouse, Armed-Forces, Husband, Black, Male, Cambodia, <=50K
90.0,12285.0,1.0,99999.0,0.0,99.0, Federal-gov, 7th-8th, Widowed, Adm-clerical, Husband, Amer-Indian-Eskimo, Female, Cambodia, >50K
90.0,1484705.0,14.0,0.0,0.0,1.0, Federal-gov, 12th, Married-AF-spouse, ?, Husband, Amer-Indian-Eskimo, Female, ?, >50K
90.0,12285.0,16.0,0.0,0.0,1.0, Federal-gov, 10th, Married-AF-spouse, Armed-Forces, Husband, Amer-Indian-Eskimo, Female, Canada, >50K
90.0,12285.0,1.0,99999.0,0.0,99.0, ?, 10th, Married-AF-spouse, Exec-managerial, Husband, White, Female, Cambodia, >50K
90.0,12285.0,16.0,0.0,0.0,1.0, Federal-gov, 11th, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female, ?, >50K
77.10308,12285.0,16.0,0.0,0.0,99.0, ?, 10th, Divorced, ?, Other-relative, Amer-Indian-Eskimo, Female, Cambodia, >50K
17.0,12285.0,16.0,99999.0,0.0,99.0, Federal-gov, 11th, Never-married, Armed-Forces, Other-relative, Asian-Pac-Islander, Female, Cambodia, >50K
90.0,1484705.0,16.0,99999.0,0.0,99.0, Local-gov, 10th, Married-civ-spouse, Armed-Forces, Other-relative, Other, Female, Canada, >50K
90.0,1484705.0,16.0,99999.0,0.0,99.0, ?, 12th, Divorced, ?, Husband, Asian-Pac-Islander, Male, China, >50K
90.0,12314.731,16.0,99999.0,0.0,1.0, ?, 11th, Married-civ-spouse, Exec-managerial, Other-relative, Asian-Pac-Islander, Female, Cambodia, >50K
90.0,985838.0,1.0,99999.0,0.0,1.0, Federal-gov, 10th, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female, ?, >50K
90.0,20412.35,16.0,99999.0,0.0,1.0, ?, 10th, Married-civ-spouse, ?, Husband, Amer-Indian-Eskimo, Female, ?, >50K
90.0,23970.184,1.0,99999.0,0.0,1.0, ?, 12th, Married-AF-spouse, Adm-clerical, Other-relative, Amer-Indian-Eskimo, Female, Cambodia, >50K
90.0,12285.0,13.0,99999.0,0.0,99.0, ?, 10th, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female, Cuba, >50K
90.0,12285.0,1.0,0.0,0.0,1.0, ?, 11th, Married-AF-spouse, ?, Not-in-family, Amer-Indian-Eskimo, Female, Cambodia, >50K
90.0,12285.0,1.0,99999.0,0.0,99.0, ?, 10th, Married-civ-spouse, ?, Husband, Amer-Indian-Eskimo, Female, ?, >50K
90.0,12285.0,1.0,99999.0,0.0,1.0, Federal-gov, 12th, Divorced, ?, Not-in-family, Asian-Pac-Islander, Female, Cambodia, >50K
90.0,12285.0,1.0,99999.0,0.0,99.0, ?, 12th, Married-AF-spouse, Armed-Forces, Husband, Black, Female, Cambodia, >50K
90.0,12285.0,1.0,99999.0,0.0,99.0, ?, 12th, Married-AF-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, ?, >50K
90.0,1484705.0,16.0,99999.0,0.0,1.0, ?, 12th, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female, ?, >50K
90.0,12285.0,16.0,99999.0,0.0,99.0, Federal-gov, 10th, Married-AF-spouse, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female, ?, >50K
17.0,1484705.0,1.0,99999.0,0.0,1.0, Federal-gov, 1st-4th, Married-spouse-absent, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female, Cambodia, >50K
90.0,12285.0,1.0,99999.0,0.0,1.0, Without-pay, 10th, Divorced, Adm-clerical, Own-child, Asian-Pac-Islander, Female, Columbia, >50K
23.0,19644.783,16.0,99999.0,4356.0,99.0, Federal-gov, 1st-4th, Divorced, ?, Husband, Asian-Pac-Islander, Female, Canada, >50K
17.0,1484705.0,1.2359543,99999.0,0.0,1.0, ?, 10th, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female, ?, >50K
90.0,1483872.4,1.0,99999.0,0.0,99.0, Federal-gov, 1st-4th, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female, ?, <=50K
90.0,1484705.0,9.0,99999.0,0.0,99.0, ?, 12th, Married-AF-spouse, Exec-managerial, Other-relative, Asian-Pac-Islander, Female, ?, >50K
90.0,1484705.0,1.0,0.0,0.0,99.0, ?, 11th, Divorced, ?, Husband, Amer-Indian-Eskimo, Male, China, >50K
90.0,12285.0,9.0,99999.0,0.0,99.0, Local-gov, 10th, Married-AF-spouse, ?, Husband, Black, Female, ?, >50K
17.0,12285.0,16.0,0.0,0.0,99.0, ?, 11th, Divorced, Adm-clerical, Own-child, Asian-Pac-Islander, Female, Canada, >50K
90.0,12285.0,16.0,0.0,0.0,99.0, ?, 10th, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female, ?, >50K
90.0,1484705.0,1.0,99999.0,0.0,99.0, ?, 10th, Divorced, ?, Husband, Asian-Pac-Islander, Female, ?, >50K
90.0,19994.424,16.0,99999.0,0.0,1.0, Federal-gov, 10th, Divorced, Armed-Forces, Husband, Asian-Pac-Islander, Male, Cambodia, >50K
90.0,12285.0,1.0,0.0,0.0,1.0, Federal-gov, 11th, Married-civ-spouse, Armed-Forces, Other-relative, Other, Male, Cambodia, >50K
90.0,12285.0,16.0,0.0,0.0,99.0, Local-gov, 12th, Married-AF-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Male, Cambodia, >50K
90.0,1484705.0,1.0,99999.0,0.0,1.0, Federal-gov, 11th, Divorced, ?, Husband, Amer-Indian-Eskimo, Male, ?, >50K
90.0,1467416.0,1.0,0.0,0.0,1.0, ?, 10th, Divorced, Armed-Forces, Husband, Amer-Indian-Eskimo, Female, Canada, >50K
90.0,12285.0,16.0,0.0,0.0,1.0, ?, 10th, Divorced, ?, Other-relative, Asian-Pac-Islander, Female, ?, >50K
90.0,12353.831,16.0,99999.0,0.0,99.0, ?, 11th, Divorced, Adm-clerical, Husband, Asian-Pac-Islander, Female, Cambodia, >50K
90.0,1484705.0,16.0,0.0,0.0,1.0, Local-gov, 10th, Married-AF-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male, Cambodia, >50K
90.0,1484705.0,16.0,99999.0,0.0,1.0, ?, 10th, Divorced, ?, Husband, Amer-Indian-Eskimo, Female, ?, >50K
90.0,12285.0,1.0,99999.0,0.0,99.0, ?, 12th, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Female, ?, >50K
90.0,1484705.0,16.0,0.0,0.0,99.0, ?, Assoc-voc, Divorced, ?, Not-in-family, Asian-Pac-Islander, Female, ?, >50K
