age,fnlwgt,education.num,capital.gain,capital.loss,hours.per.week,workclass,education,marital.status,occupation,relationship,race,sex,native.country,income
59.0,320034.0,9.0,0.0,0.0,40.0, Local-gov, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States, >50K
66.0,238109.0,12.0,0.0,2075.0,25.0, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
31.0,59304.0,9.0,0.0,0.0,55.0, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
35.0,398250.0,10.0,0.0,0.0,40.0, Private, Some-college, Married-civ-spouse, Sales, Wife, Black, Female, United-States, <=50K
22.0,341819.0,9.0,0.0,0.0,40.0, Private, HS-grad, Married-spouse-absent, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K
47.0,166533.0,10.0,0.0,0.0,40.0, Private, Some-college, Married-civ-spouse, Other-service, Husband, White, Male, United-States, <=50K
44.0,83384.0,9.0,0.0,0.0,40.0, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States, <=50K
29.0,285110.0,9.0,0.0,0.0,40.0, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male, United-States, <=50K
40.0,128223.0,7.0,0.0,0.0,40.0, Private, 11th, Married-spouse-absent, Machine-op-inspct, Unmarried, White, Female, United-States, <=50K
33.0,53211.0,12.0,0.0,0.0,50.0, Private, Assoc-acdm, Never-married, Handlers-cleaners, Not-in-family, White, Female, United-States, <=50K
23.0,512963.0,9.0,0.0,0.0,38.0, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, Not-in-family, Black, Male, United-States, <=50K
36.0,205663.0,13.0,0.0,0.0,40.0, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
60.0,80752.0,3.0,0.0,0.0,40.0, Private, 5th-6th, Married-civ-spouse, Transport-moving, Husband, White, Male, ?, <=50K
50.0,89598.0,10.0,0.0,0.0,50.0, ?, Some-college, Married-civ-spouse, ?, Husband, White, Male, United-States, <=50K
45.0,49407.0,13.0,15024.0,0.0,40.0, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
66.0,143472.0,9.0,0.0,1999.0,45.0, Local-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male, United-States, <=50K
65.0,84806.0,5.0,0.0,0.0,40.0, Private, 9th, Divorced, Craft-repair, Unmarried, White, Female, United-States, <=50K
63.0,183519.0,10.0,0.0,0.0,35.0, Private, Some-college, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
45.0,143909.0,13.0,0.0,0.0,55.0, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female, United-States, <=50K
23.0,319694.0,11.0,0.0,0.0,40.0, Private, Assoc-voc, Married-civ-spouse, Sales, Husband, White, Male, United-States, <=50K
38.0,274524.0,13.0,7688.0,0.0,40.0, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
64.0,92093.0,9.0,0.0,0.0,40.0, Federal-gov, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male, United-States, >50K
70.0,213748.0,9.0,0.0,0.0,45.0, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States, >50K
48.0,274649.0,10.0,0.0,0.0,45.0, ?, Some-college, Married-civ-spouse, ?, Wife, White, Female, United-States, <=50K
33.0,108372.0,13.0,0.0,0.0,45.0, Private, Bachelors, Never-married, Tech-support, Not-in-family, White, Female, United-States, >50K
29.0,92735.0,12.0,0.0,0.0,40.0, Private, Assoc-acdm, Never-married, Exec-managerial, Unmarried, White, Female, United-States, <=50K
26.0,121251.0,5.0,0.0,0.0,40.0, Private, 9th, Never-married, Exec-managerial, Not-in-family, White, Male, United-States, <=50K
43.0,158697.0,13.0,0.0,0.0,45.0, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
45.0,112944.0,11.0,0.0,0.0,50.0, Private, Assoc-voc, Divorced, Craft-repair, Not-in-family, White, Male, United-States, <=50K
31.0,34265.0,9.0,0.0,0.0,40.0, Private, HS-grad, Never-married, Machine-op-inspct, Other-relative, White, Male, United-States, <=50K
37.0,159135.0,13.0,0.0,0.0,45.0, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States, >50K
39.0,214316.0,9.0,0.0,0.0,43.0, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female, United-States, <=50K
