age,fnlwgt,education.num,capital.gain,capital.loss,hours.per.week,workclass,education,marital.status,occupation,relationship,race,sex,native.country,income
90.0,1484705.0,1.0,0.0,4356.0,99.0, Federal-gov, 1st-4th, Married-civ-spouse, Armed-Forces, Own-child, Amer-Indian-Eskimo, Female, Ecuador, >50K
90.0,12285.0,1.0,0.0,4356.0,99.0, Without-pay, 1st-4th, Divorced, Craft-repair, Other-relative, Black, Female, Holand-Netherlands, <=50K
90.0,12285.0,1.0,99999.0,4356.0,1.0, ?, 1st-4th, Married-AF-spouse, ?, Other-relative, White, Male, Holand-Netherlands, >50K
90.0,1484705.0,1.0,99999.0,4356.0,99.0, Private, Assoc-acdm, Married-spouse-absent, Machine-op-inspct, Not-in-family, White, Male, Holand-Netherlands, <=50K
90.0,1484705.0,1.0,99999.0,4356.0,1.0, ?, 11th, Married-civ-spouse, ?, Husband, Black, Male, Holand-Netherlands, <=50K
90.0,1484705.0,1.0,0.0,4356.0,99.0, Federal-gov, 12th, Divorced, Armed-Forces, Unmarried, Amer-Indian-Eskimo, Female, Ecuador, <=50K
90.0,1484705.0,1.0,0.0,4356.0,1.0, Federal-gov, 1st-4th, Divorced, Armed-Forces, Other-relative, White, Female, Holand-Netherlands, <=50K
90.0,12285.0,16.0,99999.0,4356.0,1.0, Federal-gov, 11th, Married-AF-spouse, Adm-clerical, Other-relative, White, Male, China, >50K
90.0,12285.0,16.0,99999.0,4356.0,1.0, ?, 10th, Divorced, ?, Other-relative, Black, Male, Cambodia, >50K
90.0,1484705.0,1.0,0.0,4356.0,99.0, Federal-gov, 12th, Married-civ-spouse, Armed-Forces, Husband, White, Female, Ecuador, >50K
90.0,12285.0,1.0,0.0,4356.0,99.0, Federal-gov, 12th, Never-married, Armed-Forces, Not-in-family, Amer-Indian-Eskimo, Female, Ecuador, >50K
90.0,12285.0,1.0,99999.0,4356.0,1.0, Local-gov, 1st-4th, Divorced, Exec-managerial, Not-in-family, Black, Female, Ecuador, <=50K
90.0,1484705.0,1.0,99999.0,4356.0,1.0, Local-gov, 10th, Married-AF-spouse, Craft-repair, Not-in-family, Black, Female, China, <=50K
90.0,1484705.0,1.0,99999.0,4356.0,99.0, Without-pay, 1st-4th, Divorced, Adm-clerical, Own-child, White, Female, Philippines, >50K
90.0,12285.0,1.0,99999.0,4356.0,99.0, ?, 1st-4th, Never-married, ?, Not-in-family, Black, Female, Holand-Netherlands, >50K
90.0,12285.0,1.0,99999.0,4356.0,1.0, ?, 10th, Divorced, ?, Husband, Black, Male, United-States, <=50K
90.0,1484705.0,1.0,0.0,4356.0,99.0, ?, 11th, Divorced, ?, Husband, Black, Male, ?, >50K
