LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
50000.0,1,2,2,28.0,0,0,3,2,-1,4,25764.674,36956.2,30963.105,35837.51,28407.268,35190.945,5000.0,0.0,1702.5427,2339.486,4705.9297,1000.0,1
200000.0,2,2,2,30.0,-1,-1,-1,0,0,0,4222.965,460.99222,17706.674,15363.794,43554.45,32156.406,390.0,20049.34,521.90216,24468.861,1000.0,3396.303,0
50000.0,2,2,1,23.0,0,0,0,0,0,0,32093.35,12026.655,10744.695,1731.5338,551.4156,0.0,1344.0621,1000.0,0.0,0.0,0.0,0.0,0
30000.0,2,1,2,29.0,0,-1,2,0,0,0,5368.9336,26961.973,12119.011,9054.516,6613.1997,0.0,30326.127,0.0,935.67377,144.47754,0.0,0.0,0
250000.0,2,1,2,36.0,-2,-1,-1,0,0,0,0.0,608.60205,56766.67,54044.055,57556.34,61340.863,718.5201,51909.145,2005.3223,5000.0,4698.4473,3000.0,0
120000.0,2,2,2,24.0,0,0,0,0,0,0,28311.121,21282.912,18656.764,16861.984,17835.457,17692.828,1456.3158,2000.0,753.3497,543.67523,603.41547,384.33945,0
140000.0,2,3,1,42.0,-1,-1,-1,-1,-1,-1,10380.294,14657.034,4042.9385,9824.596,4951.044,4873.5635,11806.838,3000.0,10000.0,7000.0,7369.077,10375.588,0
160000.0,2,1,2,33.0,1,-2,-2,-2,-1,0,780.0,0.0,0.0,0.0,1909.7405,295.22934,0.0,0.0,0.0,2714.0713,0.0,0.0,0
230000.0,2,1,2,29.264688,-1,0,0,0,0,0,153236.89,126230.59,68176.67,87402.7,94373.15,98325.4,5000.0,3000.0,5189.7686,7094.7324,5530.1235,0.0,0
90000.0,2,2,2,22.0,0,0,0,0,0,0,93105.2,88328.46,76444.38,75857.586,69484.86,71530.234,3313.2375,2943.5737,3500.0,2081.6077,2500.0,2000.0,0
70000.0,2,2,2,27.0,0,0,0,0,0,0,58059.35,60377.336,58940.02,58733.746,64105.74,53111.895,2258.9062,3200.0,2423.7747,2887.7556,2096.7168,2583.687,1
80000.0,2,2,1,42.0,0,0,0,0,0,0,65983.05,69064.94,70809.39,68939.59,65905.95,72546.4,3003.3684,3000.4749,2440.6382,2498.6426,2547.5132,5107.808,0
100000.0,2,2,1,33.0,-1,0,0,0,0,0,44828.215,15732.451,19281.934,16998.125,19355.678,1917.4655,7000.0,12596.534,3554.5413,10585.391,5264.9565,1000.0,0
290000.0,1,2,2,32.75127,0,0,0,0,0,0,278961.28,296620.4,254445.98,197869.48,107074.05,97632.37,12623.385,11727.489,8990.164,9124.285,10000.0,6279.865,0
80000.0,2,3,1,46.0,0,0,2,0,0,0,49671.113,47224.914,35029.887,33871.992,35693.094,39898.598,4141.3647,0.0,2000.0,1729.376,2000.0,2000.0,0
90000.0,1,2,2,37.0,-1,-1,-1,-1,-2,-1,406.7786,0.0,1475.5758,-1.5730605,-3.7106173,2471.762,79.14252,2541.952,0.0,0.0,3871.3506,1109.4683,0
450000.0,2,1,1,41.0,0,0,0,0,0,0,501695.4,478034.9,335928.9,364272.03,358542.6,364103.53,20015.701,19739.848,14861.07,16669.867,11331.566,10000.0,0
50000.0,1,3,1,26.0,0,0,-1,-1,-2,-2,780.0,0.0,824.0133,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0
150000.0,2,1,1,37.0,-1,-1,2,-1,-1,-1,1425.1722,1095.8416,1566.8998,390.0,834.6572,1848.8811,1319.5963,0.0,437.10706,811.75684,2000.0,2823.8948,0
390000.0,1,1,1,49.0,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
60000.0,1,2,1,31.0,0,0,0,0,0,0,29007.004,30700.174,27799.764,28403.486,22766.373,22105.11,1788.1671,1788.4264,1067.6001,1000.2406,783.8491,1231.8485,0
30000.0,2,3,1,22.0,2,-1,2,2,0,0,9108.39,19520.451,25432.53,21071.3,25587.408,28622.957,4000.0,3615.964,778.68335,1000.0,1507.9832,1114.5872,0
150000.0,2,3,1,29.0,-1,-1,-2,-1,-2,-2,11634.342,0.0,0.0,5045.57,0.0,0.0,0.0,0.0,6057.4385,0.0,0.0,0.0,0
60000.0,1,1,2,28.0,0,0,2,2,-2,-2,11626.225,14701.813,14295.499,0.0,0.0,0.0,2958.0354,0.0,0.0,0.0,0.0,0.0,1
170000.0,2,1,2,28.0,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
150000.0,2,2,2,30.0,0,0,2,2,2,2,73513.12,81432.414,87869.87,76344.76,81803.29,78322.21,6365.206,10000.0,0.0,7923.4004,0.0,5655.0244,0
310000.0,1,3,2,37.0,0,0,0,0,0,0,226409.5,203217.9,222652.58,198847.8,207131.17,200187.81,8520.777,8651.425,12944.902,45756.547,16270.802,19034.586,0
30000.0,1,2,2,27.0,0,0,2,0,-2,-2,6117.39,7509.066,2550.7402,0.0,0.0,0.0,3379.3232,0.0,0.0,0.0,0.0,0.0,0
300000.0,1,2,2,36.6172,-2,-2,-1,-2,-2,-2,15115.315,9620.608,36214.395,0.0,0.0,0.0,5803.672,29499.75,0.0,0.0,0.0,0.0,0
160000.0,1,2,2,35.0,0,0,0,0,-1,-1,75640.49,39987.934,15483.038,7721.8145,1577.7787,0.0,1606.2614,1140.7174,1000.0,1000.0,0.0,550.45404,0
390000.0,2,2,2,46.0,-1,-1,-1,-1,-1,-1,896.30585,2312.5535,1654.3116,2922.629,1108.184,7240.308,2000.0,1700.0,3000.0,1100.0,8266.227,3000.0,0
60000.0,2,3,1,43.0,-1,0,-2,-2,-2,-2,52877.73,0.0,8629.887,-354.1866,0.0,0.0,0.0,6516.631,0.0,502.14346,0.0,2000.0,0
280000.0,1,1,2,40.0,0,0,0,0,0,0,34937.91,23192.686,13608.425,8098.399,10167.0205,11132.233,1500.0,10009.072,1000.0,2958.3347,7345.1978,0.0,0
500000.0,2,2,1,44.0,0,0,0,0,0,0,200217.36,126430.49,303085.34,235715.89,264587.72,95873.19,17333.812,197593.72,30134.166,30167.555,0.0,7092.5845,1
64340.92,2,2,1,29.0,2,0,0,0,0,0,63247.21,69007.94,62784.766,49355.758,48262.98,49308.277,3000.0,2592.0146,1600.0,1500.9457,1738.5898,4000.0,1
500000.0,2,1,2,30.0,0,0,0,0,2,0,19468.662,24595.64,26307.793,35757.03,27891.068,29833.938,4000.0,1800.0,9236.278,0.0,5705.0923,24790.56,0
130000.0,2,2,2,30.0,1,-1,-1,-1,-1,-1,-201.91998,21658.826,4153.643,1433.0807,505.54724,327.7753,20147.111,3546.0735,1400.0,600.28064,84.14262,562.72034,0
410000.0,1,2,1,47.0,-1,-1,2,-1,-1,-1,2915.024,3583.4158,2314.3894,4000.8313,11458.038,458.36533,4000.0,0.0,3500.0,10000.0,732.17084,3977.9397,0
220000.0,2,1,2,44.0,-2,-2,-1,-1,-2,-2,122675.234,118136.02,69729.805,48562.16,65419.35,50108.574,72337.98,64285.65,20873.059,35341.39,20000.0,45980.12,0
30000.0,1,2,2,59.46979,0,0,0,0,2,0,31230.914,30703.67,29431.264,31852.717,29325.71,26528.605,2441.5925,1510.556,2000.5605,0.0,0.0,0.0,0
70000.0,1,2,2,24.0,1,2,0,0,0,0,66102.11,61716.324,57697.395,52311.07,45247.566,51143.434,0.0,1965.7866,2000.0,2500.0,2387.1277,3000.0,0
210000.0,2,5,2,23.0,0,0,0,0,0,0,23480.434,25140.912,20355.742,20573.41,18525.207,18006.99,1628.9343,1500.0,1457.5208,767.0959,2934.5159,1500.0,0
230000.0,2,2,1,26.0,-1,-1,-1,-1,0,0,456.64807,780.0,4914.523,18499.773,12251.455,9554.0,1117.0953,4632.2065,18124.383,0.0,1368.334,4199.892,0
30000.0,1,1,2,23.0,2,2,2,2,2,2,34013.395,30440.191,37660.703,38855.727,36747.35,40329.457,0.0,2375.7686,1500.0,0.0,4096.029,0.0,0
200000.0,2,1,1,39.0,0,0,2,0,0,0,200175.94,226408.81,213079.84,196523.06,187067.03,144532.36,29741.523,0.0,8000.0,6387.438,5775.7026,5000.0,0
50000.0,1,2,2,26.0,0,0,0,0,0,0,48059.816,44924.23,33633.68,37981.312,44691.793,46157.58,3696.1218,0.0,1705.6284,1500.0,2502.963,2909.8555,0
100000.0,2,2,1,33.0,-1,-1,-1,-1,-1,-1,358.88892,0.0,3533.2507,0.0,599.2846,1364.914,0.0,3000.0,118.969986,633.366,1131.9714,0.0,0
400000.0,2,2,2,26.0,2,2,0,0,0,0,262653.75,281314.66,303543.47,294878.97,282985.97,260444.61,58404.008,10000.0,10000.0,10005.191,11068.821,9221.048,1
30000.0,2,2,1,39.0,-1,2,2,0,0,2,22110.807,26266.484,24407.955,24702.93,26677.195,28725.521,3000.0,0.0,1503.5942,2345.6536,0.0,560.94336,0
74238.88,2,2,2,33.0,0,0,0,-2,-2,-1,26694.209,7927.726,41.865818,0.0,0.0,944.6918,1770.6366,0.0,0.0,0.0,1000.0,2000.0,0
210000.0,1,1,2,33.13046,-1,-1,-1,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
230000.0,2,2,1,53.0,0,0,0,0,0,0,173331.48,168069.98,161272.84,149888.7,151554.95,153110.48,6114.5425,7000.0,5000.0,6629.476,6000.0,6687.134,0
360000.0,2,2,1,39.0,2,2,2,-2,-2,-1,30576.152,2400.6067,0.0,1893.4705,0.0,498.55692,0.0,0.0,2045.6417,0.0,935.3474,676.581,1
280000.0,1,2,1,34.0,0,0,0,0,0,0,142941.56,126452.99,132040.4,133300.58,136019.52,130949.86,8104.87,6000.875,5018.0376,5000.0,5000.0,7677.7905,0
160000.0,1,3,1,42.0,2,2,-1,-2,-1,0,842.7694,1648.2878,0.0,0.0,1360.9257,838.9479,758.39746,0.0,0.0,1700.0,0.0,0.0,1
50000.0,2,2,2,33.0,0,0,0,0,0,0,46444.695,43537.9,46153.617,37187.19,37178.824,42288.42,2491.4812,1929.7318,1030.0138,2000.0,2000.0,2111.0938,0
360000.0,2,1,1,46.0,-1,-1,-2,-2,-2,-2,3641.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
80000.0,1,2,2,24.714327,0,0,2,2,0,0,6843.2183,6388.7495,6289.0137,4597.321,6270.7183,5100.0317,2000.0,1122.7922,18.926432,1000.0,1378.7063,768.05743,0
90000.0,2,2,1,43.0,0,0,0,0,0,0,37701.996,35920.207,41856.227,43890.324,48784.367,49074.906,1600.0,2000.0,2945.9954,2000.0,2098.1958,2074.043,0
280000.0,1,2,2,30.0,0,0,0,0,0,0,74800.18,76546.58,75759.69,78166.37,90777.664,82495.04,3158.367,3200.0,3000.4597,3108.1528,2520.565,3000.0,0
50000.0,2,3,1,63.5282,2,0,0,0,0,0,59744.746,55079.547,60201.676,67109.47,64607.117,69146.016,2026.3412,2724.0222,3000.0,3230.7512,3102.2053,3000.0,0
80000.0,1,1,1,43.0,0,0,0,0,0,0,48695.35,42265.027,36236.914,30071.895,24743.549,24942.227,1694.2596,1500.0,1139.6349,1213.2942,1000.0,1000.0,0
70000.0,2,1,2,25.0,0,0,0,0,0,0,70858.69,72156.53,67773.6,58508.016,57721.695,57949.312,3757.3977,4000.0,2688.068,4268.6714,2000.0,2000.0,0
250000.0,2,3,2,47.0,1,-1,-1,-2,-2,-2,0.0,1303.7167,0.0,0.0,0.0,0.0,1444.1594,0.0,0.0,0.0,0.0,0.0,0
321148.1,2,1,2,33.0,-1,-1,-1,0,-1,-1,740.4387,6728.476,12801.359,9909.929,18135.635,2195.7131,5681.0312,11590.612,0.0,13589.298,1168.6665,29464.44,0
360000.0,1,1,2,31.0,0,0,0,0,0,0,481443.53,477186.3,411519.12,431822.3,436107.84,378516.78,19580.576,15931.97,15000.0,15888.159,15160.722,12000.0,0
50000.0,2,3,1,56.0,-1,-1,-1,-1,-1,-1,1580.2378,0.0,-0.14152677,10034.351,7096.5903,1991.2382,390.0,0.0,11146.924,5488.684,2000.0,1000.0,0
230000.0,2,1,2,26.0,0,0,0,0,-1,-1,51569.77,43624.113,20007.354,9775.403,13516.699,4305.4067,3979.0212,1635.1921,10000.0,11052.768,5028.344,0.0,0
80000.0,1,2,1,58.95933,-1,0,-1,-1,-1,-1,5694.323,3855.5305,658.6539,1588.728,3341.6262,4306.144,1149.0046,1000.0,1283.0928,2500.0,3000.0,457.89584,1
210000.0,1,2,1,40.0,0,0,0,0,0,0,39745.582,45035.637,46204.023,48866.203,19047.504,17436.648,1852.5522,1800.0,2616.7136,1010.3286,1000.0,2045.4117,0
120000.0,2,3,1,32.0,0,0,0,0,0,0,98423.52,99610.53,84480.555,50383.43,42070.902,29124.645,4000.0,3000.0,2000.0,1000.0,1101.5695,957.4011,0
