Length,Width,Size,Conc,Conc1,Asym,M3Long,M3Trans,Alpha,Dist,class
128.08319,26.996403,2.670964,0.47025558,0.3031722,-55.89387,-144.10814,-18.73011,66.446846,185.67607,h
13.019577,10.304752,2.1685598,0.7882276,0.54305553,-12.421679,-5.1566887,-4.725288,0.88842773,109.81509,g
13.057344,10.430559,2.1512928,0.7850659,0.44064558,-14.829415,-3.5503922,10.717838,23.29692,170.41864,g
100.5851,41.32908,3.025809,0.24325581,0.14338394,-173.7514,-29.163351,-26.458744,14.094514,331.96597,h
36.82505,21.301682,2.8712294,0.3260053,0.17400187,3.9879472,29.95108,14.734706,10.569347,276.6245,h
23.676987,5.961168,2.0484617,0.6610058,0.3588299,-29.231285,-14.539615,-3.390114,43.522194,164.59329,g
23.376486,15.463735,2.453986,0.4536024,0.28332946,10.129268,14.8193,-9.108917,4.1007667,184.44215,g
60.710007,21.581572,2.9866402,0.34890938,0.17840011,-80.19543,48.265324,-20.632887,54.279232,296.94473,h
20.381416,13.743334,2.5659544,0.49668074,0.2595179,6.212058,8.186517,4.7181325,15.831731,96.5438,g
28.632832,15.321625,2.8355,0.38999817,0.21482645,10.676677,20.605642,0.13314949,13.570497,121.91983,g
97.19446,25.671202,3.459462,0.16557801,0.07838181,-34.043236,86.50303,19.951136,1.3315316,310.74792,g
19.180174,11.81009,2.5806632,0.59223145,0.3319202,3.265726,13.818887,-4.1535707,43.023624,198.57132,g
66.21062,23.34017,3.081781,0.21503863,0.0968381,39.450706,28.771809,10.112317,1.9144701,218.31992,h
20.271128,10.488115,2.194134,0.56661475,0.3198147,25.0052,-12.933723,-5.9674473,49.239902,194.16736,g
45.17385,18.30035,2.7453656,0.26956418,0.13344274,-44.226486,-22.117449,15.142197,21.204546,222.21974,g
115.3531,45.88552,3.389608,0.21847768,0.13794625,-79.96974,47.656113,26.911509,81.82977,348.77295,h
104.227585,20.919664,2.3933947,0.3990365,0.20570411,75.63588,82.75084,8.070688,3.7756243,34.22258,h
13.076241,11.043762,2.1185212,0.7726916,0.43265575,-14.9980955,3.160315,11.418417,20.826372,197.33385,g
41.183453,16.22996,2.9210608,0.36782062,0.21734478,33.886845,14.451589,12.790246,65.27098,56.196854,h
23.188435,11.917592,2.3986351,0.53979075,0.28497815,10.241009,14.894982,-3.2139952,78.70221,200.69054,h
35.01521,12.696859,2.6382673,0.33398938,0.17756674,36.893204,28.884186,6.076459,4.139926,175.15144,g
33.660286,15.220109,2.7345293,0.3521364,0.19714497,13.519311,27.436094,-0.11006965,1.1992301,152.43117,g
100.15649,26.788042,3.4843137,0.16916299,0.09272762,-56.649418,68.58123,16.05495,0.1214058,303.18594,g
35.516495,10.511294,2.8233721,0.34913188,0.23722407,7.5691957,15.272137,-0.5596853,40.21071,131.93718,h
73.6393,24.272821,2.8207734,0.2661987,0.13956638,-24.588219,53.916,-17.31497,2.7465804,269.3136,g
88.50266,17.31352,2.9869602,0.24244206,0.15114212,-59.627274,47.61298,-10.996703,4.3680387,262.7608,g
77.12831,26.093597,2.7964485,0.30149963,0.16000424,69.152664,72.01937,22.949781,10.822508,193.24841,g
12.976888,11.334142,2.1117787,0.74755096,0.38187057,-14.3154955,5.132317,-4.418971,65.40037,113.25284,g
29.729103,11.863978,2.566008,0.39135513,0.19385621,54.327477,-7.7427335,13.548754,72.89414,204.98576,h
13.033666,10.571601,2.231066,0.78695995,0.4974501,13.919714,6.1145144,-8.234811,67.008736,242.55463,g
26.46608,6.7031918,2.0496552,0.75173664,0.4158179,22.898287,13.5792,-2.5175276,56.405468,143.95268,h
57.819035,23.445126,3.1167986,0.18786465,0.110412784,58.582336,26.94137,16.750746,9.310348,186.60617,g
29.40689,12.9475355,2.6829264,0.43924832,0.2329836,37.945858,-9.819608,-9.3609495,11.12334,147.84622,g
33.42929,11.877298,2.6453516,0.4019745,0.20569998,7.681573,24.460735,-14.861137,4.0425534,179.89435,g
33.5782,16.973156,2.827216,0.25996014,0.14465024,23.257772,-16.042164,9.738505,9.021899,129.99184,g
12.941629,11.582492,2.1005142,0.7167256,0.36676243,15.532602,-3.6177359,10.763328,14.480894,102.383766,g
19.143606,10.682021,2.4899874,0.5592113,0.36033803,2.8570623,12.8165865,-4.8233542,31.221046,221.6557,h
22.83374,12.985605,2.3949137,0.49512288,0.26607814,31.196224,9.221858,-9.04181,25.87509,162.112,g
18.140112,14.050514,2.5153842,0.5452358,0.2872665,-7.5809965,11.689813,-5.9034953,58.172707,168.64885,g
21.048458,7.14025,2.2312949,0.7067835,0.445783,4.813052,11.1077795,-7.40559,16.614304,153.12007,g
28.539566,19.815683,2.7997987,0.3443839,0.19267036,-29.88008,-17.372974,10.470776,13.2970705,191.85307,g
18.321049,15.647184,2.4390771,0.56916565,0.42298207,14.570491,15.839837,12.397118,35.1652,181.38242,g
19.618706,7.207742,2.2747447,0.8099524,0.43610618,19.609545,13.203835,2.9401824,25.569883,69.591606,g
26.965548,15.192495,2.5094154,0.4359545,0.24629873,15.381519,21.86405,-12.130287,51.93202,60.289463,g
26.986086,12.494443,2.479517,0.51709807,0.31463176,31.04352,12.21504,-10.8787985,4.5868783,172.0958,g
79.762955,46.16334,3.279722,0.23959838,0.09785534,-102.840454,47.314697,-41.187046,86.04644,263.97482,h
6.8225293,10.20266,2.253842,0.7120774,0.33419046,17.594513,7.3795877,1.3694819,46.548073,233.35844,h
81.36885,59.362926,4.020423,0.11519553,0.065097876,-9.720874,43.234684,-22.590673,28.500355,322.92795,h
82.67268,17.217068,3.1029494,0.2405331,0.12160631,-35.040806,-75.25122,-16.576654,10.794506,119.14916,h
42.1234,28.169222,2.7594714,0.28153697,0.13649099,32.935806,-10.070645,-11.154079,85.896736,154.70761,h
177.66951,63.45695,4.007077,0.06618982,0.03614083,-190.24947,-155.87263,-51.690834,70.511,233.04817,h
94.68256,32.711445,3.249817,0.1870651,0.099823534,-111.35015,65.60605,-27.33779,3.7504883,338.13745,g
12.95881,11.103829,2.4351668,0.6428876,0.43092233,14.48964,-7.4863234,-0.15343584,48.892174,96.1594,h
82.99545,28.169226,3.4726772,0.13601862,0.06754366,60.521538,80.68254,19.241468,0.5740945,202.47556,g
44.645382,22.938787,2.863937,0.23519564,0.12143087,-14.470012,33.554745,13.1284685,9.257271,174.54546,g
20.744373,7.3547206,2.16355,0.7293733,0.43563175,22.237965,15.946006,9.102515,54.449158,226.79662,g
62.022987,9.201765,2.6497905,0.36155912,0.21875498,75.35036,32.618782,-4.042619,10.838878,165.29427,g
38.84338,6.822231,2.403167,0.47424492,0.24474028,3.0140135,12.311984,9.17362,66.278404,198.557,h
32.183758,23.078634,3.1161773,0.29381886,0.1532971,20.571625,27.34248,-8.475618,22.600124,107.26641,g
101.97192,37.187263,3.5379338,0.2252997,0.16511302,-52.27289,-114.44683,21.406359,62.685474,285.00415,h
65.89039,14.863089,3.0452554,0.22312297,0.10331907,-70.87518,50.39669,-16.272219,3.9856884,283.74542,g
22.488863,17.040863,2.5725203,0.419772,0.2485516,17.856367,16.658962,14.882812,57.77478,166.31255,g
35.054764,13.811493,2.5308928,0.39297917,0.20471433,-48.96404,-22.067575,6.1004653,7.5574365,119.16522,g
50.798424,26.457401,3.124211,0.18822408,0.10574056,35.268566,22.89601,23.16433,56.35216,242.1601,h
20.440401,16.516645,2.4464118,0.5088593,0.28707698,-7.5852284,-12.42198,13.801817,35.472546,170.50748,g
133.65291,44.705696,3.2664702,0.2057272,0.1021933,17.863981,-147.28714,33.56736,73.91989,203.13791,h
12.290363,11.3089075,2.0839076,0.7177116,0.39720008,14.4979515,-9.778913,-3.193072,36.91116,240.4429,g
71.26144,25.661785,3.4668188,0.1332296,0.08386217,66.529015,50.4858,-7.7957706,6.5424056,198.69484,g
221.60696,86.3244,3.8001986,0.10201339,0.063744865,-277.94894,91.407936,-59.69307,87.8105,310.244,h
63.539997,75.89798,3.4429111,0.09059431,0.06858377,42.824417,45.30356,-55.44699,7.8544273,135.22427,h
136.91815,20.832449,2.7373946,0.40420225,0.20339327,-74.81193,-98.96123,17.702644,6.6476526,297.10254,h
61.790783,28.676083,3.1407056,0.2723203,0.15722148,3.021057,-37.361717,-21.288425,4.741912,319.4341,g
36.598064,16.819288,2.9404454,0.313924,0.1742169,21.193007,21.108866,-12.074194,4.189839,212.62703,g
22.659525,16.571339,2.467844,0.48891044,0.26379734,22.037273,21.810785,11.871595,0.62604696,186.34512,g
33.3372,13.418003,2.7829351,0.31822914,0.16208977,52.237324,25.554163,-6.4509025,14.195704,126.91791,g
13.767883,12.422225,2.2518733,0.65371937,0.40513575,-7.2430735,3.0808594,-7.5164676,53.298733,197.69481,g
38.100822,12.8255825,2.743696,0.38231874,0.21463865,-26.607378,-26.33376,5.000404,0.7853934,220.22859,g
30.35766,19.03968,2.6387153,0.38815716,0.2173115,23.820255,29.062798,-14.801387,52.623627,60.92932,g
75.461006,16.883762,3.058923,0.23416547,0.12297918,34.534992,75.52914,-15.308317,6.1354356,268.6875,g
154.13638,26.211437,3.155167,0.2288998,0.14802365,-147.0657,66.89318,-20.470034,9.596188,270.55325,h
41.20312,16.534834,2.7729013,0.32230178,0.17968453,-8.201002,21.419426,-9.209563,12.51928,217.2766,g
66.84212,20.337383,3.040371,0.2596197,0.1466017,28.539072,29.93063,-13.744087,29.74656,119.24559,h
33.003242,16.34983,2.7217782,0.35461885,0.24145523,21.369196,28.167845,-11.971688,23.311478,79.42681,g
80.08039,23.515022,3.2665708,0.19737971,0.10583038,-83.89483,50.742638,-15.78346,1.8998296,280.8865,g
31.279032,18.197046,2.6214,0.35673043,0.19639911,12.960384,21.272451,-14.679961,0.5486603,182.47716,g
36.43229,23.364872,3.1561527,0.25808072,0.13168602,38.176212,26.826614,13.592401,1.1574566,154.81839,g
31.51644,18.363417,2.6315463,0.33503452,0.17087899,-14.267259,-27.878708,-8.078291,16.664179,175.02588,g
