Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.0,19.333261,0.0,0.0,29.0,1250.0706,0.0,0.008982337,0.0,0.0,May,2,2,1,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Nov,2,2,2,10,Returning_Visitor,False,False
3.0,61.586697,0.0,0.0,4.0,58.244827,0.0,0.015716355,0.0,0.0,Dec,2,5,9,20,Other,False,False
0.0,0.0,0.0,0.0,11.0,268.4636,0.01849528,0.03676091,0.0,0.0,Dec,3,2,7,10,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,May,3,2,1,3,Returning_Visitor,False,False
0.0,0.0,1.0,95.589516,26.0,770.4017,0.0,0.00952381,70.3616,0.0,May,2,2,1,2,New_Visitor,True,True
0.0,0.0,0.0,0.0,25.0,1555.1709,0.039252367,0.05022063,0.0,0.0,Nov,3,2,4,6,Returning_Visitor,False,False
2.0,55.414886,0.0,0.0,26.0,598.23914,0.0,0.0005983907,44.439114,0.0,May,4,2,6,2,New_Visitor,False,True
0.0,0.0,0.0,0.0,39.0,1763.2816,0.025,0.041913263,0.0,0.0,May,2,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,15.0,275.5785,0.0,0.0119229015,0.0,0.0,June,2,4,6,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Nov,1,1,1,3,Returning_Visitor,False,False
4.0,109.319595,0.0,0.0,66.33935,2379.387,0.0052047484,0.013305836,0.0,0.0,Nov,3,2,6,2,Returning_Visitor,False,False
3.0,78.91106,0.0,0.0,32.0,1452.0834,0.014285714,0.026906079,12.173471,0.0,Nov,2,2,1,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.8,May,2,4,1,6,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,21.0,672.6522,0.008333333,0.02711239,0.0,0.0,May,2,2,1,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,5.0,174.86203,0.0,0.029871117,0.0,0.0,Mar,2,2,3,1,Returning_Visitor,True,False
