year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
2013,3,13,16,15.0,-14.0,17.0,1026.0,SE,11.178153,0.0,0.0
2011,9,31,7,11.70619,10.0,13.0,1021.0,NW,12.96,0.0,0.0
2010,1,20,13,150.78311,-13.0,-10.0,1029.0,SE,1.79,0.0,0.0
2010,5,11,7,4.0,-2.0,16.0,1032.0,NW,28.16,0.0,0.0
2011,9,23,18,71.0,23.0,24.0,1008.0,NW,1.78,0.0,0.0
2014,4,23,7,5.0,-11.0,14.0,1018.0,NW,15.2,0.0,0.0
2014,2,15,1,226.65651,-2.0,-1.0,1020.0,cv,2.68,0.0,0.0
2011,6,7,20,35.0,22.0,25.0,1006.0,SE,29.95,0.0,0.0
2010,8,20,3,163.0,21.0,27.0,1006.0,NW,28.608992,0.0,0.0
2014,3,9,5,132.0,0.0,1.0,1025.0,NW,3.56,0.0,0.0
2012,5,6,10,13.068837,18.0,21.0,1011.0,cv,6.71,0.0,11.478187
2013,5,27,1,72.0,17.0,22.0,1007.0,SE,3.13,0.0,0.0
2014,3,1,0,50.0,-14.0,8.0,1023.0,NW,12.97,0.0,0.0
2012,9,19,8,57.0,-2.0,21.0,1018.0,SE,4.02,0.0,0.0
2014,1,3,1,50.0,-16.0,8.0,1017.0,NW,183.35136,0.0,0.0
2011,9,11,18,127.0,5.0,22.0,1007.0,SE,1.79,0.0,0.0
2011,4,28,7,43.0,-14.0,11.457671,1025.0,SE,0.89,0.0,0.0
2011,10,14,4,143.0,9.0,9.0,1023.0,NW,1.34,0.0,0.0
2013,2,29,16,24.0,-24.0,7.0,1030.0,NW,135.58711,0.0,0.0
2014,2,16,11,375.477,-4.458224,0.0,1031.0,NE,1.79,0.0,0.0
2014,8,11,13,116.0,19.0,27.0,999.0,cv,0.89,0.0,0.0
2012,5,13,14,24.678772,-2.0,20.0,1011.0,cv,1.79,0.0,0.0
2014,4,16,8,35.0,-11.0,9.0,1017.0,cv,50.275604,0.0,0.0
2014,12,17,10,14.427963,-20.0,-8.0,1042.1207,NW,13.857875,0.0,0.0
2014,4,11,21,19.0,-15.0,6.0,1019.0,SE,28.756815,0.0,0.0
2011,10,23,8,12.0,-17.0,3.0,1026.0,NW,18.99674,0.0,0.0
2010,10,8,1,51.0,2.0,14.0,1025.0,SE,4.46,0.0,0.0
2011,10,13,11,91.0,14.0,14.0,1018.0,cv,0.45,0.0,0.0
2014,5,18,21,18.0,20.0,30.0,994.0,SE,33.084763,0.0,0.0
2010,11,9,19,110.0,8.0,20.0,1020.0,cv,13.871399,0.0,0.0
2011,8,25,16,16.0,19.0,21.0,998.0,NW,4.02,0.0,1.0
2013,3,5,9,104.0,-14.0,-4.0,1012.0,cv,1.78,0.0,0.0
2010,11,4,6,75.33931,-7.0,9.0,1018.0,NW,3.58,0.0,0.0
2013,2,22,22,124.0,-16.45568,-8.0,1024.0,SE,8.040695,0.0,0.0
2012,1,21,6,130.74425,-15.0,-8.0,1027.0,cv,0.89,0.0,0.0
2010,3,19,10,59.0,2.0,9.0,1018.0,SE,0.89,0.0,0.0
2013,10,27,11,56.0,-7.0,-2.0,1036.0,NW,12.06407,0.0,0.0
2011,3,18,19,294.41144,-5.0,2.0,1030.0,SE,9.39,0.0,0.0
2010,3,1,18,254.1823,-16.0,-2.0,1031.0,SE,4.468247,0.0,0.0
2010,8,19,12,60.353127,14.0,18.0,1017.0,NW,29.500921,0.0,0.0
2013,4,18,19,78.03686,18.0,21.0,1015.0,SE,0.89,0.0,0.0
2014,9,8,21,47.0,12.0,23.0,1013.0,SE,4.02,0.0,0.0
2010,10,20,22,127.0,11.0,16.0,1018.0,SE,8.046345,0.0,0.0
2013,11,18,9,30.0,-13.0,4.0,1025.0,NE,11.624646,0.0,0.0
2011,2,13,17,224.51764,-1.0,2.0,1022.0,SE,4.02,0.0,0.0
2013,3,13,4,68.0,5.0,14.0,1021.0,NE,0.89,0.0,0.0
2012,4,28,15,77.0,1.0,12.0,1011.0,SE,0.89,0.0,0.0
2011,7,10,14,158.89034,25.0,29.0,1000.0,SE,3.58,0.0,0.0
2013,4,2,15,13.0,-2.0,27.0,1011.0,SE,3.13,0.0,0.0
2014,2,11,15,391.60403,-3.0,-1.0,1019.0,SE,0.89,0.0,0.0
2010,6,21,0,149.0,21.0,24.0,1007.0,SE,59.327854,0.0,0.0
2012,6,24,4,282.71133,21.0,27.0,1005.0,NW,5.37,0.0,0.0
2012,4,19,1,26.0,-12.0,-5.0,1028.9034,cv,1.78,0.0,0.0
2014,12,10,7,87.22321,-17.0,-12.0,1030.0,NE,1.79,0.0,0.0
2013,9,15,6,126.0,4.0,15.0,1024.0,cv,4.92,0.0,0.0
2011,8,24,7,48.0,18.0,21.0,999.0,SE,4.92,0.0,0.0
2013,5,23,3,41.0,-11.0,7.0,1025.0,NW,1.79,0.0,0.0
2011,9,30,1,47.0,21.0,23.0,1002.0,SE,0.89,0.0,0.0
2013,7,15,12,107.0,19.0,22.0,1010.0,cv,20.568136,0.0,0.0
2010,3,27,16,18.0,-18.0,9.0,1021.0,NW,4.02,0.0,0.0
2013,12,4,23,236.5118,3.0,2.0,1030.0,cv,3.13,0.0,0.0
2010,4,16,2,37.646767,-19.0,1.0,1025.0,SE,43.358547,0.0,0.0
2011,9,10,22,66.62378,20.0,24.0,1003.0,NW,3.58,0.0,2.0
2010,8,10,1,123.69241,12.752108,29.0,1006.0,cv,4.92,0.0,0.0
2011,3,16,14,14.0,-19.0,5.0,1025.0,NW,5.37,0.0,0.0
2013,4,6,7,10.0,-17.0,5.0,1023.0,NW,141.4192,0.0,0.0
2014,6,4,13,166.0,11.240712,24.0,1017.0,SE,2.68,0.0,0.0
2011,3,7,1,338.90387,-9.0,-2.0,1018.0,SE,2.67,0.0,0.0
