LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
431538.88,2,2,1,34.0,-1,-1,-2,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
80000.0,2,1,1,34.0,0,0,0,0,0,0,69364.875,92460.11,47606.41,46026.258,48261.535,48867.863,3000.0,4889.338,2500.0,2000.0,2570.2039,2182.9521,0
152140.92,2,2,1,50.0,0,0,0,0,0,0,0.0,0.0,2752.1758,10682.733,7891.8086,10682.572,0.0,2057.2644,10000.0,6854.6597,9642.631,0.0,1
20000.0,2,1,2,41.0,1,-1,-2,-1,-1,-2,2799.6262,1145.2509,1840.1062,0.0,9519.316,10287.41,1056.1003,820.4958,0.0,11044.52,1021.10095,0.0,1
60000.0,2,2,1,35.0,-2,-2,-2,-2,-2,-2,89555.35,84106.13,88963.9,69727.336,42946.895,13194.599,5000.0,3000.0,2000.0,2660.0542,6571.408,0.0,0
50000.0,2,1,2,24.0,0,0,0,0,0,0,23831.209,22392.695,18648.596,7659.9272,7490.628,7682.8174,1800.0,2000.0,652.60205,595.62787,500.0,1000.0,0
20000.0,2,2,2,26.0,0,0,0,0,0,0,6271.162,0.0,1003.5734,17301.549,14644.0205,17279.238,0.0,1000.0,12000.613,1000.0,1076.5543,931.4332,0
360000.0,1,1,2,34.0,-2,-2,-2,-2,-2,-2,7116.736,12059.825,470.2249,405413.44,137455.11,84694.01,8000.0,316.0,238474.06,1000.0,532.9476,9369.937,0
20000.0,2,1,2,23.0,0,0,0,0,0,0,9483.236,12477.1,13118.38,14043.273,12980.307,19558.223,1584.558,1398.5524,255.89267,326.0,3744.1157,0.0,0
200000.0,2,5,2,48.0,0,0,0,-1,0,0,1113.3975,1828.1053,-0.102968365,97.82311,93.986176,1024.6969,1600.0,0.0,1000.0,391.33078,1000.0,780.0,0
100000.0,2,3,1,30.0,0,0,0,0,0,0,101995.86,102311.41,98569.09,94992.71,95297.484,91396.15,5108.3003,5027.5464,5195.472,4048.9731,5000.0,6000.0,0
10000.0,2,2,2,42.35995,0,0,0,0,0,0,9954.848,11525.029,11644.012,12848.302,12474.275,17444.748,1764.7898,1390.4368,625.99084,777.0205,1235.0695,3000.0,0
180000.0,2,4,2,24.0,0,0,0,0,0,0,46382.844,48294.605,49778.39,49555.855,50964.703,53210.1,1434.1299,2004.2015,2000.0,2000.0,2011.6058,2000.0,0
180000.0,1,1,2,30.0,2,0,0,0,0,0,5935.803,5274.5635,4955.7793,11701.0625,9124.082,12919.276,3000.0,2488.5168,6339.6157,5000.0,6992.9897,11023.976,1
389395.3,2,2,2,49.0,-1,-1,-2,-2,-1,-1,41755.227,0.0,0.0,0.0,1466.6503,18003.229,0.0,0.0,0.0,2678.0168,15004.281,22342.137,0
20000.0,2,2,2,24.0,0,0,0,0,0,0,16215.309,17548.316,18500.793,15449.9,11620.747,19218.85,2000.0,1289.0465,266.353,390.0,10000.0,6.7519107,0
80000.0,1,2,2,51.0,0,0,0,0,0,0,41904.754,39554.51,40214.164,45825.508,46963.207,47565.086,2368.7114,3398.7544,0.0,1979.4684,2000.0,2276.9873,0
80000.0,1,2,2,29.0,1,2,0,0,0,0,78224.16,79148.12,70972.37,49542.727,47028.977,45823.74,3587.2664,2400.0,1613.906,1694.508,1800.0,1771.6093,1
130000.0,2,2,1,26.0,0,0,2,0,2,2,101023.16,123611.82,99032.836,120509.44,123236.93,111528.336,12176.558,0.0,9711.481,509.3391,4799.389,4401.856,0
250000.0,2,2,2,32.0,0,0,0,0,0,0,167654.8,157116.55,185846.92,202268.5,184906.06,166998.36,8424.473,31540.188,23625.818,5540.996,5049.929,4926.515,0
50000.0,1,3,2,58.679314,0,0,0,0,0,0,37037.473,28489.693,25309.545,16440.252,16748.803,16030.304,1545.2174,1210.7723,2000.0,890.8821,1040.868,1500.0,0
