Length,Width,Size,Conc,Conc1,Asym,M3Long,M3Trans,Alpha,Dist,class
118.73495,86.6397,3.836556,0.0979866,0.048738446,-100.02229,-138.19453,-49.39023,29.308329,389.86984,g
66.01938,30.028538,3.200901,0.21745946,0.12249486,-27.91112,43.92396,21.899706,0.3359568,250.8642,h
38.432182,7.6707406,2.7069495,0.40377095,0.21709366,38.561024,24.283392,7.786566,38.72804,158.75214,g
50.763763,32.865746,2.9574974,0.29949713,0.1727859,51.534786,31.939386,31.527285,32.1918,228.92583,g
63.427574,39.389317,3.4274547,0.17199603,0.09238353,-71.62223,47.158,15.845069,5.189466,291.2033,g
70.21059,32.435993,3.2590444,0.15142338,0.07856412,26.351824,45.447735,-15.740343,24.413269,202.7701,g
59.123104,50.82797,3.927911,0.11741143,0.08490901,146.00883,57.995598,100.52054,9.079734,188.22197,g
20.473278,17.699057,2.4972537,0.36746705,0.20393787,-14.153959,5.795053,-26.540987,87.41005,111.64199,h
146.21358,23.562565,2.954554,0.2844526,0.1697941,-219.13573,-49.722908,-11.397806,37.553204,242.4364,g
34.0246,19.013477,2.5526543,0.35421494,0.17843437,12.511203,22.600025,-17.717451,61.488358,116.0876,g
53.71505,24.712004,3.0413504,0.2870655,0.17225926,19.421726,48.410683,29.553356,5.935502,205.73335,h
90.65397,23.077717,3.23347,0.17664348,0.09393556,-102.01821,65.37561,-11.547245,1.8583673,304.186,h
30.51139,14.095373,2.7828457,0.408157,0.24201864,-9.183975,16.382772,7.3126054,8.72613,113.58237,g
48.75785,15.048667,2.8890605,0.34217805,0.16828956,-98.356735,32.903194,4.2036014,1.5900667,180.78116,g
48.641785,19.90322,2.6934862,0.34971097,0.19482125,26.126352,33.40419,-19.466225,55.317295,243.29901,g
72.77359,14.674348,3.0507438,0.21887921,0.11763689,72.42042,47.158276,-3.8058307,64.94281,162.35884,g
80.76794,20.830624,2.7062972,0.28609356,0.1516719,14.974452,63.441532,-10.211963,68.30925,196.34784,h
18.098497,10.983357,2.2206874,0.73191977,0.41120487,-8.907648,-5.6166425,9.641981,51.10577,231.83926,g
49.900425,22.845669,3.0271018,0.23079133,0.122895636,19.735132,57.18711,15.816823,6.229415,238.75378,g
