Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
4.0,128.98398,0.0,0.0,60.542057,1984.1327,0.0,0.03286909,0.0,0.0,May,2,2,3,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Mar,1,1,1,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,19.0,819.7313,0.0125,0.025,0.0,0.0,Sep,2,4,6,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Nov,4,2,1,2,New_Visitor,False,False
10.0,299.4184,6.0,377.53247,62.308506,5527.3726,0.0,0.015394198,3.9071138,0.0,May,1,1,2,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Dec,2,4,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,48.67679,1819.1068,0.04074937,0.036415633,0.0,0.0,Aug,3,2,1,13,Returning_Visitor,False,True
3.0,98.78493,0.0,0.0,3.0305321,128.20378,0.0,0.013333333,0.0,0.0,Nov,3,2,3,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,7.0,125.617935,0.0,0.021556476,0.8634722,0.0,Mar,2,2,3,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,2.0,35.69187,0.0,0.1,0.0,0.0,Mar,2,4,1,1,Returning_Visitor,False,False
7.2771163,74.57018,0.0,0.0,74.23421,2336.0159,0.0,0.0020886767,0.0,0.0,Nov,2,2,5,10,Returning_Visitor,True,True
3.0,125.59398,0.0,0.0,4.0,91.75188,0.0,0.03400862,0.0,0.0,May,1,1,1,1,Returning_Visitor,True,False
2.0,76.857544,0.0,0.0,34.476433,597.7328,0.0,0.0043743555,0.0,0.0,Nov,2,4,1,1,Returning_Visitor,True,False
1.0,124.22348,0.0,0.0,6.0,37.37777,0.028571429,0.0671307,0.0,0.0,Nov,3,13,3,20,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,1.0,525.9361,0.0,0.12513757,0.0,0.0,Mar,2,5,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,10.0,81.45767,0.06666667,0.16440488,0.0,0.0,Mar,1,1,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,85.958595,1694.088,0.0069928956,0.017425587,0.0,0.0,Jul,3,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,120.339386,1854.3514,0.055925712,0.029076556,0.0,0.0,Nov,1,2,1,2,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,6.0,38.325726,0.031988487,0.06666667,0.0,0.0,Dec,3,2,1,11,New_Visitor,False,False
0.0,0.0,0.0,0.0,9.0,131.91692,0.024057101,0.060803737,0.0,0.0,May,1,8,1,6,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,30.0,1127.3706,0.0,0.0056350604,20.00836,0.0,Jul,2,2,3,13,Returning_Visitor,False,False
3.0,111.06863,2.0,0.0,25.930117,1733.8917,0.018181818,0.02467336,0.0,0.0,Nov,2,2,5,2,Returning_Visitor,False,False
2.0,238.4994,0.0,0.0,27.0,649.8855,0.2,0.057176527,0.0,0.0,Nov,1,1,8,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,41.520767,1028.7346,0.0036617059,0.013777088,0.0,0.0,June,2,2,1,2,Returning_Visitor,False,False
5.0,987.27124,0.0,0.0,54.196274,2521.648,0.05201778,0.016292322,0.0,0.0,May,2,2,1,1,Returning_Visitor,False,False
11.05031,251.32027,1.0,77.57847,50.0,1237.0178,0.010627668,0.038289398,0.0,0.0,May,2,4,3,4,Returning_Visitor,False,False
3.0,27.780851,0.0,0.0,43.0,1167.9506,0.0,0.0021770962,46.389973,0.0,May,1,1,1,4,Returning_Visitor,False,False
2.0,14.47785,0.0,0.0,0.0,0.0,0.0,0.06666667,0.0,0.0,Aug,2,2,6,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,20.0,495.32874,0.028571429,0.0405587,0.0,0.0,May,2,2,4,3,New_Visitor,False,True
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,May,2,2,3,2,Returning_Visitor,False,False
8.0,331.30215,0.0,0.0,39.0,1130.252,0.0,0.0125,0.0,0.0,Nov,2,2,7,1,Returning_Visitor,True,True
4.0,20.084171,0.0,0.0,37.0,1015.32733,0.0,0.0055935145,0.0,0.0,Dec,1,2,3,2,New_Visitor,False,False
6.0,288.5453,0.0,0.0,26.198345,1439.4946,0.0076624556,0.03630589,10.7767315,0.0,Nov,2,2,1,2,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,May,3,2,2,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,73.72562,0.0,0.025779093,0.0,0.0,Nov,4,1,9,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,52.11128,0.0,0.025,0.0,0.0,Jul,2,2,5,2,Returning_Visitor,False,False
7.0,166.89355,3.0,539.3072,23.0,577.00665,0.0,0.020059856,0.0,0.0,Nov,1,1,9,3,Returning_Visitor,False,True
5.0,53.74783,1.0,120.0294,324.12308,10083.311,0.0034588603,0.024576485,5.883981,0.0,May,2,4,1,5,Returning_Visitor,True,False
8.0,147.77484,0.0,0.0,10.0,58.745758,0.0,0.01,0.0,0.0,May,8,2,2,1,Returning_Visitor,True,False
0.0,0.0,1.0,380.76456,9.0,413.02698,0.0,0.038849626,11.911724,0.0,Dec,1,1,3,2,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,15.0,106.14249,0.028112905,0.063244894,0.0,0.0,Nov,2,2,3,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,21.289595,1604.066,0.0,0.01963264,0.0,0.0,Dec,1,1,3,2,Returning_Visitor,False,False
1.0,28.331993,0.0,0.0,23.951681,1483.9924,0.00738687,0.005408955,0.0,0.0,Mar,1,1,1,4,Returning_Visitor,True,False
3.0,0.0,0.0,0.0,51.036972,807.67035,0.0,0.014285714,0.0,0.0,Aug,4,1,3,3,New_Visitor,False,False
9.0,64.674385,0.0,0.0,10.0,726.3231,0.0,0.009825458,0.0,0.0,Dec,1,1,1,2,New_Visitor,True,False
0.0,0.0,0.0,0.0,26.0,1647.82,0.06666667,0.1,0.0,0.0,May,4,2,1,4,Returning_Visitor,False,False
6.0,228.22609,0.0,0.0,13.096722,1211.8109,0.0,0.043030128,0.0,0.0,Mar,2,2,3,1,Returning_Visitor,False,False
