year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
2013,2,5,8,154.0,-4.0,-4.0,1026.0,NW,16.1,0.0,0.0
2011,12,16,16,177.0,-3.0,-2.0,1029.0,SE,30.250866,6.763799,0.0
2010,6,21,17,119.0,20.0,30.0,998.0,SE,38.557056,0.0,0.0
2014,2,17,14,183.0,-6.0,5.0,1020.0,SE,62.451973,0.0,0.0
2012,11,4,2,8.0,-11.0,2.0,1016.0,NW,169.43091,0.0,0.0
2012,11,26,0,127.86971,-9.0,-4.0,1022.0,NW,3.13,0.0,0.0
2012,4,14,17,15.0,-8.330152,20.0,1010.0,cv,3.13,0.0,0.0
2011,11,5,1,354.05984,1.0,3.0,1026.0,NW,2.67,0.0,0.0
2011,2,22,6,311.05438,-8.0,-7.0,1025.0,NW,10.73,0.0,0.0
2014,7,3,15,110.0,20.0,34.860973,1004.7245,SE,12.97,0.0,0.0
2014,10,26,13,10.0,-7.0,20.0,1022.0,NW,178.54887,0.0,0.0
2010,5,22,0,221.71217,11.0,16.0,1005.0,cv,0.89,0.0,0.0
2011,9,12,11,87.0,14.0,23.0,1016.0,SE,1.79,0.0,0.0
2010,7,21,10,45.0,21.0,28.0,1008.0,NW,32.870564,0.0,0.0
2014,2,30,23,189.66696,-4.0,-1.0,1032.0,SE,25.369936,0.0,0.0
2012,1,19,5,70.0,-18.0,-10.0,1024.0,NE,1.79,0.0,0.0
2014,7,19,2,49.428806,24.0,30.0,1006.0,NW,12.066808,0.0,0.0
2010,3,16,13,307.4325,-1.0,5.0,1016.0,cv,1.78,0.0,0.0
2010,10,8,6,16.0,-3.0,13.0,1025.0,NW,30.189638,0.0,0.0
2012,12,8,2,63.0,-20.0,-14.09863,1025.0,cv,4.02,0.0,0.0
2014,7,28,8,71.71878,23.0,24.0,1004.0,NW,1.79,0.0,5.0
2012,9,2,21,17.0,16.0,20.0,1012.79956,NE,9.84,0.0,0.0
2010,6,16,14,67.0,16.0,34.0,1000.2351,cv,1.79,0.0,0.0
2011,8,24,2,10.0,17.0,22.0,1006.0,NW,103.19505,0.0,0.0
2014,10,3,0,332.1918,15.0,16.0,1015.0,NW,0.89,0.0,0.0
2014,1,11,14,19.80388,-21.0,2.0,1024.0,NW,47.837147,0.0,0.0
2011,11,9,5,14.0,-6.0,5.0,1029.0,NW,65.19549,0.0,0.0
2013,7,18,3,88.0,21.0,23.0,1005.0,NW,1.79,0.0,0.0
2014,11,4,1,6.0,-9.0,7.0,1024.0,NW,262.41708,0.0,0.0
2011,6,13,17,67.0,15.0,30.0,1006.0,SE,34.42852,0.0,0.0
2011,3,16,16,24.0,-14.0,12.0,1023.0,SE,15.658872,0.0,0.0
2012,5,2,13,40.844246,-5.0,28.0,1003.0,NW,45.532757,0.0,0.0
2011,7,4,3,61.0,19.0,21.0,1005.0,cv,0.89,0.0,6.0
2012,11,4,6,4.4171567,-3.0,1.0,1021.0,NE,0.89,0.0,0.0
2010,2,13,21,59.0,-16.0,-8.0,1029.0,NW,1.79,0.0,0.0
2013,12,16,0,48.0,-14.0,-6.0,1028.0,SE,1.79,0.0,0.0
2010,7,3,10,145.00424,21.0,27.0,1002.0,SE,38.44893,0.0,0.0
2010,10,11,10,23.0,-6.0,8.0,1033.0,cv,1.79,0.0,0.0
2012,7,8,11,105.0,24.0,26.0,1003.0,SE,15.090109,0.0,0.0
2014,7,28,14,74.0,20.0,34.010628,1004.0,SE,21.005617,0.0,0.0
2011,7,19,22,140.0,24.0,26.0,1004.0,cv,0.89,0.0,0.0
2013,3,9,8,123.0,-7.0,2.0,1024.0,SE,26.231497,0.0,0.0
2010,5,16,21,41.0,2.0,26.0,1003.0,NW,102.50541,0.0,0.0
2013,5,15,23,69.0,5.0,16.0,1004.0,cv,0.89,0.0,0.0
2013,2,15,11,224.45978,-8.0,2.0,1031.0,cv,1.79,0.0,0.0
2011,2,26,23,163.76436,-5.0,-2.0,1029.0,cv,0.89,0.0,0.0
2010,12,21,22,257.46027,-8.0,0.0,1010.78735,cv,1.78,0.0,0.0
2010,3,22,20,44.0,-13.0,4.0,1023.0,SE,8.05,0.0,0.0
2014,9,21,19,118.0,14.0,24.0,1013.0,SE,8.95,0.0,0.0
2013,3,17,3,433.77744,-1.0,5.5996675,1002.0,NW,1.79,0.0,0.0
2010,12,20,16,101.0,-12.0,9.0,1013.0,SE,14.201947,0.0,0.0
2014,9,5,11,8.266274,6.0,24.0,1019.0,NW,16.1,0.0,0.0
2014,3,3,3,176.71338,-6.0,-2.0,1023.0,cv,0.89,0.0,0.0
2012,10,14,4,6.30637,4.0,11.0,1016.0,cv,28.60822,0.0,0.0
2014,4,10,7,85.0,4.0,12.0,1014.0,NE,1.79,0.0,0.0
2014,3,29,0,39.0,1.0,13.0,1013.0,cv,0.89,0.0,0.0
2012,5,22,12,111.0,13.119287,25.0,1010.0,NE,6.26,0.0,0.0
2011,3,31,5,13.0,-14.0,2.0,1023.0,NW,74.02599,0.0,0.0
2012,3,2,17,11.0,-22.0,3.0,1027.0,NW,99.52436,0.0,0.0
2014,1,17,15,127.10875,-12.0,2.0,1027.0,SE,5.0084314,0.0,0.0
2013,11,8,14,175.81274,-3.0,11.0,1022.0,NW,6.304256,0.0,0.0
2014,8,18,8,140.70563,20.0,24.0,1010.0,cv,1.78,0.0,0.0
2011,2,15,21,628.59,-4.0,0.0,1021.0,SE,4.47,0.0,0.0
2011,4,18,22,32.0,-5.0,13.374015,1018.0,NE,6.2508717,0.0,0.0
2010,1,5,18,15.0,-20.0,0.0,1024.0,NW,79.30706,0.0,0.0
2013,9,31,10,103.0,15.0,24.0,1017.0,NE,2.67,0.0,0.0
2013,10,29,11,48.0,-7.0,9.0,1031.0,cv,3.13,0.0,0.0
2012,2,4,22,113.0,-18.0,-6.0,1025.0,NE,0.89,0.0,0.0
2013,8,10,17,61.0,23.413675,31.0,1004.0,NW,1.79,0.0,0.0
2013,8,24,0,6.0,18.0,20.0,1008.0,cv,0.89,0.0,0.0
2013,1,22,1,128.0,-10.0,-6.0,1030.0,cv,0.45,0.0,0.0
2010,2,2,8,148.0,-5.0,1.0,1013.0,NW,16.552662,0.0,0.0
2011,2,16,18,199.0,-12.0,3.0,1025.0,SE,38.902794,0.0,0.0
2012,5,28,19,218.27257,16.0,26.0,1016.0,cv,1.79,0.0,0.0
2010,4,7,5,123.0,-5.196564,6.0,1023.0,NW,107.306175,0.0,0.0
2013,10,17,3,49.0,2.0,6.0,1020.0,cv,0.89,0.0,0.0
2011,7,12,17,87.0,24.0,28.0,1004.0,SE,12.962084,0.0,0.0
2011,1,27,21,146.0,-20.0,-4.0,1024.0,cv,0.89,0.0,0.0
2012,12,6,21,109.21072,-12.0,-4.0,1021.2884,SE,6.71,0.0,0.0
2013,9,4,8,57.0,15.0,18.0,1015.0,SE,0.89,0.0,0.0
2011,5,24,11,170.0,15.0,25.0,998.0,SE,12.277208,0.0,0.0
2014,4,24,0,87.0,10.961414,20.0,1010.0,NE,3.13,0.0,0.0
2010,6,16,18,164.0,18.0,20.0,1007.425,NW,11.562733,0.0,5.0
2010,5,17,5,82.0,7.0,12.0,1013.0,cv,1.79,0.0,0.0
2010,8,29,13,112.18689,20.0,28.0,1012.0,cv,7.15,0.0,0.0
2012,11,7,8,55.0,-6.0,-2.0,1021.0,cv,1.79,0.0,0.0
2013,1,14,0,283.4821,-15.0,-11.0,1029.0,NW,0.89,0.0,0.0
2014,2,23,20,314.3141,-12.0,-1.0,1026.0,SE,7.15,0.0,0.0
2010,11,7,16,52.0,-5.0,12.0,1028.0,SE,6.201967,0.0,0.0
2012,6,17,14,18.246088,19.0,22.0,1002.0,NE,4.92,0.0,6.6843076
2012,12,5,23,123.0,-4.0,-4.0,1030.0,SE,18.32344,2.670495,0.0
2010,1,28,13,15.285491,-22.0,1.0,1026.0,NW,46.956398,0.0,0.0
2010,1,29,1,354.3023,-14.0,-12.0,1025.0,cv,1.79,0.0,0.0
2014,8,27,13,61.32675,15.0,33.0,1009.0,SE,17.68811,0.0,0.0
2010,3,19,10,102.0,-6.0,7.0,1011.0,SE,6.71,0.0,0.0
2013,6,18,12,33.0,15.0,34.0,1004.0,cv,1.79,0.0,0.0
