LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
230000.0,1,1,2,29.0,0,0,0,0,0,0,206565.56,206225.1,207941.1,195947.69,228550.88,233878.38,7886.735,10000.0,10000.0,77622.49,8098.2427,10666.789,0
370000.0,2,2,1,54.0,-2,-2,-2,-2,-2,-2,1428.4479,1348.1975,1933.3739,1466.8077,534.6493,679.5897,1492.4937,2000.0,1500.7518,563.32996,1000.0,3000.0,1
30000.0,2,2,1,26.0,0,0,0,0,0,0,11530.896,12944.293,13513.892,6747.801,5543.9243,5375.483,2200.0,2447.962,3500.0,2000.0,1771.5,3500.0,1
50000.0,2,1,2,33.0,0,-1,-1,0,2,2,58884.652,39024.87,49388.395,53822.453,62578.13,131090.75,10000.498,11351.715,20000.0,0.0,59108.504,0.0,0
140000.0,1,1,2,32.0,-1,-1,-1,-1,-1,-1,727.2735,484.73337,579.5782,780.0,613.4459,768.28467,384.9685,602.3617,797.3144,627.162,936.77997,600.0,1
150000.0,1,2,2,29.0,-1,-1,0,0,-1,-1,2061.8025,5643.0015,7420.9326,8609.569,2400.8032,3517.0374,4500.0,3222.472,4000.0,5000.0,3000.0,6009.0073,0
30000.0,1,2,1,25.0,4,4,3,2,3,2,19657.883,21539.531,17800.123,24473.092,22596.496,25053.322,0.0,0.0,806.2183,0.0,195.90588,0.0,1
100000.0,2,1,2,30.0,0,0,0,0,0,0,77607.875,76358.49,77336.47,62589.668,58011.96,54817.516,3472.1956,3195.7832,3000.0,2393.0776,3000.0,3001.1653,0
80000.0,2,2,2,23.0,0,0,-1,-1,0,-1,9062.617,9262.74,8787.285,7726.9243,4821.7183,1613.7208,2145.997,7664.548,5000.0,529.3478,2074.611,8059.546,0
190000.0,2,1,2,26.0,1,-2,-1,-1,0,0,0.0,0.0,485.0555,13578.885,12412.547,9709.268,0.0,393.6567,10039.681,1000.0,383.5018,1688.7369,0
150000.0,2,2,1,37.0,0,0,0,0,0,-1,65212.12,39595.992,31082.018,19298.326,-888.44867,22251.244,2812.1157,3000.0,2000.0,0.0,26428.191,2497.8782,0
90000.0,1,2,2,52.709934,1,2,2,2,2,2,44423.668,50194.62,47993.23,49614.824,47848.254,52523.168,1889.0271,3145.2603,1524.833,0.0,3619.1665,0.0,0
160000.0,2,2,2,33.0,-2,-2,-2,-2,-2,-2,-87.30177,-191.28362,-131.90828,-86.27809,-21.937191,-95.22134,0.0,0.0,0.0,0.0,0.0,0.0,0
50000.0,1,3,2,27.0,0,0,0,0,0,-2,7330.277,9962.6875,8029.5005,2749.9104,0.0,0.0,3837.7764,1500.0,1013.9529,0.0,0.0,0.0,0
30000.0,2,1,2,22.0,0,0,0,0,0,-2,25274.898,20599.535,18452.877,6512.287,0.0,0.0,1676.8911,1466.9493,892.17523,0.0,0.0,0.0,0
490000.0,1,2,1,51.0,-2,-2,-2,-2,-2,-2,2872.794,4291.484,1993.4845,2315.8384,4206.1934,4027.494,3632.0898,2000.0,2002.317,3561.9956,3488.9175,2569.3647,0
80000.0,2,3,1,40.0,0,0,0,0,0,0,90789.055,91479.72,88027.18,69780.57,69333.96,67430.266,3663.8303,3005.258,3100.0,3504.991,3000.0,3134.6577,0
50000.0,2,2,2,24.0,0,0,2,2,0,0,37768.69,42272.676,38403.96,34926.926,7980.8384,9162.726,4828.7544,2083.9634,0.0,3909.689,5000.0,3942.287,0
50496.684,2,2,2,36.0,1,2,0,0,0,0,31150.67,31447.451,30429.855,30143.197,29423.375,30351.402,0.0,1646.7069,1500.0,1000.00244,2274.496,0.0,0
120000.0,1,2,2,25.0,0,0,0,0,0,0,116057.984,122134.88,117612.195,125861.99,76549.85,81243.26,4000.0,4584.884,4174.587,3600.5938,3100.0,3102.9517,0
230000.0,1,2,1,38.0,0,0,0,-2,-2,-2,42764.555,17086.781,0.0,0.0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,0.0,0
50000.0,1,1,2,35.0,0,0,0,-1,0,0,50449.66,48960.55,166.61087,1975.7229,1000.76697,0.0,0.0,1252.2247,1790.1136,53.325077,0.0,1015.98035,0
328430.56,1,2,2,38.0,0,0,0,0,0,0,139228.12,141779.38,140280.39,65224.754,64856.13,60905.074,5001.4526,5000.0,2391.3494,2000.0,2000.0315,1653.3018,0
90000.0,1,1,1,27.0,0,0,0,0,-1,-1,49108.66,49234.402,40783.504,20257.852,317.28128,390.0,2372.7463,2100.0,427.01648,227.24873,1000.0,26029.275,0
80000.0,2,3,2,42.0,0,0,0,0,0,0,76579.17,79061.984,78737.13,37058.3,34830.434,30400.416,3700.0,3785.782,1166.7976,1453.8116,2000.0,0.0,0
150000.0,2,4,1,44.0,0,0,0,0,0,0,127652.5,129016.85,119593.53,103918.72,101522.79,108162.31,6000.0,4578.687,3500.0,4960.894,4195.025,4000.0,0
100000.0,2,3,1,59.0,0,0,0,0,0,0,71813.164,70799.61,69077.24,69014.51,70464.75,70645.914,2647.1082,2600.0,2373.8567,2589.2527,2206.1475,2500.0,0
150000.0,2,2,2,33.0,-1,-1,-1,0,0,0,1495.4098,6958.4795,11991.823,11893.629,12346.946,1286.083,7092.0264,9020.363,3739.4824,5128.7603,565.51654,2808.4062,0
220000.0,2,1,2,29.0,0,0,0,0,0,0,20872.084,21305.041,23052.816,24636.838,29188.016,32285.396,2000.0,1680.1377,3000.0,4500.0,7234.4937,3000.0,0
190000.0,2,2,2,54.0,-1,0,0,0,0,0,3654.8975,5744.54,10683.345,9367.97,13958.931,16668.66,3251.2625,5980.2144,2500.0,4281.3267,4001.3281,2391.4502,0
60000.0,2,3,1,53.0,1,2,0,0,0,0,118141.305,103668.42,50483.777,51266.46,53296.316,52479.957,0.0,2946.165,2403.624,2297.314,2598.9207,2355.0637,0
60000.0,1,2,3,34.0,0,0,0,2,0,0,44112.004,45143.703,43971.36,40352.105,19600.592,17290.773,2000.0,3975.239,0.0,700.00397,671.98285,500.0,0
140000.0,2,1,2,24.0,-1,-1,-1,-1,0,0,1384.1852,1802.5328,1132.9365,997.0522,390.0,0.0,1568.0873,1245.3936,514.82495,0.0,0.0,0.0,0
300000.0,1,2,1,46.0,0,0,0,0,0,-2,285544.2,177678.27,159474.47,88123.34,0.0,-0.3711961,7176.4297,14523.284,4000.0,0.0,0.0,0.0,0
80000.0,2,3,1,33.0,0,0,0,0,0,0,86862.84,82835.71,85474.945,87194.25,52505.03,53506.67,2500.0,3000.0,3401.595,1882.3958,2821.3137,2055.4998,0
20000.0,1,3,1,52.0,2,2,0,0,0,0,14524.905,11612.774,15538.456,15062.888,17005.678,11341.665,0.0,1401.4182,700.0,3000.0,3000.0,799.9144,1
150000.0,2,2,2,30.0,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20000.0,1,2,2,23.0,2,0,0,0,-1,-1,4669.5986,5074.715,6756.61,5188.4067,2405.2012,0.0,758.5869,1321.3885,1000.0,2000.0,0.0,2397.657,1
320000.0,2,2,2,32.0,1,2,-1,-1,0,-1,3968.9917,1691.3494,10929.894,17866.42,3367.916,15849.599,0.0,5661.952,10280.022,0.0,7873.753,7000.0,1
80000.0,1,3,2,55.831314,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
100000.0,1,2,1,55.0,0,0,0,0,0,0,99698.9,94927.086,91704.195,60969.355,63723.344,69062.305,4570.077,4696.3867,3368.9087,9371.0,4000.0,2233.6287,0
180000.0,2,3,1,36.0,0,0,0,0,0,0,5958.6772,6341.83,6201.1646,5350.243,3528.3772,0.0,1600.846,1205.0466,513.0998,0.0,0.0,0.0,0
500000.0,2,1,2,33.0,-2,-2,-2,-2,-2,-2,5304.225,5068.2505,10922.824,14554.206,5005.33,4263.6562,4000.0,10000.0,9164.871,3500.0,3971.8447,16888.027,0
80000.0,1,1,2,31.0,0,0,0,0,0,0,78121.38,80282.88,80167.62,79438.61,88563.516,91571.14,4752.407,3000.0,3584.7231,5032.162,3735.2144,3526.1426,0
200000.0,1,1,2,39.0,1,-1,2,-1,-1,-2,1567.0848,4260.06,188.15355,1526.222,-4219.23,-60011.375,1736.5115,0.0,7000.0,0.0,0.0,173352.9,0
360000.0,2,3,1,43.0,-2,-2,-2,-2,-2,-2,1014.75354,1640.5435,1392.8335,1658.3263,2505.7795,1379.0262,2000.0,2000.0,2000.0,2478.4163,1641.4441,1000.0,0
257787.19,2,1,1,37.0,-2,-2,-2,-2,-2,-2,4770.9106,2586.1936,5933.0815,4031.8967,1587.5808,3615.7705,2000.0,4937.511,3001.0776,1494.0737,3594.1946,3000.0,0
80000.0,2,3,2,26.0,0,0,0,0,0,0,75497.98,75030.28,72495.28,48423.945,38778.477,40477.06,3000.0,1934.6215,1731.2305,1364.1571,2131.1172,1500.0,0
40000.0,1,3,2,22.0,2,2,2,2,2,2,30202.06,35000.418,35427.387,33113.402,34561.426,39444.516,2058.9258,2890.8572,1699.4897,1627.9119,1460.9193,2000.0,0
40000.0,1,3,2,24.0,1,-2,-2,-2,-2,-1,-1300.2021,-2440.506,-4148.782,-47422.414,-32976.953,1066.5525,0.0,0.0,0.0,0.0,4145.3604,0.0,0
430000.0,1,1,2,28.0,2,2,-2,-2,-2,-2,1585.4218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
260000.0,1,1,1,30.0,0,0,0,0,0,0,218127.48,214103.0,218465.05,210107.56,200415.89,194966.22,8000.0,8002.985,7000.0,6588.983,6453.438,7250.432,0
70000.0,2,2,2,29.0,0,0,0,0,0,0,50740.25,50491.31,49908.08,19396.824,19609.127,18831.236,3001.4243,2000.0,1282.703,1000.0,1086.7548,2211.9707,0
180000.0,2,2,2,35.0,0,0,0,0,0,0,32656.098,32035.338,32823.645,37958.902,14041.21,14495.39,2000.0,2012.5153,3200.0,1267.9833,2000.0,2000.0,0
